,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,3720800000.0,3746000000.0,3782300000.0,3917200000.0,3749900000.0,3863000000.0
1,1,Cost of revenue,2972800000.0,2998800000.0,2991900000.0,2994000000.0,2850700000.0,2986900000.0
2,2,Gross profit,748000000.0,747200000.0,790400000.0,923200000.0,899200000.0,876100000.0
3,3,Operating expenses,406700000.0,462400000.0,458900000.0,437700000.0,416700000.0,426000000.0
4,3,"Sales, General and administrative",380400000.0,394800000.0,449600000.0,416900000.0,396800000.0,405200000.0
5,3,"Restructuring, merger and acquisition",,2200000.0,900000.0,,,
6,3,Other operating expenses,26300000.0,65400000.0,8400000.0,20800000.0,19900000.0,20800000.0
7,3,Total operating expenses,406700000.0,462400000.0,458900000.0,437700000.0,416700000.0,426000000.0
8,8,Operating income,341300000.0,284800000.0,331500000.0,485500000.0,482500000.0,450100000.0
9,9,Interest Expense,43400000.0,44700000.0,41800000.0,41100000.0,38800000.0,40600000.0
10,10,Other income (expense),6500000.0,7700000.0,5800000.0,5400000.0,43400000.0,21900000.0
11,11,Income before taxes,304400000.0,247800000.0,295500000.0,449800000.0,487100000.0,431400000.0
12,12,Provision for income taxes,56300000.0,55000000.0,70300000.0,121800000.0,120000000.0,91200000.0
13,13,Net income from continuing operations,248100000.0,192800000.0,225200000.0,328000000.0,367100000.0,340200000.0
14,14,Net income from discontinuing ops,2400000.0,6900000.0,-124000000.0,1200000.0,19100000.0,-2200000.0
15,15,Other,-2300000.0,-2400000.0,-3200000.0,-4100000.0,-400000.0,-100000.0
16,16,Net income,248200000.0,197300000.0,98000000.0,325100000.0,385800000.0,337900000.0
17,17,Net income available to common shareholders,248200000.0,197300000.0,98000000.0,325100000.0,385800000.0,337900000.0
18,18,Earnings per share,,,,,,
19,19,Basic,1.72,1.36,0.69,2.31,2.8,2.48
20,20,Diluted,1.7,1.34,0.68,2.28,2.76,2.45
21,21,Weighted average shares outstanding,,,,,,
22,22,Basic,144300785.0,145200000.0,141400000.0,140900000.0,137900000.0,136400000.0
23,23,Diluted,145963312.0,147300000.0,143200000.0,142900000.0,140000000.0,137975000.0
24,24,EBITDA,463900000.0,415100000.0,455200000.0,604100000.0,641300000.0,595400000.0
