Key Financials CAD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue CAD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income CAD Mil,,,,,,,,-0.0,-0.0,-0.0,-0.0
Operating Margin %,,,,,,,,,,,
Net Income CAD Mil,,,,,,,,-0.0,-0.0,-0.0,-0.0
Earnings Per Share CAD,,,,,,,,,,,
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,,,,
Book Value Per Share * CAD,,,,,,,,,,,
Operating Cash Flow CAD Mil,,,,,,,,,-0.0,-0.0,-0.0
Cap Spending CAD Mil,,,,,,,,,,,
Free Cash Flow CAD Mil,,,,,,,,,-0.0,-0.0,-0.0
Free Cash Flow Per Share * CAD,,,,,,,,,,,
Working Capital CAD Mil,,,,,,,,-0.0,-0.0,-0.0,
