,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,13146000000.0,12629000000.0,12124000000.0,10466000000.0,10511000000.0,11036000000.0
1,1,Cost of revenue,11795000000.0,11371000000.0,11039000000.0,9576000000.0,9503000000.0,9927000000.0
2,2,Gross profit,1351000000.0,1258000000.0,1085000000.0,890000000.0,1008000000.0,1109000000.0
3,3,Operating expenses,0.0,0.0,0.0,415000000.0,0.0,187000000.0
4,3,Other operating expenses,0.0,0.0,0.0,415000000.0,0.0,187000000.0
5,3,Total operating expenses,0.0,0.0,0.0,415000000.0,0.0,187000000.0
6,6,Operating income,1351000000.0,1258000000.0,1085000000.0,475000000.0,1008000000.0,922000000.0
7,7,Interest Expense,184000000.0,177000000.0,178000000.0,169000000.0,169000000.0,172000000.0
8,8,Other income (expense),-5000000.0,15000000.0,18000000.0,16000000.0,11000000.0,16000000.0
9,9,Income before taxes,1162000000.0,1096000000.0,925000000.0,322000000.0,850000000.0,766000000.0
10,10,Provision for income taxes,374000000.0,309000000.0,248000000.0,25000000.0,189000000.0,173000000.0
11,11,Net income from continuing operations,788000000.0,787000000.0,677000000.0,297000000.0,661000000.0,593000000.0
12,12,Net income from discontinuing ops,32000000.0,0.0,0.0,-522000000.0,63000000.0,-1000000.0
13,13,Other,-10000000.0,-9000000.0,-13000000.0,-15000000.0,-14000000.0,-16000000.0
14,14,Net income,810000000.0,778000000.0,664000000.0,-240000000.0,710000000.0,576000000.0
15,15,Net income available to common shareholders,810000000.0,778000000.0,664000000.0,-240000000.0,710000000.0,576000000.0
16,16,Earnings per share,,,,,,
17,17,Basic,8.41,8.7,7.78,-2.97,9.17,7.4
18,18,Diluted,8.3,8.54,7.56,-2.97,9.01,7.25
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,96300000.0,89400000.0,85400000.0,80700000.0,77400000.0,77850000.0
21,21,Diluted,97600000.0,91100000.0,87800000.0,81900000.0,78800000.0,79475000.0
22,22,EBITDA,1574000000.0,1487000000.0,1328000000.0,701000000.0,1225000000.0,1156000000.0
