Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,,,,,0.0,0.0,0.0,0.0,0.0,,
Gross Margin %,,,,,,100.0,84.3,,,,
Operating Income CAD Mil,-1.0,-1.0,-1.0,-2.0,-1.0,-2.0,-3.0,-3.0,-2.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income CAD Mil,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,-4.0,-2.0,-3.0,-1.0,-2.0
Earnings Per Share CAD,-22.5,-15.0,-7.5,-7.5,-5.0,-8.0,-8.5,-3.0,-2.05,-0.5,-0.32
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0
Book Value Per Share * CAD,,3.48,-1.75,1.06,0.23,0.43,-2.19,-0.89,-0.73,-0.82,-0.36
Operating Cash Flow CAD Mil,-1.0,-1.0,-0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-2.0,-0.0,-1.0
Cap Spending CAD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,
Free Cash Flow CAD Mil,-1.0,-1.0,-0.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-0.0,-1.0
Free Cash Flow Per Share * CAD,,-12.71,-3.84,-6.51,-6.43,-6.02,-5.94,-3.91,-1.22,-0.14,
Working Capital CAD Mil,0.0,-0.0,-0.0,-0.0,1.0,1.0,-2.0,-0.0,-3.0,-1.0,
