Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income CAD Mil,,,,,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income CAD Mil,,,,,-1.0,-3.0,-2.0,-2.0,-19.0,-1.0,-1.0
Earnings Per Share CAD,,,,,-5.2,-0.4,-0.3,-0.2,-2.2,-0.1,-0.09
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,0.0,8.0,8.0,8.0,9.0,13.0,15.0
Book Value Per Share * CAD,,,,,3.27,2.68,2.56,2.27,1.93,-0.01,0.02
Operating Cash Flow CAD Mil,,,,,-0.0,-2.0,-1.0,-1.0,-1.0,-0.0,-0.0
Cap Spending CAD Mil,,,,,-1.0,-3.0,-1.0,-2.0,-0.0,,
Free Cash Flow CAD Mil,,,,,-1.0,-5.0,-3.0,-4.0,-1.0,-0.0,-1.0
Free Cash Flow Per Share * CAD,,,,,-2.39,-0.66,-0.34,-0.41,-0.25,-0.02,
Working Capital CAD Mil,,,,,0.0,6.0,3.0,0.0,-1.0,-1.0,
