,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,1269000000.0,799000000.0,2526000000.0,2243000000.0,1272000000.0,1201000000.0
1,0,Net income,1313000000.0,1244000000.0,1515000000.0,1154000000.0,1192000000.0,1454000000.0
2,0,Investments (gains) losses,,200000000.0,309000000.0,146000000.0,168000000.0,123000000.0
3,0,Amortization of debt discount/premium and issuance costs,-74000000.0,-74000000.0,-74000000.0,-74000000.0,-73000000.0,-40000000.0
4,0,Premiums and insurance balances,28000000.0,-40000000.0,-53000000.0,97000000.0,-54000000.0,-15000000.0
5,0,Capitalization of deferred policy acquisition costs,-219000000.0,,,-119000000.0,143000000.0,-2000000.0
6,0,Investment income due and accrued,-34000000.0,-14000000.0,-20000000.0,-21000000.0,8000000.0,-20000000.0
7,0,Receivable,28000000.0,-40000000.0,-53000000.0,97000000.0,-54000000.0,-15000000.0
8,0,Payables,201000000.0,377000000.0,229000000.0,61000000.0,69000000.0,80000000.0
9,0,Income taxes payable,192000000.0,377000000.0,229000000.0,61000000.0,69000000.0,80000000.0
10,0,Other assets and liabilities,-129000000.0,-671000000.0,339000000.0,581000000.0,-813000000.0,-749000000.0
11,0,Other operating activities,-37000000.0,-560000000.0,105000000.0,260000000.0,617000000.0,305000000.0
12,0,Net cash provided by operating activities,1269000000.0,799000000.0,2526000000.0,2243000000.0,1272000000.0,1201000000.0
13,13,Cash Flows From Investing Activities,-3857000000.0,-4710000000.0,-1805000000.0,-4223000000.0,-3666000000.0,-4838000000.0
14,13,Sales/maturities of fixed maturity and equity securities,9384000000.0,9756000000.0,10819000000.0,20283000000.0,8561000000.0,7320000000.0
15,13,Payments from loans,,,,,942000000.0,1142000000.0
16,13,Acquisitions and dispositions,0.0,,,75000000.0,0.0,
17,13,Purchases of investments,-13506000000.0,-13423000000.0,-13561000000.0,-24752000000.0,-11415000000.0,-10608000000.0
18,13,Loans issued,,,,,-2155000000.0,-2095000000.0
19,13,Other investing activities,265000000.0,-1043000000.0,937000000.0,171000000.0,401000000.0,-597000000.0
20,13,Net cash used for investing activities,-3857000000.0,-4710000000.0,-1805000000.0,-4223000000.0,-3666000000.0,-4838000000.0
21,21,Cash Flows From Financing Activities,2308000000.0,2045000000.0,834000000.0,1207000000.0,1970000000.0,2158000000.0
22,21,Long-term debt issued,300000000.0,393000000.0,0.0,298000000.0,395000000.0,
23,21,Long-term debt repayment,-320000000.0,0.0,-500000000.0,-250000000.0,-659000000.0,
24,21,Common stock issued,0.0,,,47000000.0,26000000.0,73000000.0
25,21,Repurchases of treasury stock,-493000000.0,-450000000.0,-650000000.0,-900000000.0,-879000000.0,-804000000.0
26,21,Cash dividends paid,-91000000.0,-128000000.0,-170000000.0,-204000000.0,-238000000.0,-256000000.0
27,21,Other financing activities,2912000000.0,2230000000.0,2154000000.0,2216000000.0,3325000000.0,3145000000.0
28,21,Net cash provided by (used for) financing activities,2308000000.0,2045000000.0,834000000.0,1207000000.0,1970000000.0,2158000000.0
29,29,Net change in cash,-280000000.0,-1866000000.0,1555000000.0,-773000000.0,-424000000.0,-1479000000.0
30,30,Cash at beginning of period,4510000000.0,4230000000.0,2364000000.0,3919000000.0,3146000000.0,3444000000.0
31,31,Cash at end of period,4230000000.0,2364000000.0,3919000000.0,3146000000.0,2722000000.0,1965000000.0
