,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,10785500000.0,11112400000.0,12085900000.0,12495200000.0,13373800000.0
1,0,Current assets,994300000.0,1011200000.0,1043100000.0,826800000.0,877100000.0
2,1,Cash,21200000.0,9800000.0,56900000.0,5800000.0,8200000.0
3,2,Cash and cash equivalents,21200000.0,9800000.0,56900000.0,5800000.0,8200000.0
4,2,Total cash,21200000.0,9800000.0,56900000.0,5800000.0,8200000.0
5,1,Receivables,403900000.0,473300000.0,427300000.0,397600000.0,493300000.0
6,1,Inventories,203900000.0,211800000.0,223800000.0,223500000.0,222300000.0
7,1,Prepaid expenses,43300000.0,40800000.0,,,
8,1,Other current assets,322000000.0,275500000.0,335100000.0,199900000.0,153300000.0
9,1,Total current assets,994300000.0,1011200000.0,1043100000.0,826800000.0,877100000.0
10,0,Non-current assets,9791200000.0,10101200000.0,11042800000.0,11668400000.0,12496700000.0
11,10,"Property, plant and equipment",7838000000.0,8326500000.0,8938400000.0,9519100000.0,10279200000.0
12,11,"Gross property, plant and equipment",11351000000.0,12312500000.0,,12909800000.0,14414900000.0
13,11,Accumulated Depreciation,-3513000000.0,-3986000000.0,,-3939600000.0,-4135700000.0
14,11,"Net property, plant and equipment",7838000000.0,8326500000.0,8938400000.0,9519100000.0,10279200000.0
15,10,Equity and other investments,319000000.0,329600000.0,344900000.0,346300000.0,337600000.0
16,10,Regulatory assets,1528900000.0,1359300000.0,1715600000.0,1788400000.0,1857300000.0
17,10,Other long-term assets,105300000.0,85800000.0,43900000.0,14600000.0,22600000.0
18,10,Total non-current assets,9791200000.0,10101200000.0,11042800000.0,11668400000.0,12496700000.0
19,0,Total assets,10785500000.0,11112400000.0,12085900000.0,12495200000.0,13373800000.0
20,20,Liabilities and stockholders' equity,10785500000.0,11112400000.0,12085900000.0,12495200000.0,13373800000.0
21,20,Liabilities,7650600000.0,7631000000.0,8647200000.0,8771100000.0,9511800000.0
22,21,Current liabilities,1020000000.0,1433300000.0,1214700000.0,1359300000.0,1162000000.0
23,22,Short-term debt,219000000.0,637900000.0,324300000.0,473200000.0,248700000.0
24,22,Accounts payable,339300000.0,365000000.0,427900000.0,402400000.0,445300000.0
25,22,Taxes payable,48000000.0,50000000.0,,,59500000.0
26,22,Accrued liabilities,48000000.0,50700000.0,,,
27,22,Other current liabilities,365700000.0,329700000.0,462500000.0,483700000.0,408500000.0
28,22,Total current liabilities,1020000000.0,1433300000.0,1214700000.0,1359300000.0,1162000000.0
29,21,Non-current liabilities,6630600000.0,6197700000.0,7432500000.0,7411800000.0,8349800000.0
30,29,Long-term debt,3136600000.0,2977800000.0,3606700000.0,3522200000.0,4315600000.0
31,29,Deferred taxes liabilities,1934200000.0,2112700000.0,2321100000.0,2381200000.0,2570200000.0
32,29,Pensions and other benefits,364000000.0,206600000.0,421700000.0,451800000.0,489900000.0
33,29,Regulatory liabilities,726400000.0,624900000.0,621100000.0,550600000.0,494800000.0
34,29,Minority interest,146900000.0,1800000.0,201800000.0,0.0,200000000.0
35,29,Other long-term liabilities,322500000.0,273900000.0,260100000.0,506000000.0,279300000.0
36,29,Total non-current liabilities,6630600000.0,6197700000.0,7432500000.0,7411800000.0,8349800000.0
37,21,Total liabilities,7650600000.0,7631000000.0,8647200000.0,8771100000.0,9511800000.0
38,20,stockholders' equity,3134900000.0,3481400000.0,3438700000.0,3724100000.0,3862000000.0
39,38,Preferred stock,,200000000.0,,,
40,38,Common stock,1100000.0,1100000.0,1100000.0,1100000.0,2300000.0
41,38,Additional paid-in capital,1511200000.0,1507800000.0,1509100000.0,1663000000.0,1693100000.0
42,38,Retained earnings,1630700000.0,1780700000.0,1938000000.0,2068900000.0,2177000000.0
43,38,Treasury stock,-7300000.0,-8000000.0,-8900000.0,-8500000.0,-10000000.0
44,38,Accumulated other comprehensive income,-800000.0,-200000.0,-600000.0,-400000.0,-400000.0
45,38,Total stockholders' equity,3134900000.0,3481400000.0,3438700000.0,3724100000.0,3862000000.0
46,20,Total liabilities and stockholders' equity,10785500000.0,11112400000.0,12085900000.0,12495200000.0,13373800000.0
