Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,37.72,29.68,33.23,52.31,35.76,34.44,38.35,43.53,55.64,49.83,49.86
Accounts Receivable,14.69,12.99,20.1,14.56,9.57,8.31,10.02,11.68,10.29,13.8,12.35
Inventory,10.05,11.96,12.8,9.77,7.91,7.71,9.26,10.07,7.92,10.17,10.71
Other Current Assets,5.86,6.63,4.5,4.13,1.92,1.86,2.21,1.68,1.25,1.61,1.51
Total Current Assets,68.32,61.27,70.62,80.76,55.16,52.33,59.85,66.96,75.09,75.42,74.43
Net PP&E,8.4,11.05,8.05,6.67,7.3,8.33,6.8,6.64,5.21,5.66,6.01
Intangibles,14.36,13.36,9.52,5.34,33.56,34.85,29.53,22.59,15.9,14.82,15.36
Other Long-Term Assets,8.91,14.32,11.8,7.23,3.98,4.5,3.83,3.81,3.8,4.11,4.19
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.18,2.54,4.87,4.03,3.23,2.76,2.8,3.21,2.84,3.83,3.81
Short-Term Debt,1.08,,,,,,,,,,
Taxes Payable,,,,1.26,0.31,0.54,1.18,0.42,0.71,0.78,1.17
Accrued Liabilities,13.9,12.3,12.44,7.58,4.22,5.86,6.02,3.36,5.2,5.03,5.48
Other Short-Term Liabilities,4.57,2.62,5.15,3.99,10.06,10.2,9.8,21.12,10.97,14.69,12.04
Total Current Liabilities,22.72,17.46,22.46,16.87,17.83,19.37,19.79,28.1,19.72,24.34,22.49
Long-Term Debt,9.84,,,,,,,,,,
Other Long-Term Liabilities,4.07,8.1,6.46,22.26,18.06,18.72,17.28,17.41,32.25,19.43,18.86
Total Liabilities,36.63,25.55,28.92,39.13,35.89,38.09,37.08,45.51,51.97,43.76,41.35
Total Stockholders' Equity,63.37,74.45,71.08,60.87,64.11,61.91,62.92,54.49,48.03,56.24,58.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
