,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,20991000000.0,21634000000.0,21461000000.0,20576000000.0,19851000000.0
1,0,Current assets,7876000000.0,8688000000.0,8679000000.0,7652000000.0,7626000000.0
2,1,Cash,1836000000.0,2273000000.0,2246000000.0,1109000000.0,1297000000.0
3,2,Cash and cash equivalents,1836000000.0,2273000000.0,2246000000.0,1109000000.0,1297000000.0
4,2,Total cash,1836000000.0,2273000000.0,2246000000.0,1109000000.0,1297000000.0
5,1,Receivables,371000000.0,438000000.0,424000000.0,558000000.0,522000000.0
6,1,Inventories,5308000000.0,5557000000.0,5516000000.0,5506000000.0,5399000000.0
7,1,Prepaid expenses,361000000.0,420000000.0,493000000.0,479000000.0,408000000.0
8,1,Total current assets,7876000000.0,8688000000.0,8679000000.0,7652000000.0,7626000000.0
9,0,Non-current assets,13115000000.0,12946000000.0,12782000000.0,12924000000.0,12225000000.0
10,9,"Property, plant and equipment",8196000000.0,7930000000.0,7800000000.0,7616000000.0,7017000000.0
11,10,Land,1736000000.0,1696000000.0,1664000000.0,1629000000.0,1541000000.0
12,10,Fixtures and equipment,4909000000.0,4811000000.0,4828000000.0,4910000000.0,4541000000.0
13,10,Other properties,7498000000.0,7489000000.0,6902000000.0,6396000000.0,5791000000.0
14,10,"Property and equipment, at cost",14143000000.0,13996000000.0,13394000000.0,12935000000.0,11873000000.0
15,10,Accumulated Depreciation,-5947000000.0,-6066000000.0,-5594000000.0,-5319000000.0,-4856000000.0
16,10,"Property, plant and equipment, net",8196000000.0,7930000000.0,7800000000.0,7616000000.0,7017000000.0
17,9,Goodwill,3743000000.0,3743000000.0,3743000000.0,3897000000.0,3897000000.0
18,9,Intangible assets,561000000.0,527000000.0,496000000.0,514000000.0,498000000.0
19,9,Other long-term assets,615000000.0,746000000.0,743000000.0,897000000.0,813000000.0
20,9,Total non-current assets,13115000000.0,12946000000.0,12782000000.0,12924000000.0,12225000000.0
21,0,Total assets,20991000000.0,21634000000.0,21461000000.0,20576000000.0,19851000000.0
22,22,Liabilities and stockholders' equity,20991000000.0,21634000000.0,21461000000.0,20576000000.0,19851000000.0
23,22,Liabilities,14940000000.0,15385000000.0,16083000000.0,16326000000.0,15528000000.0
24,23,Current liabilities,5075000000.0,5726000000.0,5536000000.0,5728000000.0,5647000000.0
25,24,Short-term debt,124000000.0,463000000.0,76000000.0,636000000.0,300000000.0
26,24,Capital leases,0.0,0.0,0.0,6000000.0,9000000.0
27,24,Accounts payable,2204000000.0,2437000000.0,2526000000.0,2340000000.0,1423000000.0
28,24,Deferred income taxes,407000000.0,400000000.0,362000000.0,,
29,24,Taxes payable,550000000.0,519000000.0,483000000.0,411000000.0,352000000.0
30,24,Accrued liabilities,542000000.0,520000000.0,2089000000.0,625000000.0,
31,24,Other current liabilities,1248000000.0,1387000000.0,0.0,1710000000.0,3563000000.0
32,24,Total current liabilities,5075000000.0,5726000000.0,5536000000.0,5728000000.0,5647000000.0
33,23,Non-current liabilities,9865000000.0,9659000000.0,10547000000.0,10598000000.0,9881000000.0
34,33,Long-term debt,6806000000.0,6728000000.0,7265000000.0,6966000000.0,6535000000.0
35,33,Capital leases,0.0,0.0,0.0,29000000.0,27000000.0
36,33,Deferred taxes liabilities,1238000000.0,1273000000.0,1081000000.0,1477000000.0,1443000000.0
37,33,Minority interest,,,,3000000.0,-1000000.0
38,33,Other long-term liabilities,1821000000.0,1658000000.0,2201000000.0,2123000000.0,1877000000.0
39,33,Total non-current liabilities,9865000000.0,9659000000.0,10547000000.0,10598000000.0,9881000000.0
40,23,Total liabilities,14940000000.0,15385000000.0,16083000000.0,16326000000.0,15528000000.0
41,22,Stockholders' equity,6051000000.0,6249000000.0,5378000000.0,4250000000.0,4323000000.0
42,41,Common stock,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0
43,41,Additional paid-in capital,3872000000.0,2522000000.0,1048000000.0,621000000.0,617000000.0
44,41,Retained earnings,5108000000.0,6235000000.0,7340000000.0,6334000000.0,6088000000.0
45,41,Treasury stock,-2002000000.0,-1847000000.0,-1942000000.0,-1665000000.0,-1489000000.0
46,41,Accumulated other comprehensive income,-931000000.0,-665000000.0,-1072000000.0,-1043000000.0,-896000000.0
47,41,Total stockholders' equity,6051000000.0,6249000000.0,5378000000.0,4250000000.0,4323000000.0
48,22,Total liabilities and stockholders' equity,20991000000.0,21634000000.0,21461000000.0,20576000000.0,19851000000.0
