,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,9.6875,9.8125,9.4375,9.4375,6.863517,2045200
1,1995-01-04,9.5,9.5,9.375,9.4375,6.863517,1211400
2,1995-01-05,9.5,9.6875,9.4375,9.5,6.908973,2953600
3,1995-01-06,9.4375,9.5,9.3125,9.4375,6.863517,1457200
4,1995-01-09,9.4375,9.4375,9.3125,9.375,6.818064,1271800
5,1995-01-10,9.375,9.375,9.125,9.125,6.636247999999999,1517000
6,1995-01-11,9.125,9.25,8.9375,9.1875,6.681705,1966800
7,1995-01-12,9.1875,9.1875,9.0625,9.0625,6.590796000000001,731600
8,1995-01-13,9.0625,9.1875,9.0,9.0625,6.590796000000001,962000
9,1995-01-16,9.125,9.1875,9.0,9.125,6.636247999999999,889600
10,1995-01-17,9.125,9.25,9.0625,9.25,6.727156,1731800
11,1995-01-18,9.5,9.5,9.375,9.5,6.908973,2173200
12,1995-01-19,9.5625,9.625,9.3125,9.5,6.908973,1843400
13,1995-01-20,9.5,9.5,9.375,9.375,6.818064,820800
14,1995-01-23,9.3125,9.4375,9.25,9.4375,6.863517,1124200
15,1995-01-24,9.4375,9.5,9.375,9.4375,6.863517,749200
16,1995-01-25,9.4375,9.5625,9.3125,9.5,6.908973,894800
17,1995-01-26,9.4375,9.5,9.375,9.4375,6.863517,700000
18,1995-01-27,9.4375,9.5,9.3125,9.3125,6.772614,514600
19,1995-01-30,9.3125,9.375,9.25,9.3125,6.772614,850600
20,1995-01-31,9.375,9.5,9.3125,9.4375,6.863517,998200
21,1995-02-01,9.5,9.5625,9.375,9.5,6.908973,1416200
22,1995-02-02,9.625,9.75,9.5,9.625,6.999878,2549600
23,1995-02-03,9.6875,9.875,9.5625,9.8125,7.136239,3613800
24,1995-02-06,9.875,9.9375,9.8125,9.875,7.181692999999999,2487800
25,1995-02-07,9.9375,10.0,9.8125,9.875,7.181692999999999,2217000
26,1995-02-08,10.0,10.125,9.9375,10.0625,7.318053999999999,2693000
27,1995-02-09,10.125,10.4375,10.125,10.3125,7.499872,2453200
28,1995-02-10,10.4375,10.8125,10.3125,10.8125,7.863503,6136800
29,1995-02-13,11.0,11.125,10.875,11.0,7.999863,3791600
30,1995-02-14,11.125,11.1875,11.0625,11.1875,8.136225,3940600
31,1995-02-15,11.1875,11.3125,11.0625,11.125,8.090773,3254200
32,1995-02-16,11.125,11.125,10.875,10.875,7.9089529999999995,1709600
33,1995-02-17,10.9375,10.9375,10.6875,10.75,7.818047,3315800
34,1995-02-21,10.8125,10.9375,10.75,10.8125,7.863503,2596600
35,1995-02-22,10.875,10.875,10.6875,10.875,7.9089529999999995,1711400
36,1995-02-23,10.875,11.0625,10.8125,11.0,7.999863,1896800
37,1995-02-24,10.9375,10.9375,10.75,10.78125,7.840775,2139000
38,1995-02-27,10.625,10.8125,10.625,10.75,7.818047,865800
39,1995-02-28,11.0,11.0,10.8125,11.0,7.999863,1996200
40,1995-03-01,11.0,11.375,10.875,11.25,8.181678999999999,4727600
41,1995-03-02,11.25,11.3125,11.0625,11.125,8.090773,2289200
42,1995-03-03,11.1875,11.3125,11.125,11.1875,8.136225,1112000
43,1995-03-06,11.0,11.125,10.9375,11.0625,8.045316999999999,1953600
44,1995-03-07,11.0625,11.0625,10.75,10.8125,7.863503,1205400
45,1995-03-08,10.6875,10.875,10.6875,10.6875,7.772595,1473400
46,1995-03-09,10.75,10.75,10.375,10.5625,7.681684,1820000
47,1995-03-10,10.4375,10.625,10.4375,10.4375,7.5907789999999995,1253200
48,1995-03-13,10.5,10.75,10.375,10.75,7.818047,1344000
49,1995-03-14,10.75,10.8125,10.5625,10.625,7.727138,1466000
50,1995-03-15,10.625,10.875,10.625,10.8125,7.863503,2036000
51,1995-03-16,10.8125,11.125,10.75,11.125,8.090773,2261800
52,1995-03-17,11.0625,11.125,10.9375,11.0,7.999863,1120200
53,1995-03-20,10.875,11.0,10.8125,10.8125,7.863503,1180400
54,1995-03-21,10.8125,11.0625,10.8125,11.0,7.999863,1400400
55,1995-03-22,10.9375,10.9375,10.75,10.8125,7.863503,1773600
56,1995-03-23,10.8125,11.3125,10.75,11.1875,8.136225,3423800
57,1995-03-24,11.25,11.3125,11.125,11.25,8.181678999999999,2119000
58,1995-03-27,11.1875,11.25,11.125,11.25,8.181678999999999,905800
59,1995-03-28,11.25,11.5625,11.25,11.375,8.272586,3702000
60,1995-03-29,11.3125,11.5,11.3125,11.4375,8.318038,1997400
61,1995-03-30,11.5,11.5625,11.1875,11.3125,8.227132000000001,2185200
62,1995-03-31,11.1875,11.1875,11.0,11.0625,8.045316999999999,1474200
63,1995-04-03,11.125,11.125,10.9375,11.0625,8.045316999999999,957000
64,1995-04-04,11.0625,11.1875,10.9375,11.0,7.999863,975800
65,1995-04-05,10.9375,11.0625,10.875,11.0,7.999863,1435200
66,1995-04-06,11.0,11.0,10.75,10.875,7.9089529999999995,2058600
67,1995-04-07,10.9375,10.9375,10.75,10.8125,7.863503,979400
68,1995-04-10,10.8125,11.0625,10.5625,10.75,7.818047,2116800
69,1995-04-11,10.6875,10.8125,10.625,10.8125,7.863503,888400
70,1995-04-12,10.75,10.875,10.75,10.75,7.818047,1482600
71,1995-04-13,10.75,10.8125,10.5625,10.625,7.727138,1931800
72,1995-04-17,10.625,10.625,10.5,10.5625,7.681684,1753800
73,1995-04-18,10.5625,10.625,10.4375,10.4375,7.5907789999999995,1445200
74,1995-04-19,10.5,10.5,10.375,10.375,7.545325999999999,1343000
75,1995-04-20,10.4375,10.5625,10.375,10.5625,7.681684,569800
76,1995-04-21,10.5625,10.6875,10.5625,10.625,7.727138,1120000
77,1995-04-24,10.625,10.625,10.5,10.625,7.727138,854200
78,1995-04-25,10.625,10.625,10.4375,10.4375,7.5907789999999995,1341800
79,1995-04-26,10.375,10.4375,10.25,10.375,7.545325999999999,1688800
80,1995-04-27,10.375,10.5625,10.3125,10.5,7.6362309999999995,897800
81,1995-04-28,10.5,10.625,10.3125,10.5625,7.681684,1296800
82,1995-05-01,10.5,10.625,10.4375,10.5625,7.681684,1282800
83,1995-05-02,10.5625,10.5625,10.5,10.5625,7.681684,572200
84,1995-05-03,10.625,10.6875,10.5,10.625,7.727138,835400
85,1995-05-04,10.625,10.875,10.625,10.8125,7.863503,2239200
86,1995-05-05,10.9375,10.9375,10.6875,10.8125,7.863503,689600
87,1995-05-08,10.75,10.8125,10.625,10.6875,7.772595,1234800
88,1995-05-09,10.625,10.875,10.5625,10.875,7.9089529999999995,1488200
89,1995-05-10,10.8125,10.8125,10.5,10.6875,7.772595,3150600
90,1995-05-11,10.75,11.0,10.625,11.0,7.999863,1640600
91,1995-05-12,11.0,11.1875,11.0,11.125,8.090773,3865600
92,1995-05-15,11.25,11.25,11.0,11.25,8.181678999999999,1160800
93,1995-05-16,11.1875,11.25,11.125,11.1875,8.136225,1455800
94,1995-05-17,11.1875,11.25,10.75,10.875,7.9089529999999995,2808200
95,1995-05-18,10.8125,11.0,10.6875,10.6875,7.772595,2672200
96,1995-05-19,10.625,10.9375,10.625,10.8125,7.863503,1630600
97,1995-05-22,10.8125,10.875,10.6875,10.875,7.9089529999999995,1217800
98,1995-05-23,10.9375,11.0,10.875,11.0,7.999863,1006800
99,1995-05-24,10.9375,11.0,10.8125,10.9375,7.954409,1288400
100,1995-05-25,10.875,11.125,10.875,11.125,8.090773,1225800
101,1995-05-26,11.0625,11.125,10.9375,11.0,7.999863,780000
102,1995-05-30,10.9375,11.0625,10.9375,11.0,7.999863,976000
103,1995-05-31,11.25,11.5625,11.125,11.5,8.363491,6314000
104,1995-06-01,11.625,11.75,11.5,11.6875,8.499855,2852800
105,1995-06-02,11.6875,12.0,11.625,11.9375,8.681668,3313600
106,1995-06-05,11.8125,12.125,11.75,12.125,8.818029,2924800
107,1995-06-06,12.0,12.4375,12.0,12.375,8.999846,3047200
108,1995-06-07,12.3125,12.5625,12.25,12.4375,9.045302000000001,4390200
109,1995-06-08,12.5,12.5,12.3125,12.4375,9.045302000000001,1646200
110,1995-06-09,12.3125,12.4375,12.125,12.125,8.818029,1836200
111,1995-06-12,12.25,12.5,12.1875,12.4375,9.045302000000001,2401000
112,1995-06-13,12.5,13.125,12.5,13.0625,9.499836,6132400
113,1995-06-14,13.0,13.3125,13.0,13.0,9.454383,5690600
114,1995-06-15,13.0625,13.25,13.0625,13.0625,9.499836,2155800
115,1995-06-16,13.0,13.1875,13.0,13.125,9.545289,1015000
116,1995-06-19,13.0625,13.125,12.875,12.9375,9.408928,1898400
117,1995-06-20,13.0,13.0,12.875,12.875,9.363478,1007400
118,1995-06-21,12.875,12.9375,12.625,12.75,9.272568,1814800
119,1995-06-22,12.875,13.0625,12.875,13.0625,9.499836,1579000
120,1995-06-23,13.0625,13.125,12.9375,13.0,9.454383,1975000
121,1995-06-26,12.9375,13.0,12.875,12.875,9.363478,715400
122,1995-06-27,12.875,12.875,12.625,12.6875,9.227114,1081000
123,1995-06-28,12.5625,12.8125,12.5,12.75,9.272568,873600
124,1995-06-29,12.75,12.8125,12.6875,12.75,9.272568,888600
125,1995-06-30,12.6875,12.9375,12.6875,12.875,9.363478,918600
126,1995-07-03,12.875,12.9375,12.4375,12.875,9.363478,495800
127,1995-07-05,12.9375,13.0,12.8125,12.9375,9.408928,1681200
128,1995-07-06,13.25,13.4375,13.1875,13.25,9.636199000000001,3154800
129,1995-07-07,13.25,13.375,13.1875,13.375,9.727107,2225000
130,1995-07-10,13.375,13.8125,13.375,13.75,9.999825999999999,2572000
131,1995-07-11,13.6875,13.8125,13.625,13.75,9.999825999999999,3786400
132,1995-07-12,13.8125,13.875,13.6875,13.75,9.999825999999999,1563200
133,1995-07-13,13.8125,14.0,13.8125,13.8125,10.045281,2599000
134,1995-07-14,13.6875,13.875,13.6875,13.875,10.090734,930600
135,1995-07-17,13.875,13.9375,13.8125,13.875,10.090734,757600
136,1995-07-18,13.875,14.0,13.75,13.9375,10.136188,2380600
137,1995-07-19,13.8125,13.9375,13.5,13.625,9.908919000000001,1198400
138,1995-07-20,13.875,14.0,13.75,13.875,10.090734,1338200
139,1995-07-21,13.875,14.0625,13.875,13.9375,10.136188,1481200
140,1995-07-24,13.9375,14.0625,13.8125,13.8125,10.045281,2928200
141,1995-07-25,13.875,13.9375,13.75,13.8125,10.045281,2196000
142,1995-07-26,13.875,13.9375,13.8125,13.9375,10.136188,1187400
143,1995-07-27,13.875,14.0,13.875,13.9375,10.136188,735400
144,1995-07-28,13.9375,14.0625,13.8125,13.9375,10.136188,1463200
145,1995-07-31,14.0,14.25,14.0,14.1875,10.318003,2054800
146,1995-08-01,14.25,14.4375,14.125,14.4375,10.499818,2758000
147,1995-08-02,14.4375,14.5625,14.3125,14.4375,10.499818,1867000
148,1995-08-03,14.375,14.625,14.3125,14.5,10.545273,3322600
149,1995-08-04,14.4375,14.4375,14.1875,14.3125,10.408914,728200
150,1995-08-07,14.375,14.5625,14.3125,14.5625,10.590727000000001,1530200
151,1995-08-08,14.5,14.625,14.5,14.625,10.636181,1725000
152,1995-08-09,15.0625,15.0625,14.875,14.9375,10.863448,4144600
153,1995-08-10,14.9375,15.0,14.5625,14.5625,10.590727000000001,1228200
154,1995-08-11,14.75,14.875,14.6875,14.8125,10.772542999999999,1282600
155,1995-08-14,14.875,14.875,14.6875,14.75,10.727089999999999,971800
156,1995-08-15,14.25,14.5625,13.6875,14.0,10.181641,12880400
157,1995-08-16,14.1875,14.3125,14.0625,14.3125,10.408914,5587200
158,1995-08-17,14.625,14.625,14.3125,14.5,10.545273,2816400
159,1995-08-18,14.25,14.4375,14.0625,14.25,10.363456,2628200
160,1995-08-21,14.1875,14.375,14.125,14.3125,10.408914,1788200
161,1995-08-22,14.1875,14.3125,14.125,14.25,10.363456,2157600
162,1995-08-23,14.125,14.25,13.9375,14.0,10.181641,3307200
163,1995-08-24,13.875,13.875,13.4375,13.75,9.999825999999999,2583000
