,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,2751068000.0,6841925000.0,6831028000.0,6847781000.0,11604491000.0
1,0,Real estate properties,3716852000.0,7675011000.0,8020428000.0,8198923000.0,12953440000.0
2,0,Accumulated depreciation,-1027618000.0,-1124207000.0,-1358399000.0,-1482368000.0,-1656071000.0
3,0,"Real estate properties, net",2689234000.0,6550804000.0,6662029000.0,6716555000.0,11297369000.0
4,0,Cash and cash equivalents,9075000.0,89333000.0,25401000.0,37559000.0,33536000.0
5,0,Restricted cash,808000.0,44361000.0,28181000.0,26082000.0,88264000.0
6,0,Intangible assets,4106000.0,4106000.0,2321000.0,1607000.0,1239000.0
7,0,Other assets,47845000.0,153321000.0,113096000.0,65978000.0,184083000.0
8,0,Total assets,2751068000.0,6841925000.0,6831028000.0,6847781000.0,11604491000.0
9,9,Liabilities and stockholders' equity,2751068000.0,6841925000.0,6831028000.0,6847781000.0,11604491000.0
10,9,Liabilities,1837016000.0,3895114000.0,3940504000.0,3855684000.0,5200672000.0
11,10,Long-term debt,1673848000.0,3472718000.0,3524515000.0,3427568000.0,4499712000.0
12,10,Payables and accrued expenses,99305000.0,221257000.0,224873000.0,232159000.0,426214000.0
13,10,Other liabilities,63863000.0,201139000.0,191116000.0,195957000.0,274746000.0
14,10,Total liabilities,1837016000.0,3895114000.0,3940504000.0,3855684000.0,5200672000.0
15,9,Stockholders' equity,914052000.0,2946811000.0,2890524000.0,2992097000.0,6403819000.0
16,15,Preferred stock,,,,,9000.0
17,15,Common stock,422000.0,747000.0,752000.0,753000.0,1133000.0
18,15,Additional paid-in capital,1542999000.0,3599549000.0,3619270000.0,3627074000.0,7109012000.0
19,15,Retained earnings,-603315000.0,-653593000.0,-729086000.0,-634141000.0,-707479000.0
20,15,Accumulated other comprehensive income,-26054000.0,108000.0,-412000.0,-1589000.0,1144000.0
21,15,Total stockholders' equity,914052000.0,2946811000.0,2890524000.0,2992097000.0,6403819000.0
22,9,Total liabilities and stockholders' equity,2751068000.0,6841925000.0,6831028000.0,6847781000.0,11604491000.0
