,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,497165000.0,634734000.0,989296000.0,1042779000.0,1125348000.0,1453447000.0
1,1,Expenses,366889000.0,517843000.0,761079000.0,754648000.0,853198000.0,1151287000.0
2,1,Operating expenses,204907000.0,287110000.0,708075000.0,697942000.0,790065000.0,1060369000.0
3,1,Depreciation and amortization,126136000.0,186979000.0,,,,
4,1,"Sales, General and administrative",35846000.0,43754000.0,53004000.0,56706000.0,63133000.0,90918000.0
5,1,Total expenses,366889000.0,517843000.0,761079000.0,754648000.0,853198000.0,1151287000.0
6,6,Operating income,130276000.0,116891000.0,228217000.0,288131000.0,272150000.0,302160000.0
7,7,Interest income,430000.0,488000.0,908000.0,,724000.0,8197000.0
8,8,Interest expenses,58751000.0,75915000.0,119464000.0,122344000.0,129947000.0,148534000.0
9,9,Other income (expense),-4390000.0,-3294000.0,41457000.0,186633000.0,82933000.0,93938000.0
10,10,Income before income taxes,67565000.0,38170000.0,151118000.0,352420000.0,225860000.0,255761000.0
11,11,Provision for income taxes,,893000.0,2050000.0,1673000.0,1699000.0,2409000.0
12,12,Other income,0.0,0.0,0.0,-2000.0,0.0,994000.0
13,13,Net income from continuing operations,67565000.0,37277000.0,149068000.0,350745000.0,224161000.0,254346000.0
14,14,Net income from discontinuing ops,42260000.0,82002000.0,7209000.0,,0.0,
15,15,Extraordinary items,,,,,241000.0,
16,16,Other,-4602000.0,-3998000.0,-8297000.0,-18458000.0,-11698000.0,-10031000.0
17,17,Net income,105223000.0,115281000.0,147980000.0,332287000.0,212222000.0,244315000.0
18,18,Preferred distributions,0.0,,,,307000.0,3073000.0
19,19,Net income available to common shareholders,105223000.0,115281000.0,147980000.0,332287000.0,211915000.0,241242000.0
20,20,Earnings per share,,,,,,
21,21,Basic,2.56,2.27,1.97,4.41,2.69,2.18
22,22,Diluted,2.56,2.25,1.97,4.41,2.69,2.18
23,23,Weighted average shares outstanding,,,,,,
24,24,Basic,41039000.0,50677000.0,74982000.0,75176000.0,78502000.0,107089000.0
25,25,Diluted,42937000.0,53116000.0,74982000.0,75176000.0,78800000.0,107089000.0
26,26,EBITDA,258511000.0,306821000.0,576815000.0,769661000.0,679090000.0,874452000.0
