,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,6875000000.0,6933000000.0,7167000000.0,5680000000.0,5137000000.0
1,0,Current assets,3217000000.0,3468000000.0,3863000000.0,3328000000.0,2934000000.0
2,1,Cash,1351000000.0,1544000000.0,1689000000.0,1716000000.0,990000000.0
3,2,Cash and cash equivalents,1351000000.0,1544000000.0,1689000000.0,1468000000.0,990000000.0
4,2,Short-term investments,,,,248000000.0,
5,2,Total cash,1351000000.0,1544000000.0,1689000000.0,1716000000.0,990000000.0
6,1,Receivables,965000000.0,1004000000.0,1040000000.0,853000000.0,917000000.0
7,1,Inventories,792000000.0,765000000.0,819000000.0,687000000.0,712000000.0
8,1,Deferred income taxes,,,244000000.0,,
9,1,Prepaid expenses,,155000000.0,71000000.0,72000000.0,114000000.0
10,1,Other current assets,109000000.0,0.0,0.0,0.0,201000000.0
11,1,Total current assets,3217000000.0,3468000000.0,3863000000.0,3328000000.0,2934000000.0
12,0,Non-current assets,3658000000.0,3465000000.0,3304000000.0,2352000000.0,2203000000.0
13,12,"Property, plant and equipment",1429000000.0,1252000000.0,1139000000.0,1027000000.0,1060000000.0
14,13,"Gross property, plant and equipment",3231000000.0,2990000000.0,2919000000.0,2574000000.0,2618000000.0
15,13,Accumulated Depreciation,-1802000000.0,-1738000000.0,-1780000000.0,-1547000000.0,-1558000000.0
16,13,"Net property, plant and equipment",1429000000.0,1252000000.0,1139000000.0,1027000000.0,1060000000.0
17,12,Equity and other investments,,88000000.0,,,18000000.0
18,12,Goodwill,1894000000.0,1903000000.0,1884000000.0,839000000.0,832000000.0
19,12,Intangible assets,151000000.0,149000000.0,145000000.0,160000000.0,154000000.0
20,12,Deferred income taxes,,,,,68000000.0
21,12,Other long-term assets,184000000.0,73000000.0,136000000.0,326000000.0,71000000.0
22,12,Total non-current assets,3658000000.0,3465000000.0,3304000000.0,2352000000.0,2203000000.0
23,0,Total assets,6875000000.0,6933000000.0,7167000000.0,5680000000.0,5137000000.0
24,24,Liabilities and stockholders' equity,6875000000.0,6933000000.0,7167000000.0,5680000000.0,5137000000.0
25,24,Liabilities,6553000000.0,6398000000.0,6243000000.0,5815000000.0,5435000000.0
26,25,Current liabilities,1862000000.0,1782000000.0,2211000000.0,2506000000.0,1460000000.0
27,26,Short-term debt,206000000.0,6000000.0,505000000.0,1005000000.0,2000000.0
28,26,Accounts payable,819000000.0,902000000.0,950000000.0,749000000.0,800000000.0
29,26,Taxes payable,,60000000.0,53000000.0,25000000.0,19000000.0
30,26,Accrued liabilities,837000000.0,782000000.0,399000000.0,413000000.0,481000000.0
31,26,Other current liabilities,0.0,32000000.0,304000000.0,314000000.0,158000000.0
32,26,Total current liabilities,1862000000.0,1782000000.0,2211000000.0,2506000000.0,1460000000.0
33,25,Non-current liabilities,4691000000.0,4616000000.0,4032000000.0,3309000000.0,3975000000.0
34,33,Long-term debt,3422000000.0,3421000000.0,2919000000.0,2418000000.0,2995000000.0
35,33,Deferred taxes liabilities,1057000000.0,967000000.0,106000000.0,,
36,33,Minority interest,212000000.0,228000000.0,204000000.0,193000000.0,195000000.0
37,33,Other long-term liabilities,0.0,0.0,803000000.0,698000000.0,785000000.0
38,33,Total non-current liabilities,4691000000.0,4616000000.0,4032000000.0,3309000000.0,3975000000.0
39,25,Total liabilities,6553000000.0,6398000000.0,6243000000.0,5815000000.0,5435000000.0
40,24,Stockholders' equity,322000000.0,535000000.0,924000000.0,-135000000.0,-298000000.0
41,40,Common stock,349000000.0,349000000.0,345000000.0,330000000.0,318000000.0
42,40,Additional paid-in capital,16000000.0,16000000.0,0.0,0.0,0.0
43,40,Retained earnings,-102000000.0,55000000.0,690000000.0,-300000000.0,-381000000.0
44,40,Accumulated other comprehensive income,59000000.0,115000000.0,-111000000.0,-165000000.0,-235000000.0
45,40,Total stockholders' equity,322000000.0,535000000.0,924000000.0,-135000000.0,-298000000.0
46,24,Total liabilities and stockholders' equity,6875000000.0,6933000000.0,7167000000.0,5680000000.0,5137000000.0
