,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,35386500000.0,36626300000.0,34281400000.0,37938700000.0,31023900000.0
1,0,Current assets,4922100000.0,5050100000.0,4185500000.0,9643000000.0,4848600000.0
2,1,Cash,2336100000.0,2798700000.0,2077900000.0,7685500000.0,1223400000.0
3,2,Cash and cash equivalents,2336100000.0,2798700000.0,2077900000.0,7685500000.0,1223400000.0
4,2,Total cash,2336100000.0,2798700000.0,2077900000.0,7685500000.0,1223400000.0
5,1,Receivables,1375300000.0,1319800000.0,1214400000.0,1298700000.0,1474100000.0
6,1,Inventories,121700000.0,123700000.0,110000000.0,100100000.0,58900000.0
7,1,Prepaid expenses,1089000000.0,807900000.0,783200000.0,558700000.0,565200000.0
8,1,Other current assets,0.0,0.0,0.0,0.0,1527000000.0
9,1,Total current assets,4922100000.0,5050100000.0,4185500000.0,9643000000.0,4848600000.0
10,0,Non-current assets,30464400000.0,31576200000.0,30095900000.0,28295700000.0,26175300000.0
11,10,"Property, plant and equipment",24677200000.0,25747300000.0,24557500000.0,23117600000.0,21257600000.0
12,11,"Gross property, plant and equipment",38491100000.0,40355600000.0,39126100000.0,37692400000.0,34443400000.0
13,11,Accumulated Depreciation,-13813900000.0,-14608300000.0,-14568600000.0,-14574800000.0,-13185800000.0
14,11,"Net property, plant and equipment",24677200000.0,25747300000.0,24557500000.0,23117600000.0,21257600000.0
15,10,Equity and other investments,1380500000.0,1209100000.0,1004500000.0,792700000.0,725900000.0
16,10,Goodwill,2804000000.0,2872700000.0,2735300000.0,2516300000.0,2336500000.0
17,10,Other long-term assets,1602700000.0,1747100000.0,1798600000.0,1869100000.0,1855300000.0
18,10,Total non-current assets,30464400000.0,31576200000.0,30095900000.0,28295700000.0,26175300000.0
19,0,Total assets,35386500000.0,36626300000.0,34281400000.0,37938700000.0,31023900000.0
20,20,Liabilities and stockholders' equity,35386500000.0,36626300000.0,34281400000.0,37938700000.0,31023900000.0
21,20,Liabilities,20092900000.0,20616600000.0,21428000000.0,30850800000.0,33228200000.0
22,21,Current liabilities,3403100000.0,3170000000.0,2747900000.0,2950400000.0,3468300000.0
23,22,Short-term debt,,,,,77200000.0
24,22,Accounts payable,1141900000.0,1086000000.0,860100000.0,874700000.0,756000000.0
25,22,Taxes payable,669400000.0,598600000.0,496800000.0,463800000.0,533500000.0
26,22,Accrued liabilities,1591800000.0,1485400000.0,1391000000.0,1611900000.0,1406800000.0
27,22,Other current liabilities,0.0,0.0,0.0,0.0,694800000.0
28,22,Total current liabilities,3403100000.0,3170000000.0,2747900000.0,2950400000.0,3468300000.0
29,21,Non-current liabilities,16689800000.0,17446600000.0,18680100000.0,27900400000.0,29759900000.0
30,29,Long-term debt,13632500000.0,14129800000.0,14989700000.0,24122100000.0,25878500000.0
31,29,Deferred taxes liabilities,1531100000.0,1647700000.0,1624500000.0,1704300000.0,1817100000.0
32,29,Other long-term liabilities,1526200000.0,1669100000.0,2065900000.0,2074000000.0,2064300000.0
33,29,Total non-current liabilities,16689800000.0,17446600000.0,18680100000.0,27900400000.0,29759900000.0
34,21,Total liabilities,20092900000.0,20616600000.0,21428000000.0,30850800000.0,33228200000.0
35,20,Stockholders' equity,15293600000.0,16009700000.0,12853400000.0,7087900000.0,-2204300000.0
36,35,Common stock,16600000.0,16600000.0,16600000.0,16600000.0,16600000.0
37,35,Additional paid-in capital,5778900000.0,5994100000.0,6239100000.0,6533400000.0,6757900000.0
38,35,Retained earnings,39278000000.0,41751200000.0,43294500000.0,44594500000.0,46222700000.0
39,35,Treasury stock,-30576300000.0,-32179800000.0,-35177100000.0,-41176800000.0,-52108600000.0
40,35,Accumulated other comprehensive income,796400000.0,427600000.0,-1519700000.0,-2879800000.0,-3092900000.0
41,35,Total stockholders' equity,15293600000.0,16009700000.0,12853400000.0,7087900000.0,-2204300000.0
42,20,Total liabilities and stockholders' equity,35386500000.0,36626300000.0,34281400000.0,37938700000.0,31023900000.0
