Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2259.0,1755.0,1797.0,2032.0,2280.0,2730.0,2973.0,3334.0,3485.0,3604.0,3980.0
Gross Margin %,74.1,71.9,70.4,70.2,70.0,70.9,72.3,72.1,72.0,71.5,71.2
Operating Income USD Mil,1131.0,748.0,688.0,772.0,888.0,1077.0,1234.0,1439.0,1473.0,639.0,873.0
Operating Margin %,50.1,42.6,38.3,38.0,39.0,39.5,41.5,43.2,42.3,17.7,21.9
Net Income USD Mil,702.0,458.0,402.0,508.0,571.0,690.0,805.0,989.0,941.0,267.0,547.0
Earnings Per Share USD,2.58,1.87,1.69,2.15,2.49,3.05,3.6,4.61,4.63,1.36,2.83
Dividends USD,0.32,0.4,0.4,0.42,0.54,0.64,0.9,1.12,1.36,1.48,1.51
Payout Ratio % *,,,,,,,,,,,53.3
Shares Mil,272.0,245.0,238.0,236.0,229.0,226.0,224.0,214.0,203.0,195.0,194.0
Book Value Per Share * USD,,,,,,,,,,,-37.07
Operating Cash Flow USD Mil,984.0,535.0,643.0,653.0,803.0,823.0,926.0,1019.0,1153.0,1226.0,679.0
Cap Spending USD Mil,-182.0,-84.0,-91.0,-79.0,-68.0,-45.0,-42.0,-74.0,-89.0,-115.0,-99.0
Free Cash Flow USD Mil,802.0,450.0,553.0,574.0,736.0,778.0,885.0,944.0,1064.0,1111.0,580.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,-360.0,-584.0,-223.0,409.0,290.0,1360.0,1828.0,1487.0,2024.0,824.0,
