Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,214.0,343.0,276.0,270.0,303.0,286.0,257.0,146.0,50.0,45.0,41.0
Gross Margin %,50.4,36.9,37.2,34.0,34.5,35.2,35.8,40.8,49.5,47.5,43.9
Operating Income GBP Mil,22.0,-16.0,10.0,18.0,25.0,18.0,17.0,4.0,-6.0,-40.0,-43.0
Operating Margin %,10.2,-4.6,3.5,6.7,8.4,6.4,6.8,3.0,-11.4,-87.7,-105.7
Net Income GBP Mil,13.0,-22.0,1.0,9.0,16.0,10.0,9.0,-1.0,-66.0,-0.0,15.0
Earnings Per Share GBP,0.05,-0.07,,0.02,0.03,0.02,0.01,,-0.13,,0.03
Dividends GBP,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,,
Payout Ratio % *,28.3,,324.9,6.3,18.0,33.9,43.4,48.5,,,
Shares Mil,287.0,332.0,332.0,384.0,450.0,498.0,498.0,493.0,505.0,505.0,511.0
Book Value Per Share * GBP,0.47,0.52,0.45,0.39,0.39,0.39,0.42,0.4,0.37,0.22,0.05
Operating Cash Flow GBP Mil,28.0,36.0,-23.0,8.0,24.0,5.0,2.0,13.0,1.0,-14.0,-18.0
Cap Spending GBP Mil,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-3.0,-1.0,-1.0,-1.0,-0.0
Free Cash Flow GBP Mil,25.0,33.0,-25.0,6.0,21.0,1.0,-1.0,12.0,-0.0,-15.0,-18.0
Free Cash Flow Per Share * GBP,0.08,0.1,-0.08,0.02,0.06,,-0.01,0.01,0.02,,
Working Capital GBP Mil,-48.0,-66.0,-66.0,-44.0,-20.0,-13.0,6.0,11.0,-8.0,25.0,
