Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,904.0,1034.0,1143.0,1304.0,1703.0,2061.0,2246.0,2465.0,2723.0,3049.0,3312.0
Gross Margin %,51.7,52.1,53.6,52.2,52.5,51.7,52.2,54.4,60.0,63.7,64.4
Operating Income USD Mil,231.0,164.0,337.0,348.0,456.0,551.0,573.0,748.0,894.0,1085.0,1183.0
Operating Margin %,25.5,15.8,29.5,26.7,26.8,26.7,25.5,30.3,32.8,35.6,35.7
Net Income USD Mil,149.0,108.0,209.0,212.0,286.0,340.0,339.0,483.0,547.0,713.0,792.0
Earnings Per Share USD,0.25,0.18,0.37,0.38,0.51,0.62,0.65,0.92,0.95,1.19,1.37
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,593.0,585.0,568.0,558.0,560.0,549.0,520.0,523.0,578.0,600.0,579.0
Book Value Per Share * USD,0.76,0.79,1.11,1.55,1.78,1.3,1.92,2.76,7.65,6.02,6.68
Operating Cash Flow USD Mil,135.0,199.0,156.0,229.0,334.0,288.0,342.0,586.0,208.0,701.0,1071.0
Cap Spending USD Mil,-7.0,-11.0,-29.0,-22.0,-31.0,-49.0,-52.0,-31.0,-42.0,-105.0,-106.0
Free Cash Flow USD Mil,128.0,188.0,127.0,207.0,303.0,238.0,290.0,554.0,165.0,596.0,964.0
Free Cash Flow Per Share * USD,0.22,0.32,0.22,0.37,0.47,0.43,0.55,0.84,0.33,0.32,
Working Capital USD Mil,187.0,374.0,502.0,769.0,917.0,547.0,867.0,1338.0,3068.0,962.0,
