,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,82492000000.0,100254000000.0,98102000000.0,72258000000.0,63364000000.0,71304000000.0
1,1,Cost of revenue,74657000000.0,94021000000.0,90960000000.0,56261000000.0,49679000000.0,56548000000.0
2,2,Gross profit,7835000000.0,6233000000.0,7142000000.0,15997000000.0,13685000000.0,14756000000.0
3,3,Operating expenses,2488000000.0,2808000000.0,3091000000.0,11305000000.0,11307000000.0,11353000000.0
4,3,"Sales, General and administrative",1223000000.0,1248000000.0,1375000000.0,1576000000.0,1605000000.0,1692000000.0
5,3,Other operating expenses,1265000000.0,1560000000.0,1716000000.0,9729000000.0,9702000000.0,9661000000.0
6,3,Total operating expenses,2488000000.0,2808000000.0,3091000000.0,11305000000.0,11307000000.0,11353000000.0
7,7,Operating income,5347000000.0,3425000000.0,4051000000.0,4692000000.0,2378000000.0,3403000000.0
8,8,Interest Expense,110000000.0,167000000.0,202000000.0,288000000.0,538000000.0,591000000.0
9,9,Other income (expense),1000000.0,-12000000.0,-14000000.0,-30000000.0,-18000000.0,-10000000.0
10,10,Income before taxes,5238000000.0,3246000000.0,3835000000.0,4374000000.0,1822000000.0,2802000000.0
11,11,Provision for income taxes,1845000000.0,1113000000.0,1280000000.0,1506000000.0,609000000.0,834000000.0
12,12,Net income from continuing operations,3393000000.0,2133000000.0,2555000000.0,2868000000.0,1213000000.0,1968000000.0
13,13,Other,-4000000.0,-21000000.0,-31000000.0,-16000000.0,-39000000.0,-325000000.0
14,14,Net income,3389000000.0,2112000000.0,2524000000.0,2852000000.0,1174000000.0,1643000000.0
15,15,Preferred dividend,0.0,0.0,4000000.0,4000000.0,1000000.0,1000000.0
16,16,Net income available to common shareholders,3389000000.0,2112000000.0,2520000000.0,2848000000.0,1173000000.0,1642000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,4.975,3.345,4.42,5.29,2.22,3.18
19,19,Diluted,4.945,3.32,4.39,5.26,2.21,3.16
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,680000000.0,630000000.0,570000000.0,538000000.0,528000000.0,517500000.0
22,22,Diluted,684000000.0,634000000.0,574000000.0,542000000.0,530000000.0,520250000.0
23,23,EBITDA,6343000000.0,4633000000.0,5363000000.0,6308000000.0,4361000000.0,5471000000.0
