,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,142431000000.0,172384000000.0,176223000000.0,193694000000.0,241086000000.0
1,0,Current assets,101466000000.0,114246000000.0,124712000000.0,139660000000.0,159851000000.0
2,1,Cash,77022000000.0,85709000000.0,96526000000.0,113240000000.0,132981000000.0
3,2,Cash and cash equivalents,3804000000.0,8669000000.0,5595000000.0,6510000000.0,7663000000.0
4,2,Short-term investments,73218000000.0,77040000000.0,90931000000.0,106730000000.0,125318000000.0
5,2,Total cash,77022000000.0,85709000000.0,96526000000.0,113240000000.0,132981000000.0
6,1,Receivables,17486000000.0,19544000000.0,17908000000.0,18277000000.0,19792000000.0
7,1,Inventories,1938000000.0,2660000000.0,2902000000.0,2251000000.0,2181000000.0
8,1,Deferred income taxes,1632000000.0,1941000000.0,1915000000.0,,
9,1,Other current assets,3388000000.0,4392000000.0,5461000000.0,5892000000.0,4897000000.0
10,1,Total current assets,101466000000.0,114246000000.0,124712000000.0,139660000000.0,159851000000.0
11,0,Non-current assets,40965000000.0,58138000000.0,51511000000.0,54034000000.0,81235000000.0
12,11,"Property, plant and equipment",9991000000.0,13011000000.0,14731000000.0,18356000000.0,23734000000.0
13,12,"Gross property, plant and equipment",22504000000.0,27804000000.0,32337000000.0,38156000000.0,47913000000.0
14,12,Accumulated Depreciation,-12513000000.0,-14793000000.0,-17606000000.0,-19800000000.0,-24179000000.0
15,12,"Net property, plant and equipment",9991000000.0,13011000000.0,14731000000.0,18356000000.0,23734000000.0
16,11,Equity and other investments,10844000000.0,14597000000.0,12053000000.0,10431000000.0,6023000000.0
17,11,Goodwill,14655000000.0,20127000000.0,16939000000.0,17872000000.0,35122000000.0
18,11,Intangible assets,3083000000.0,6981000000.0,4835000000.0,3733000000.0,10106000000.0
19,11,Other long-term assets,2392000000.0,3422000000.0,2953000000.0,3642000000.0,6250000000.0
20,11,Total non-current assets,40965000000.0,58138000000.0,51511000000.0,54034000000.0,81235000000.0
21,0,Total assets,142431000000.0,172384000000.0,176223000000.0,193694000000.0,241086000000.0
22,22,Liabilities and stockholders' equity,142431000000.0,172384000000.0,176223000000.0,193694000000.0,241086000000.0
23,22,Liabilities,63487000000.0,82600000000.0,96140000000.0,121697000000.0,168692000000.0
24,23,Current liabilities,37417000000.0,45625000000.0,49858000000.0,59357000000.0,64527000000.0
25,24,Short-term debt,2999000000.0,2000000000.0,7484000000.0,12904000000.0,10121000000.0
26,24,Accounts payable,4828000000.0,7432000000.0,6591000000.0,6898000000.0,7390000000.0
27,24,Taxes payable,592000000.0,782000000.0,606000000.0,580000000.0,718000000.0
28,24,Accrued liabilities,4117000000.0,4797000000.0,5096000000.0,5264000000.0,5819000000.0
29,24,Deferred revenues,20639000000.0,23150000000.0,23223000000.0,27468000000.0,34102000000.0
30,24,Other current liabilities,4242000000.0,7464000000.0,6858000000.0,6243000000.0,6377000000.0
31,24,Total current liabilities,37417000000.0,45625000000.0,49858000000.0,59357000000.0,64527000000.0
32,23,Non-current liabilities,26070000000.0,36975000000.0,46282000000.0,62340000000.0,104165000000.0
33,32,Long-term debt,12601000000.0,20645000000.0,27808000000.0,40783000000.0,76073000000.0
34,32,Deferred taxes liabilities,1709000000.0,2728000000.0,2835000000.0,1476000000.0,531000000.0
35,32,Deferred revenues,1760000000.0,2008000000.0,2095000000.0,6441000000.0,10377000000.0
36,32,Other long-term liabilities,10000000000.0,11594000000.0,13544000000.0,13640000000.0,17184000000.0
37,32,Total non-current liabilities,26070000000.0,36975000000.0,46282000000.0,62340000000.0,104165000000.0
38,23,Total liabilities,63487000000.0,82600000000.0,96140000000.0,121697000000.0,168692000000.0
39,22,Stockholders' equity,78944000000.0,89784000000.0,80083000000.0,71997000000.0,72394000000.0
40,39,Common stock,67306000000.0,68366000000.0,68465000000.0,68178000000.0,69315000000.0
41,39,Retained earnings,9895000000.0,17710000000.0,9096000000.0,2282000000.0,2648000000.0
42,39,Accumulated other comprehensive income,1743000000.0,3708000000.0,2522000000.0,1537000000.0,431000000.0
43,39,Total stockholders' equity,78944000000.0,89784000000.0,80083000000.0,71997000000.0,72394000000.0
44,22,Total liabilities and stockholders' equity,142431000000.0,172384000000.0,176223000000.0,193694000000.0,241086000000.0
