,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,2341528000.0,2378972000.0,2485983000.0,2395447000.0,2508257000.0,2656721000.0
1,1,Cost of revenue,1100473000.0,1096946000.0,1127233000.0,1043454000.0,1072670000.0,1120017000.0
2,2,Gross profit,1241055000.0,1282026000.0,1358750000.0,1351993000.0,1435587000.0,1536704000.0
3,3,Operating expenses,858454000.0,853503000.0,886979000.0,861985000.0,888642000.0,938601000.0
4,3,Research and development,112530000.0,116346000.0,123297000.0,119076000.0,119968000.0,126878000.0
5,3,"Sales, General and administrative",684026000.0,692788000.0,728582000.0,700810000.0,732622000.0,770827000.0
6,3,"Restructuring, merger and acquisition",16687000.0,19830000.0,5915000.0,11148000.0,,
7,3,Other operating expenses,45211000.0,24539000.0,29185000.0,30951000.0,36052000.0,40896000.0
8,3,Total operating expenses,858454000.0,853503000.0,886979000.0,861985000.0,888642000.0,938601000.0
9,9,Operating income,382601000.0,428523000.0,471771000.0,490008000.0,546945000.0,598103000.0
10,10,Interest Expense,22764000.0,22711000.0,24537000.0,27451000.0,28026000.0,31567000.0
11,11,Other income (expense),22764000.0,-3103000.0,-2230000.0,867000.0,-14726000.0,-4930000.0
12,12,Income before taxes,382601000.0,402709000.0,445004000.0,463424000.0,504193000.0,561606000.0
13,13,Provision for income taxes,91754000.0,96615000.0,106763000.0,110604000.0,119823000.0,124834000.0
14,14,Net income from continuing operations,290847000.0,306094000.0,338241000.0,352820000.0,384370000.0,436772000.0
15,15,Net income,290847000.0,306094000.0,338241000.0,352820000.0,384370000.0,436772000.0
16,16,Net income available to common shareholders,290847000.0,306094000.0,338241000.0,352820000.0,384370000.0,436772000.0
17,17,Earnings per share,,,,,,
18,18,Basic,9.37,10.22,11.71,12.75,14.49,16.84
19,19,Diluted,9.14,9.96,11.44,12.48,14.22,16.45
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,31044532.0,29945954.0,28890771.0,27680918.0,26517768.0,25857418.0
22,22,Diluted,31824077.0,30728482.0,29571308.0,28269615.0,27023905.0,26493825.0
23,23,EBITDA,460143000.0,484724000.0,532343000.0,554913000.0,601014000.0,666706000.0
