,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,17554000000.0,19642000000.0,22553000000.0,24196000000.0,21011000000.0
1,0,Current assets,2771000000.0,2611000000.0,3075000000.0,2276000000.0,1955000000.0
2,1,Cash,1387000000.0,1117000000.0,1183000000.0,1028000000.0,1180000000.0
3,2,Cash and cash equivalents,1387000000.0,1117000000.0,1183000000.0,1028000000.0,1180000000.0
4,2,Total cash,1387000000.0,1117000000.0,1183000000.0,1028000000.0,1180000000.0
5,1,Receivables,964000000.0,947000000.0,857000000.0,450000000.0,615000000.0
6,1,Inventories,90000000.0,121000000.0,105000000.0,115000000.0,89000000.0
7,1,Deferred income taxes,106000000.0,62000000.0,0.0,,
8,1,Prepaid expenses,71000000.0,71000000.0,40000000.0,34000000.0,23000000.0
9,1,Other current assets,153000000.0,293000000.0,890000000.0,649000000.0,48000000.0
10,1,Total current assets,2771000000.0,2611000000.0,3075000000.0,2276000000.0,1955000000.0
11,0,Non-current assets,14783000000.0,17031000000.0,19478000000.0,21920000000.0,19056000000.0
12,11,"Property, plant and equipment",13551000000.0,15725000000.0,18143000000.0,21300000000.0,18548000000.0
13,12,"Gross property, plant and equipment",19840000000.0,22760000000.0,26229000000.0,32078000000.0,31264000000.0
14,12,Accumulated Depreciation,-6289000000.0,-7035000000.0,-8086000000.0,-10778000000.0,-12716000000.0
15,12,"Net property, plant and equipment",13551000000.0,15725000000.0,18143000000.0,21300000000.0,18548000000.0
16,11,Equity and other investments,470000000.0,551000000.0,436000000.0,543000000.0,471000000.0
17,11,Goodwill,635000000.0,627000000.0,620000000.0,,
18,11,Other long-term assets,127000000.0,128000000.0,279000000.0,77000000.0,37000000.0
19,11,Total non-current assets,14783000000.0,17031000000.0,19478000000.0,21920000000.0,19056000000.0
20,0,Total assets,17554000000.0,19642000000.0,22553000000.0,24196000000.0,21011000000.0
21,21,Liabilities and stockholders' equity,17554000000.0,19642000000.0,22553000000.0,24196000000.0,21011000000.0
22,21,Liabilities,9296000000.0,10458000000.0,12228000000.0,13826000000.0,11723000000.0
23,22,Current liabilities,2532000000.0,2342000000.0,2522000000.0,1805000000.0,1478000000.0
24,23,Accounts payable,1508000000.0,1354000000.0,1578000000.0,1128000000.0,736000000.0
25,23,Short-term debt,,200000000.0,0.0,,
26,23,Capital leases,48000000.0,58000000.0,68000000.0,53000000.0,63000000.0
27,23,Income taxes payable,203000000.0,156000000.0,,86000000.0,53000000.0
28,23,Accrued liabilities,55000000.0,218000000.0,219000000.0,111000000.0,76000000.0
29,23,Other current liabilities,718000000.0,356000000.0,657000000.0,427000000.0,550000000.0
30,23,Total current liabilities,2532000000.0,2342000000.0,2522000000.0,1805000000.0,1478000000.0
31,22,Non-current liabilities,6764000000.0,8116000000.0,9706000000.0,12021000000.0,10245000000.0
32,31,Long-term debt,3736000000.0,4566000000.0,6103000000.0,7976000000.0,7011000000.0
33,31,Deferred taxes liabilities,2218000000.0,2441000000.0,2516000000.0,2826000000.0,1819000000.0
34,31,Accrued liabilities,116000000.0,,,,
35,31,Minority interest,,,,,312000000.0
36,31,Other long-term liabilities,694000000.0,1109000000.0,1087000000.0,1219000000.0,1103000000.0
37,31,Total non-current liabilities,6764000000.0,8116000000.0,9706000000.0,12021000000.0,10245000000.0
38,22,Total liabilities,9296000000.0,10458000000.0,12228000000.0,13826000000.0,11723000000.0
39,21,Stockholders' equity,8258000000.0,9184000000.0,10325000000.0,10370000000.0,9288000000.0
40,39,Common stock,2000000.0,4000000.0,4000000.0,5000000.0,5000000.0
41,39,Additional paid-in capital,3304000000.0,3463000000.0,3624000000.0,6360000000.0,6450000000.0
42,39,Retained earnings,5713000000.0,6493000000.0,7458000000.0,4726000000.0,3556000000.0
43,39,Treasury stock,-648000000.0,-659000000.0,-671000000.0,-688000000.0,-692000000.0
44,39,Accumulated other comprehensive income,-113000000.0,-117000000.0,-90000000.0,-33000000.0,-31000000.0
45,39,Total Stockholders' equity,8258000000.0,9184000000.0,10325000000.0,10370000000.0,9288000000.0
46,21,Total liabilities and stockholders' equity,17554000000.0,19642000000.0,22553000000.0,24196000000.0,21011000000.0
