,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,6.15625,6.21875,6.125,6.1875,5.18662,507600
1,1995-01-04,6.1875,6.28125,6.15625,6.1875,5.18662,758800
2,1995-01-05,6.09375,6.15625,6.0625,6.125,5.134231,937200
3,1995-01-06,6.125,6.125,6.0,6.03125,5.055644999999999,300400
4,1995-01-09,5.90625,6.0,5.875,5.875,4.924671,1021200
5,1995-01-10,5.8125,5.90625,5.6875,5.6875,4.767499,343600
6,1995-01-11,5.6875,5.84375,5.46875,5.53125,4.636528,1448400
7,1995-01-12,5.53125,5.59375,5.5,5.59375,4.688916000000001,2214000
8,1995-01-13,5.65625,5.65625,5.53125,5.53125,4.636528,2672000
9,1995-01-16,5.5,5.71875,5.5,5.71875,4.793698,914400
10,1995-01-17,5.75,5.78125,5.71875,5.75,4.819893,674800
11,1995-01-18,5.78125,5.78125,5.6875,5.75,4.819893,885600
12,1995-01-19,5.75,5.8125,5.6875,5.6875,4.767499,494000
13,1995-01-20,5.65625,5.75,5.59375,5.6875,4.767499,355200
14,1995-01-23,5.65625,5.71875,5.5625,5.71875,4.793698,642400
15,1995-01-24,5.75,5.78125,5.625,5.625,4.715112,403200
16,1995-01-25,5.59375,5.75,5.59375,5.71875,4.793698,901600
17,1995-01-26,5.6875,5.78125,5.6875,5.78125,4.846087000000001,964000
18,1995-01-27,5.78125,5.78125,5.625,5.71875,4.793698,1825200
19,1995-01-30,5.71875,5.71875,5.59375,5.59375,4.688916000000001,686000
20,1995-01-31,5.59375,5.59375,5.46875,5.46875,4.584136,2256800
21,1995-02-01,5.5,5.5,5.375,5.40625,4.531744000000001,1479200
22,1995-02-02,5.375,5.625,5.3125,5.625,4.715112,1804000
23,1995-02-03,5.625,5.8125,5.625,5.78125,4.846087000000001,2690000
24,1995-02-06,5.75,5.9375,5.75,5.90625,4.950866,1993200
25,1995-02-07,5.875,5.96875,5.84375,5.9375,4.985503,1057200
26,1995-02-08,5.90625,5.9375,5.90625,5.90625,4.959264,932800
27,1995-02-09,5.875,6.03125,5.875,5.9375,4.985503,1234800
28,1995-02-10,6.0,6.0,5.90625,5.9375,4.985503,283200
29,1995-02-13,5.90625,5.9375,5.84375,5.90625,4.959264,329600
30,1995-02-14,5.90625,5.90625,5.75,5.8125,4.880546,402000
31,1995-02-15,5.8125,5.9375,5.75,5.9375,4.985503,1158000
32,1995-02-16,5.90625,5.9375,5.84375,5.875,4.933022,590800
33,1995-02-17,5.875,6.3125,5.78125,6.21875,5.221655999999999,1658400
34,1995-02-21,6.21875,6.21875,6.125,6.125,5.142937,423200
35,1995-02-22,6.125,6.21875,6.125,6.21875,5.221655999999999,1007200
36,1995-02-23,6.1875,6.34375,6.1875,6.34375,5.3266160000000005,818000
37,1995-02-24,6.3125,6.4375,6.3125,6.4375,5.405334,448800
38,1995-02-27,6.375,6.375,6.28125,6.3125,5.300375,647600
39,1995-02-28,6.3125,6.375,6.3125,6.375,5.352856,349600
40,1995-03-01,6.3125,6.53125,6.3125,6.40625,5.379096,824000
41,1995-03-02,6.40625,6.59375,6.40625,6.53125,5.484053,374400
42,1995-03-03,6.5,6.53125,6.5,6.5,5.457813,368800
43,1995-03-06,6.5,6.6875,6.5,6.6875,5.6152489999999995,400400
44,1995-03-07,6.65625,6.75,6.625,6.71875,5.641488,354800
45,1995-03-08,6.71875,6.875,6.6875,6.875,5.772686,798000
46,1995-03-09,6.8125,6.84375,6.71875,6.71875,5.641488,851200
47,1995-03-10,6.75,6.8125,6.71875,6.75,5.6677290000000005,491200
48,1995-03-13,6.71875,6.71875,6.59375,6.59375,5.536533,861200
49,1995-03-14,6.5625,6.625,6.5,6.59375,5.536533,1690800
50,1995-03-15,6.5,6.5625,6.4375,6.5625,5.510292,771600
51,1995-03-16,6.53125,6.71875,6.5,6.6875,5.6152489999999995,969200
52,1995-03-17,6.71875,6.71875,6.5625,6.5625,5.510292,506400
