Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,146.0,150.0,136.0,150.0,164.0,175.0,186.0,218.0,285.0,337.0,382.0
Gross Margin %,93.2,93.7,93.8,94.6,95.1,95.6,95.3,96.1,96.6,96.8,96.7
Operating Income EUR Mil,24.0,21.0,21.0,27.0,29.0,30.0,36.0,47.0,53.0,70.0,77.0
Operating Margin %,16.3,14.0,15.4,18.4,17.7,17.1,19.2,21.3,18.5,20.7,20.2
Net Income EUR Mil,15.0,11.0,13.0,20.0,21.0,20.0,24.0,31.0,36.0,47.0,53.0
Earnings Per Share EUR,0.38,0.27,0.32,0.49,0.54,0.51,0.62,0.82,0.93,1.22,1.39
Dividends EUR,,,,,,,0.29,0.33,0.4,0.5,0.65
Payout Ratio % *,,,,,,,50.2,42.4,46.1,40.3,46.8
Shares Mil,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Book Value Per Share * EUR,1.4,1.6,1.81,2.24,2.48,2.73,3.0,3.26,3.91,4.68,5.13
Operating Cash Flow EUR Mil,25.0,30.0,23.0,32.0,37.0,36.0,40.0,44.0,65.0,80.0,83.0
Cap Spending EUR Mil,,-6.0,-4.0,-6.0,-5.0,-6.0,-5.0,-4.0,-8.0,-7.0,-9.0
Free Cash Flow EUR Mil,25.0,25.0,20.0,27.0,32.0,30.0,35.0,41.0,57.0,72.0,75.0
Free Cash Flow Per Share * EUR,0.58,0.66,0.65,0.74,0.63,0.86,0.85,1.15,1.29,1.9,
Working Capital EUR Mil,,6.0,7.0,5.0,15.0,27.0,26.0,14.0,22.0,22.0,
