,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,3609282000.0,4374562000.0,5504656000.0,6779511000.0,8830669000.0,10884499000.0
1,1,Cost of revenue,2625866000.0,3083256000.0,3752760000.0,4591476000.0,6029901000.0,7206731000.0
2,2,Gross profit,983416000.0,1291306000.0,1751896000.0,2188035000.0,2800768000.0,3677768000.0
3,3,Operating expenses,933424000.0,1062959000.0,1349248000.0,1882209000.0,2420975000.0,2930458000.0
4,3,Research and development,329008000.0,378769000.0,472321000.0,650788000.0,852098000.0,1004618000.0
5,3,"Sales, General and administrative",604416000.0,684190000.0,876927000.0,1231421000.0,1568877000.0,1925840000.0
6,3,Total operating expenses,933424000.0,1062959000.0,1349248000.0,1882209000.0,2420975000.0,2930458000.0
7,7,Operating income,49992000.0,228347000.0,402648000.0,305826000.0,379793000.0,747310000.0
8,8,Interest Expense,19986000.0,29142000.0,53279000.0,132716000.0,150114000.0,282971000.0
9,9,Other income (expense),474000.0,-28131000.0,0.0,-31225000.0,30828000.0,-20079000.0
10,10,Income before taxes,30480000.0,171074000.0,349369000.0,141885000.0,260507000.0,444260000.0
11,11,Provision for income taxes,13328000.0,58671000.0,82570000.0,19244000.0,73829000.0,4100000.0
12,12,Net income from continuing operations,17152000.0,112403000.0,266799000.0,122641000.0,186678000.0,440160000.0
13,13,Net income,17152000.0,112403000.0,266799000.0,122641000.0,186678000.0,440160000.0
14,14,Net income available to common shareholders,17152000.0,112403000.0,266799000.0,122641000.0,186678000.0,440160000.0
15,15,Earnings per share,,,,,,
16,16,Basic,0.0443,0.2757,0.6343,0.29,0.44,1.03
17,17,Diluted,0.041429,0.264286,0.617143,0.28,0.43,1.0
18,18,Weighted average shares outstanding,,,,,,
19,19,Basic,388647000.0,407386000.0,420546000.0,425889000.0,428822000.0,431041250.0
20,20,Diluted,412328000.0,425327000.0,431893000.0,436456000.0,438652000.0,444792250.0
21,21,EBITDA,95935000.0,248590000.0,3184446000.0,336884000.0,468149000.0,794258000.0
