Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,4806.0,4808.0,5126.0,5328.0,5407.0,5703.0,6288.0,6172.0,6309.0,6467.0
Gross Margin %,,57.2,57.9,58.5,58.9,58.8,58.0,58.3,58.9,58.7,58.2
Operating Income USD Mil,,420.0,116.0,730.0,726.0,880.0,861.0,1089.0,1093.0,1143.0,1209.0
Operating Margin %,,8.7,2.4,14.2,13.6,16.3,15.1,17.3,17.7,18.1,18.7
Net Income USD Mil,,-589.0,-491.0,130.0,84.0,273.0,740.0,384.0,570.0,502.0,507.0
Earnings Per Share USD,,-2.61,-1.79,0.46,0.23,0.75,1.94,1.0,1.54,1.39,1.42
Dividends USD,,,,,,,0.72,0.95,1.09,1.21,1.3
Payout Ratio % *,,,,,,,55.3,90.9,82.8,72.8,91.5
Shares Mil,,227.0,274.0,,358.0,366.0,381.0,384.0,371.0,362.0,359.0
Book Value Per Share * USD,,,,,12.63,13.6,14.96,15.06,12.22,11.88,11.96
Operating Cash Flow USD Mil,,317.0,517.0,543.0,641.0,784.0,901.0,1093.0,1179.0,1296.0,1347.0
Cap Spending USD Mil,,-370.0,-282.0,-334.0,-367.0,-358.0,-374.0,-412.0,-408.0,-433.0,-428.0
Free Cash Flow USD Mil,,-53.0,235.0,209.0,274.0,426.0,527.0,681.0,771.0,863.0,919.0
Free Cash Flow Per Share * USD,,,,,0.8,1.16,1.42,1.61,1.96,1.92,
Working Capital USD Mil,,-401.0,22.0,47.0,-27.0,-75.0,599.0,221.0,221.0,628.0,
