,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,1149000000.0,1270000000.0,1510000000.0,1309000000.0,2072000000.0,1137000000.0
1,0,Net income,579000000.0,-352000000.0,132000000.0,-6436000000.0,-891000000.0,-1737000000.0
2,0,Depreciation & amortization,1135000000.0,1341000000.0,1633000000.0,1692000000.0,1507000000.0,1416000000.0
3,0,Amortization of debt discount/premium and issuance costs,72000000.0,5000000.0,30000000.0,30000000.0,13000000.0,19000000.0
4,0,Investment/asset impairment charges,0.0,558000000.0,97000000.0,5086000000.0,1186000000.0,1052000000.0
5,0,Accounts receivable,-131000000.0,-224000000.0,-2000000.0,136000000.0,-12000000.0,
6,0,Inventory,-172000000.0,11000000.0,-245000000.0,-26000000.0,134000000.0,
7,0,Prepaid expenses,-26000000.0,-22000000.0,182000000.0,8000000.0,-39000000.0,
8,0,Accounts payable,-132000000.0,275000000.0,-12000000.0,-218000000.0,-27000000.0,
9,0,Accrued liabilities,231000000.0,-114000000.0,-26000000.0,-9000000.0,-39000000.0,
10,0,Other working capital,278000000.0,-453000000.0,-217000000.0,-149000000.0,-92000000.0,-325000000.0
11,0,Other non-cash items,-685000000.0,245000000.0,-62000000.0,1195000000.0,332000000.0,712000000.0
12,0,Net cash provided by operating activities,1149000000.0,1270000000.0,1510000000.0,1309000000.0,2072000000.0,1137000000.0
13,13,Cash Flows From Investing Activities,-2262000000.0,-2528000000.0,-2903000000.0,-1485000000.0,-824000000.0,-1334000000.0
14,13,"Investments in property, plant, and equipment",-3397000000.0,-1987000000.0,-925000000.0,-1283000000.0,-1244000000.0,-1360000000.0
15,13,"Acquisitions, net",-81000000.0,-494000000.0,-2936000000.0,-31000000.0,-209000000.0,-227000000.0
16,13,Purchases of investments,-461000000.0,-514000000.0,-722000000.0,-1024000000.0,-585000000.0,-617000000.0
17,13,Sales/Maturities of investments,399000000.0,488000000.0,600000000.0,631000000.0,510000000.0,547000000.0
18,13,Purchases of intangibles,-1000000.0,,,,,
19,13,Other investing activities,1279000000.0,-21000000.0,1080000000.0,222000000.0,704000000.0,323000000.0
20,13,Net cash used for investing activities,-2262000000.0,-2528000000.0,-2903000000.0,-1485000000.0,-824000000.0,-1334000000.0
21,21,Cash Flows From Financing Activities,2099000000.0,1427000000.0,1265000000.0,-432000000.0,-794000000.0,-148000000.0
22,21,Debt issued,3165000000.0,1777000000.0,4563000000.0,1004000000.0,5527000000.0,1424000000.0
23,21,Debt repayment,,-935000000.0,,,-5913000000.0,-1272000000.0
24,21,Common stock issued,347000000.0,16000000.0,21000000.0,1000000.0,1000000.0,0.0
25,21,Repurchases of treasury stock,0.0,-25000000.0,-39000000.0,-437000000.0,-226000000.0,0.0
26,21,Cash dividends paid,-50000000.0,-154000000.0,-196000000.0,-201000000.0,-76000000.0,-38000000.0
27,21,Other financing activities,-1363000000.0,748000000.0,-3084000000.0,-799000000.0,-107000000.0,-262000000.0
28,21,Net cash provided by (used for) financing activities,2099000000.0,1427000000.0,1265000000.0,-432000000.0,-794000000.0,-148000000.0
29,29,Effect of exchange rate changes,-4000000.0,-2000000.0,-10000000.0,10000000.0,1000000.0,
30,30,Net change in cash,982000000.0,167000000.0,-138000000.0,-598000000.0,455000000.0,-345000000.0
31,31,Cash at beginning of period,1105000000.0,2087000000.0,2254000000.0,2116000000.0,1518000000.0,1703000000.0
32,32,Cash at end of period,2087000000.0,2254000000.0,2116000000.0,1518000000.0,1973000000.0,1358000000.0
33,33,Free Cash Flow,,,,,,
34,34,Operating cash flow,1149000000.0,1270000000.0,1510000000.0,1309000000.0,2072000000.0,1137000000.0
35,35,Capital expenditure,-3397000000.0,-1987000000.0,-925000000.0,-1283000000.0,-1244000000.0,-1360000000.0
36,36,Free cash flow,-2248000000.0,-717000000.0,585000000.0,26000000.0,828000000.0,-223000000.0
