,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,8891000000.0,8574000000.0,8633000000.0,8292000000.0,8139000000.0,8232000000.0
1,1,Cost of revenue,5420000000.0,5139000000.0,5025000000.0,4728000000.0,4529000000.0,4521000000.0
2,2,Gross profit,3471000000.0,3435000000.0,3608000000.0,3564000000.0,3610000000.0,3711000000.0
3,3,Operating expenses,3331000000.0,3243000000.0,3286000000.0,3227000000.0,3174000000.0,3133000000.0
4,3,"Sales, General and administrative",2783000000.0,2665000000.0,2756000000.0,2722000000.0,2725000000.0,2707000000.0
5,3,Other operating expenses,548000000.0,578000000.0,530000000.0,505000000.0,449000000.0,426000000.0
6,3,Total operating expenses,3331000000.0,3243000000.0,3286000000.0,3227000000.0,3174000000.0,3133000000.0
7,7,Operating income,140000000.0,192000000.0,322000000.0,337000000.0,436000000.0,578000000.0
8,8,Other income (expense),33000000.0,-589000000.0,-266000000.0,-156000000.0,-1051000000.0,-1051000000.0
9,9,Income before taxes,173000000.0,-397000000.0,56000000.0,181000000.0,-615000000.0,-473000000.0
10,10,Provision for income taxes,-374000000.0,-691000000.0,134000000.0,-54000000.0,28000000.0,83000000.0
11,11,Net income from continuing operations,547000000.0,294000000.0,-78000000.0,235000000.0,-643000000.0,-556000000.0
12,12,Net income from discontinuing ops,,,,15000000.0,0.0,
13,13,Other,-41000000.0,-55000000.0,-69000000.0,-71000000.0,-95000000.0,-99000000.0
14,14,Net income,506000000.0,239000000.0,-147000000.0,179000000.0,-738000000.0,-655000000.0
15,15,Preferred dividend,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0
16,16,Net income available to common shareholders,506000000.0,239000000.0,-149000000.0,177000000.0,-740000000.0,-657000000.0
17,17,Earnings per share,,,,,,
18,18,Basic,0.87,0.41,-0.26,0.3,-1.27,-1.12
19,19,Diluted,0.87,0.41,-0.26,0.3,-1.27,-1.12
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,581609195.0,579000000.0,581000000.0,580600000.0,581400000.0,581775000.0
22,22,Diluted,581609195.0,579700000.0,581000000.0,582500000.0,581400000.0,582050000.0
23,23,EBITDA,688000000.0,770000000.0,852000000.0,842000000.0,885000000.0,1004000000.0
