Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.27,1.56,0.34,0.5,0.09,0.1,0.1,0.03,0.34,0.07,0.02
Accounts Receivable,0.23,0.35,0.36,0.32,0.35,0.4,0.4,0.58,0.69,0.8,0.83
Inventory,,,,,,,,,,,
Other Current Assets,-6.51,-1.92,,,,,,,,,
Total Current Assets,,,0.7,0.82,0.44,0.49,0.5,0.62,1.03,0.87,0.85
Net PP&E,91.78,95.59,96.64,96.2,94.08,92.28,88.51,88.69,89.41,90.3,90.1
Intangibles,0.56,0.57,0.59,1.23,3.86,0.31,9.58,9.58,8.85,8.34,8.61
Other Long-Term Assets,-92.33,-96.17,2.07,1.75,1.62,6.92,1.4,1.11,0.72,0.49,0.43
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,,,,,
Short-Term Debt,,,,,,,,,,,0.31
Taxes Payable,,,,,,,,,,,0.16
Accrued Liabilities,,,,0.94,0.9,,,,,,0.06
Other Short-Term Liabilities,,,1.9,0.93,0.91,1.73,1.45,1.52,1.4,1.34,0.59
Total Current Liabilities,,,1.9,1.87,1.81,1.73,1.45,1.52,1.4,1.34,1.12
Long-Term Debt,47.77,45.76,46.47,45.25,46.5,52.98,41.99,44.78,40.8,44.4,42.24
Other Long-Term Liabilities,-47.77,-45.76,0.58,0.64,0.66,0.97,2.3,2.74,2.75,2.81,2.97
Total Liabilities,50.02,48.08,48.95,47.76,48.98,55.67,45.74,49.03,44.95,48.55,46.32
Total Stockholders' Equity,49.98,51.92,51.05,52.24,51.02,44.33,54.26,50.97,55.05,51.45,53.68
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
