Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,12694.0,13359.0,11721.0,12543.0,13873.0,14219.0,14585.0,15317.0,15134.0,15416.0,15338.0
Gross Margin %,29.0,28.4,27.9,26.5,25.9,26.8,26.5,17.7,17.5,17.8,18.1
Operating Income USD Mil,1659.0,1689.0,1375.0,1460.0,1671.0,1804.0,1825.0,1944.0,1920.0,2009.0,2042.0
Operating Margin %,13.1,12.6,11.7,11.6,12.0,12.7,12.5,12.7,12.7,13.0,13.3
Net Income USD Mil,976.0,1000.0,793.0,828.0,953.0,998.0,991.0,1104.0,1094.0,1148.0,1184.0
Earnings Per Share USD,2.93,3.14,2.53,2.7,3.33,3.61,3.71,4.24,4.41,4.78,5.02
Dividends USD,0.57,0.6,0.6,0.8,1.0,1.2,1.6,1.9,2.0,2.15,2.2
Payout Ratio % *,19.4,18.9,23.7,29.6,29.8,33.2,40.5,44.1,45.9,45.1,43.8
Shares Mil,329.0,315.0,310.0,304.0,283.0,270.0,260.0,255.0,245.0,239.0,235.0
Book Value Per Share * USD,12.76,11.33,13.6,12.54,12.61,13.21,12.97,12.32,10.34,9.9,10.94
Operating Cash Flow USD Mil,1599.0,1394.0,1731.0,1488.0,1315.0,1451.0,1809.0,1477.0,2172.0,1931.0,1440.0
Cap Spending USD Mil,-223.0,-212.0,-130.0,-153.0,-186.0,-226.0,-212.0,-213.0,-202.0,-166.0,-173.0
Free Cash Flow USD Mil,1376.0,1182.0,1601.0,1334.0,1129.0,1225.0,1597.0,1264.0,1969.0,1766.0,1266.0
Free Cash Flow Per Share * USD,4.16,3.75,5.16,4.4,4.45,4.53,5.05,4.86,6.75,7.86,
Working Capital USD Mil,-723.0,-1189.0,-1294.0,-829.0,-1250.0,-214.0,-625.0,-871.0,-2239.0,-1289.0,
