Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,23.36,26.62,29.99,39.23,39.16,39.38,42.97,49.02,50.03,48.95,50.07
Accounts Receivable,12.27,9.34,9.07,9.01,8.14,7.39,6.74,5.07,4.8,3.93,2.69
Inventory,,,0.42,0.41,0.2,0.29,0.21,0.28,0.19,0.22,0.23
Other Current Assets,2.67,3.22,4.37,4.62,3.59,3.9,3.37,2.6,2.31,2.1,1.9
Total Current Assets,38.3,39.19,43.85,53.27,51.1,50.96,53.28,56.97,57.33,55.2,54.89
Net PP&E,3.57,4.05,4.49,3.89,3.86,3.73,3.39,3.32,3.57,3.94,4.18
Intangibles,55.82,55.07,48.31,40.0,42.15,41.54,39.61,36.51,35.24,37.58,37.58
Other Long-Term Assets,2.31,1.69,3.35,2.84,2.89,3.77,3.71,3.19,3.86,3.29,3.35
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.81,0.57,1.26,0.95,0.56,0.51,0.52,0.73,0.45,0.44,0.44
Short-Term Debt,2.12,2.11,5.11,1.56,3.77,,1.67,1.8,3.34,7.26,3.74
Taxes Payable,,,,,,1.11,0.46,0.48,,,
Accrued Liabilities,4.4,2.97,3.08,3.15,2.56,2.26,2.15,1.66,1.75,1.46,1.14
Other Short-Term Liabilities,13.89,13.64,14.41,13.63,12.76,11.85,11.13,9.12,9.79,8.75,9.82
Total Current Liabilities,21.22,19.3,23.86,19.3,19.65,15.73,15.93,13.79,15.34,17.91,15.14
Long-Term Debt,21.65,19.48,18.69,20.09,17.27,22.61,25.09,36.03,35.75,35.64,36.15
Other Long-Term Liabilities,8.42,8.31,7.44,6.52,7.31,7.09,7.1,6.3,6.76,6.55,6.83
Total Liabilities,51.29,47.09,49.99,45.91,44.22,45.43,48.11,56.12,57.85,60.1,58.11
Total Stockholders' Equity,48.71,52.91,50.01,54.09,55.78,54.57,51.89,43.88,42.15,39.9,41.89
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
