,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,81812000000.0,90344000000.0,110903000000.0,112180000000.0,134991000000.0
1,0,Current assets,41692000000.0,48138000000.0,63183000000.0,64313000000.0,74515000000.0
2,1,Cash,32216000000.0,38819000000.0,54368000000.0,56125000000.0,66078000000.0
3,2,Cash and cash equivalents,14613000000.0,17769000000.0,21716000000.0,20152000000.0,21784000000.0
4,2,Short-term investments,17603000000.0,21050000000.0,32652000000.0,35973000000.0,44294000000.0
5,2,Total cash,32216000000.0,38819000000.0,54368000000.0,56125000000.0,66078000000.0
6,1,Receivables,6049000000.0,6087000000.0,5618000000.0,5385000000.0,5300000000.0
7,1,Inventories,240000000.0,189000000.0,314000000.0,212000000.0,300000000.0
8,1,Deferred income taxes,974000000.0,914000000.0,663000000.0,,
9,1,Prepaid expenses,2213000000.0,2129000000.0,2220000000.0,2591000000.0,2837000000.0
10,1,Total current assets,41692000000.0,48138000000.0,63183000000.0,64313000000.0,74515000000.0
11,0,Non-current assets,40120000000.0,42206000000.0,47720000000.0,47867000000.0,60476000000.0
12,11,"Property, plant and equipment",3053000000.0,3061000000.0,3686000000.0,4000000000.0,5315000000.0
13,12,"Gross property, plant and equipment",5756000000.0,6239000000.0,7295000000.0,8096000000.0,10294000000.0
14,12,Accumulated Depreciation,-2703000000.0,-3178000000.0,-3609000000.0,-4096000000.0,-4979000000.0
15,12,"Net property, plant and equipment",3053000000.0,3061000000.0,3686000000.0,4000000000.0,5315000000.0
16,11,Goodwill,27343000000.0,29652000000.0,34087000000.0,34590000000.0,43045000000.0
17,11,Intangible assets,6640000000.0,6137000000.0,6406000000.0,4943000000.0,7679000000.0
18,11,Deferred income taxes,766000000.0,837000000.0,795000000.0,1291000000.0,1143000000.0
19,11,Other long-term assets,2318000000.0,2519000000.0,2746000000.0,3043000000.0,3294000000.0
20,11,Total non-current assets,40120000000.0,42206000000.0,47720000000.0,47867000000.0,60476000000.0
21,0,Total assets,81812000000.0,90344000000.0,110903000000.0,112180000000.0,134991000000.0
22,22,Liabilities and stockholders' equity,81812000000.0,90344000000.0,110903000000.0,112180000000.0,134991000000.0
23,22,Liabilities,37164000000.0,43466000000.0,62240000000.0,64891000000.0,81131000000.0
24,23,Current liabilities,12872000000.0,14389000000.0,15291000000.0,17208000000.0,24178000000.0
25,24,Short-term debt,0.0,1508000000.0,1999000000.0,3750000000.0,9797000000.0
26,24,Accounts payable,419000000.0,471000000.0,806000000.0,504000000.0,599000000.0
27,24,Taxes payable,911000000.0,416000000.0,532000000.0,,
28,24,Accrued liabilities,1851000000.0,1940000000.0,1839000000.0,1966000000.0,1966000000.0
29,24,Deferred revenues,7118000000.0,7269000000.0,7245000000.0,7655000000.0,8233000000.0
30,24,Other current liabilities,2573000000.0,2785000000.0,2870000000.0,3333000000.0,3583000000.0
31,24,Total current liabilities,12872000000.0,14389000000.0,15291000000.0,17208000000.0,24178000000.0
32,23,Non-current liabilities,24292000000.0,29077000000.0,46949000000.0,47683000000.0,56953000000.0
33,32,Long-term debt,18494000000.0,22667000000.0,39959000000.0,40105000000.0,48112000000.0
34,32,Minority interest,497000000.0,569000000.0,435000000.0,501000000.0,386000000.0
35,32,Other long-term liabilities,5301000000.0,5841000000.0,6555000000.0,7077000000.0,8455000000.0
36,32,Total non-current liabilities,24292000000.0,29077000000.0,46949000000.0,47683000000.0,56953000000.0
37,23,Total liabilities,37164000000.0,43466000000.0,62240000000.0,64891000000.0,81131000000.0
38,22,Stockholders' equity,44648000000.0,46878000000.0,48663000000.0,47289000000.0,53860000000.0
39,38,Common stock,18893000000.0,21077000000.0,23156000000.0,24217000000.0,27065000000.0
40,38,Retained earnings,25854000000.0,25965000000.0,26503000000.0,23888000000.0,27598000000.0
41,38,Accumulated other comprehensive income,-99000000.0,-164000000.0,-996000000.0,-816000000.0,-803000000.0
42,38,Total stockholders' equity,44648000000.0,46878000000.0,48663000000.0,47289000000.0,53860000000.0
43,22,Total liabilities and stockholders' equity,81812000000.0,90344000000.0,110903000000.0,112180000000.0,134991000000.0
