,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,6182184000.0,6649237000.0,7216081000.0,7966674000.0,8593096000.0,8886220000.0
1,1,Cost of revenue,3084766000.0,3280236000.0,3507180000.0,3804031000.0,4084085000.0,4210490000.0
2,2,Gross profit,3097418000.0,3369001000.0,3708901000.0,4162643000.0,4509011000.0,4675730000.0
3,3,Operating expenses,2120025000.0,2265516000.0,2438527000.0,2648622000.0,2809805000.0,2945455000.0
4,3,"Sales, General and administrative",2120025000.0,2265516000.0,2438527000.0,2648622000.0,2809805000.0,2945455000.0
5,3,Total operating expenses,2120025000.0,2265516000.0,2438527000.0,2648622000.0,2809805000.0,2945455000.0
6,6,Operating income,977393000.0,1103485000.0,1270374000.0,1514021000.0,1699206000.0,1730275000.0
7,7,Interest Expense,40200000.0,49074000.0,53290000.0,57129000.0,70931000.0,83258000.0
8,8,Other income (expense),4328000.0,4531000.0,5098000.0,3474000.0,8916000.0,4993000.0
9,9,Income before income taxes,941521000.0,1058942000.0,1222182000.0,1460366000.0,1637191000.0,1652010000.0
10,10,Provision for income taxes,355775000.0,388650000.0,444000000.0,529150000.0,599500000.0,574491000.0
11,11,Net income from continuing operations,585746000.0,670292000.0,778182000.0,931216000.0,1037691000.0,1077519000.0
12,12,Net income,585746000.0,670292000.0,778182000.0,931216000.0,1037691000.0,1077519000.0
13,13,Net income available to common shareholders,585746000.0,670292000.0,778182000.0,931216000.0,1037691000.0,1077519000.0
14,14,Earnings per share,,,,,,
15,15,Basic,4.83,6.14,7.46,9.32,10.87,11.9
16,16,Diluted,4.75,6.03,7.34,9.17,10.73,11.74
17,17,Weighted average shares outstanding,,,,,,
18,18,Basic,121182000.0,109244000.0,104262000.0,99965000.0,95447000.0,90682250.0
19,19,Diluted,123314000.0,111101000.0,106041000.0,101514000.0,96720000.0,91890000.0
20,20,EBITDA,1158827000.0,1291196000.0,1469677000.0,1727751000.0,1925988000.0,1965187000.0
