,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,64210000000.0,69443000000.0,56259000000.0,43437000000.0,43109000000.0
1,0,Current assets,9492000000.0,11323000000.0,13873000000.0,9402000000.0,8428000000.0
2,1,Cash,1592000000.0,3393000000.0,3789000000.0,3201000000.0,2233000000.0
3,2,Cash and cash equivalents,1592000000.0,3393000000.0,3789000000.0,3201000000.0,2233000000.0
4,2,Total cash,1592000000.0,3393000000.0,3789000000.0,3201000000.0,2233000000.0
5,1,Receivables,4916000000.0,5674000000.0,4206000000.0,2970000000.0,3989000000.0
6,1,Inventories,1344000000.0,1200000000.0,1052000000.0,986000000.0,866000000.0
7,1,Other current assets,1640000000.0,1056000000.0,4826000000.0,2245000000.0,1340000000.0
8,1,Total current assets,9492000000.0,11323000000.0,13873000000.0,9402000000.0,8428000000.0
9,0,Non-current assets,54718000000.0,58120000000.0,42386000000.0,34035000000.0,34681000000.0
10,9,"Property, plant and equipment",52064000000.0,55821000000.0,39730000000.0,31639000000.0,32337000000.0
11,10,"Gross property, plant and equipment",80096000000.0,89052000000.0,74515000000.0,71058000000.0,71293000000.0
12,10,Accumulated Depreciation,-28032000000.0,-33231000000.0,-34785000000.0,-39419000000.0,-38956000000.0
13,10,"Net property, plant and equipment",52064000000.0,55821000000.0,39730000000.0,31639000000.0,32337000000.0
14,9,Equity and other investments,1894000000.0,1459000000.0,1565000000.0,1434000000.0,1401000000.0
15,9,Other long-term assets,760000000.0,840000000.0,1091000000.0,962000000.0,943000000.0
16,9,Total non-current assets,54718000000.0,58120000000.0,42386000000.0,34035000000.0,34681000000.0
17,0,Total assets,64210000000.0,69443000000.0,56259000000.0,43437000000.0,43109000000.0
18,18,Liabilities and stockholders' equity,64210000000.0,69443000000.0,56259000000.0,43437000000.0,43109000000.0
19,18,Liabilities,24194000000.0,26317000000.0,21300000000.0,19087000000.0,21612000000.0
20,19,Current liabilities,7290000000.0,8434000000.0,8244000000.0,6842000000.0,6362000000.0
21,20,Accounts payable,4708000000.0,5520000000.0,5229000000.0,3069000000.0,3926000000.0
22,20,Short-term debt,600000000.0,0.0,,1450000000.0,0.0
23,20,Income taxes payable,,358000000.0,414000000.0,,
24,20,Accrued liabilities,1966000000.0,2556000000.0,2601000000.0,2213000000.0,2436000000.0
25,20,Other current liabilities,16000000.0,0.0,0.0,110000000.0,0.0
26,20,Total current liabilities,7290000000.0,8434000000.0,8244000000.0,6842000000.0,6362000000.0
27,19,Non-current liabilities,16904000000.0,17883000000.0,13056000000.0,12245000000.0,15250000000.0
28,27,Long-term debt,7023000000.0,6939000000.0,6838000000.0,6883000000.0,9819000000.0
29,27,Deferred taxes liabilities,6039000000.0,7197000000.0,3015000000.0,1323000000.0,1132000000.0
30,27,Minority interest,32000000.0,246000000.0,0.0,,
31,27,Other long-term liabilities,3810000000.0,3501000000.0,3203000000.0,4039000000.0,4299000000.0
32,27,Total non-current liabilities,16904000000.0,17883000000.0,13056000000.0,12245000000.0,15250000000.0
33,19,Total liabilities,24194000000.0,26317000000.0,21300000000.0,19087000000.0,21612000000.0
34,18,Stockholders' equity,40016000000.0,43126000000.0,34959000000.0,24350000000.0,21497000000.0
35,34,Common stock,178000000.0,178000000.0,178000000.0,178000000.0,178000000.0
36,34,Additional paid-in capital,7441000000.0,7515000000.0,7599000000.0,7640000000.0,7747000000.0
37,34,Retained earnings,37990000000.0,41831000000.0,36067000000.0,25960000000.0,22981000000.0
38,34,Treasury stock,-5091000000.0,-6095000000.0,-8528000000.0,-9121000000.0,-9143000000.0
39,34,Accumulated other comprehensive income,-502000000.0,-303000000.0,-357000000.0,-307000000.0,-266000000.0
40,34,Total Stockholders' equity,40016000000.0,43126000000.0,34959000000.0,24350000000.0,21497000000.0
41,18,Total liabilities and stockholders' equity,64210000000.0,69443000000.0,56259000000.0,43437000000.0,43109000000.0
