,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,52449000000.0,55605000000.0,60127000000.0,63339000000.0,68598000000.0
1,0,Current assets,5121000000.0,5977000000.0,6389000000.0,5822000000.0,6164000000.0
2,1,Cash,401000000.0,296000000.0,151000000.0,123000000.0,177000000.0
3,2,Cash and cash equivalents,401000000.0,296000000.0,151000000.0,123000000.0,177000000.0
4,2,Total cash,401000000.0,296000000.0,151000000.0,123000000.0,177000000.0
5,1,Receivables,2274000000.0,2743000000.0,2311000000.0,2116000000.0,2510000000.0
6,1,Inventories,444000000.0,454000000.0,476000000.0,439000000.0,463000000.0
7,1,Other current assets,2002000000.0,2484000000.0,3451000000.0,3144000000.0,3014000000.0
8,1,Total current assets,5121000000.0,5977000000.0,6389000000.0,5822000000.0,6164000000.0
9,0,Non-current assets,47328000000.0,49628000000.0,53738000000.0,57517000000.0,62434000000.0
10,9,"Property, plant and equipment",37523000000.0,41252000000.0,43941000000.0,46723000000.0,50581000000.0
11,10,"Gross property, plant and equipment",54167000000.0,59096000000.0,63062000000.0,67342000000.0,72595000000.0
12,10,Accumulated Depreciation,-16644000000.0,-17844000000.0,-19121000000.0,-20619000000.0,-22014000000.0
13,10,"Net property, plant and equipment",37523000000.0,41252000000.0,43941000000.0,46723000000.0,50581000000.0
14,9,Equity and other investments,2161000000.0,2342000000.0,2421000000.0,2470000000.0,2606000000.0
15,9,Regulatory assets,6809000000.0,4913000000.0,6322000000.0,7029000000.0,7951000000.0
16,9,Other long-term assets,835000000.0,1121000000.0,1054000000.0,1295000000.0,1296000000.0
17,9,Total non-current assets,47328000000.0,49628000000.0,53738000000.0,57517000000.0,62434000000.0
18,0,Total assets,52449000000.0,55605000000.0,60127000000.0,63339000000.0,68598000000.0
19,19,Liabilities and stockholders' equity,52449000000.0,55605000000.0,60127000000.0,63339000000.0,68598000000.0
20,19,Liabilities,39375000000.0,41263000000.0,44379000000.0,46763000000.0,50658000000.0
21,20,Current liabilities,6256000000.0,7493000000.0,5920000000.0,6363000000.0,7564000000.0
22,21,Short-term debt,892000000.0,2063000000.0,633000000.0,1179000000.0,2216000000.0
23,21,Accounts payable,2476000000.0,2926000000.0,1720000000.0,1414000000.0,2809000000.0
24,21,Taxes payable,6000000.0,,,,
25,21,Accrued liabilities,870000000.0,892000000.0,197000000.0,206000000.0,216000000.0
26,21,Other current liabilities,2012000000.0,1612000000.0,3370000000.0,3564000000.0,2323000000.0
27,21,Total current liabilities,6256000000.0,7493000000.0,5920000000.0,6363000000.0,7564000000.0
28,20,Non-current liabilities,33119000000.0,33770000000.0,38459000000.0,40400000000.0,43094000000.0
29,28,Long-term debt,12517000000.0,12717000000.0,15050000000.0,16030000000.0,16220000000.0
30,28,Deferred taxes liabilities,6748000000.0,7823000000.0,8513000000.0,9206000000.0,10213000000.0
31,28,Pensions and other benefits,3575000000.0,1601000000.0,2561000000.0,2622000000.0,2641000000.0
32,28,Regulatory liabilities,5088000000.0,5660000000.0,6290000000.0,6321000000.0,6805000000.0
33,28,Minority interest,252000000.0,252000000.0,252000000.0,252000000.0,252000000.0
34,28,Other long-term liabilities,4939000000.0,5717000000.0,5793000000.0,5969000000.0,6963000000.0
35,28,Total non-current liabilities,33119000000.0,33770000000.0,38459000000.0,40400000000.0,43094000000.0
36,20,Total liabilities,39375000000.0,41263000000.0,44379000000.0,46763000000.0,50658000000.0
37,19,stockholders' equity,13074000000.0,14342000000.0,15748000000.0,16576000000.0,17940000000.0
38,37,Additional paid-in capital,8428000000.0,9550000000.0,10421000000.0,11282000000.0,12198000000.0
39,37,Retained earnings,4747000000.0,4742000000.0,5316000000.0,5301000000.0,5751000000.0
40,37,Accumulated other comprehensive income,-101000000.0,50000000.0,11000000.0,-7000000.0,-9000000.0
41,37,Total stockholders' equity,13074000000.0,14342000000.0,15748000000.0,16576000000.0,17940000000.0
42,19,Total liabilities and stockholders' equity,52449000000.0,55605000000.0,60127000000.0,63339000000.0,68598000000.0
