Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,14.84,7.41,14.06,15.15,20.95,18.84,10.67,13.59,3.9,2.71,2.88
Accounts Receivable,17.53,22.32,18.69,18.14,16.97,16.71,21.21,21.85,22.63,25.22,24.07
Inventory,13.54,12.65,11.92,13.1,11.68,13.44,15.24,15.49,20.51,20.29,22.57
Other Current Assets,1.52,1.57,2.13,1.59,1.64,1.77,2.3,2.43,2.59,3.19,2.74
Total Current Assets,47.44,43.94,46.79,47.98,51.23,50.76,49.42,53.37,49.63,51.41,52.25
Net PP&E,7.17,7.8,7.0,7.39,7.14,7.16,7.15,7.69,8.33,8.51,8.13
Intangibles,42.47,45.37,41.51,39.88,37.34,38.05,37.27,35.18,37.66,35.32,34.6
Other Long-Term Assets,2.92,2.88,4.7,4.75,4.29,4.03,6.16,3.76,4.38,4.76,5.02
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.36,8.48,7.99,8.19,7.59,9.31,11.94,11.86,16.08,17.58,17.98
Short-Term Debt,6.26,1.03,,,4.56,,,,1.04,2.1,3.03
Taxes Payable,,0.07,,,,,,,,,
Accrued Liabilities,6.82,6.09,6.39,6.14,7.18,7.41,7.03,7.74,6.44,6.08,5.93
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,22.45,15.67,14.38,14.32,19.33,16.72,18.97,19.6,23.56,25.77,26.94
Long-Term Debt,25.29,24.61,21.67,20.47,26.47,27.03,25.31,24.6,29.03,28.46,28.09
Other Long-Term Liabilities,3.88,4.12,4.46,4.37,4.0,4.24,4.35,4.44,6.46,6.02,6.23
Total Liabilities,51.61,44.4,40.51,39.16,49.8,48.0,48.63,48.63,59.05,60.25,61.26
Total Stockholders' Equity,48.39,55.6,59.49,60.84,50.2,52.0,51.37,51.37,40.95,39.75,38.74
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
