Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.16,6.33,10.38,9.35,6.07,8.87,12.49,12.38,17.24,21.75,23.3
Accounts Receivable,12.67,13.01,11.6,9.28,9.48,9.43,8.98,9.43,9.24,9.03,10.1
Inventory,6.61,7.01,6.57,4.95,5.25,4.8,4.4,4.46,3.9,3.67,4.14
Other Current Assets,2.86,3.68,3.0,2.21,3.12,1.98,2.79,3.04,2.68,2.09,0.95
Total Current Assets,29.31,30.02,31.55,25.78,23.93,25.08,28.66,29.31,33.06,36.54,38.49
Net PP&E,32.42,32.4,31.8,27.96,27.03,25.64,23.97,24.46,23.42,22.38,21.62
Intangibles,20.83,19.4,22.98,41.77,45.61,44.88,42.14,41.2,39.13,37.59,36.43
Other Long-Term Assets,17.43,18.17,13.67,4.49,3.43,4.4,5.22,5.03,4.39,3.49,3.47
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.4,22.98,20.4,16.03,5.6,5.96,6.29,7.27,7.96,8.31,18.66
Short-Term Debt,,1.03,1.16,7.19,8.51,6.45,6.85,7.2,5.84,9.3,9.84
Taxes Payable,,0.4,0.41,0.1,0.26,0.5,,,,,
Accrued Liabilities,8.36,,,,5.06,5.21,5.21,5.63,5.85,5.68,
Other Short-Term Liabilities,6.63,,,,5.47,4.77,4.68,5.56,5.57,5.22,
Total Current Liabilities,22.39,24.41,21.97,23.32,24.91,22.9,23.02,25.66,25.23,28.51,28.49
Long-Term Debt,12.14,21.83,18.57,29.34,28.22,31.54,31.41,33.78,41.93,40.54,40.09
Other Long-Term Liabilities,15.44,20.12,17.29,16.28,18.62,15.69,14.23,15.82,15.72,15.78,14.48
Total Liabilities,49.97,66.37,57.83,68.95,71.75,70.13,68.66,75.27,82.89,84.83,83.06
Total Stockholders' Equity,50.03,33.63,42.17,31.05,28.25,29.87,31.34,24.73,17.11,15.17,16.94
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
