,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,139263000000.0,144266000000.0,129495000000.0,127136000000.0,120406000000.0
1,0,Current assets,23990000000.0,31617000000.0,29646000000.0,33782000000.0,26494000000.0
2,1,Cash,5947000000.0,10686000000.0,11612000000.0,13348000000.0,15137000000.0
3,2,Cash and cash equivalents,5947000000.0,8558000000.0,6845000000.0,7102000000.0,5569000000.0
4,2,Short-term investments,,2128000000.0,4767000000.0,6246000000.0,9568000000.0
5,2,Total cash,5947000000.0,10686000000.0,11612000000.0,13348000000.0,15137000000.0
6,1,Receivables,6508000000.0,6386000000.0,4861000000.0,4373000000.0,4594000000.0
7,1,Inventories,6909000000.0,6759000000.0,5454000000.0,4716000000.0,4624000000.0
8,1,Deferred income taxes,948000000.0,1092000000.0,1356000000.0,1507000000.0,0.0
9,1,Prepaid expenses,3678000000.0,3845000000.0,2853000000.0,2653000000.0,2139000000.0
10,1,Other current assets,0.0,2849000000.0,3510000000.0,7185000000.0,0.0
11,1,Total current assets,23990000000.0,31617000000.0,29646000000.0,33782000000.0,26494000000.0
12,0,Non-current assets,115273000000.0,112649000000.0,99849000000.0,93354000000.0,93912000000.0
13,12,"Property, plant and equipment",21666000000.0,22304000000.0,20268000000.0,19385000000.0,19893000000.0
14,13,"Gross property, plant and equipment",43012000000.0,44427000000.0,41347000000.0,39866000000.0,40148000000.0
15,13,Accumulated Depreciation,-21346000000.0,-22123000000.0,-21079000000.0,-20481000000.0,-20255000000.0
16,13,"Net property, plant and equipment",21666000000.0,22304000000.0,20268000000.0,19385000000.0,19893000000.0
17,12,Goodwill,55188000000.0,53704000000.0,47316000000.0,44350000000.0,44699000000.0
18,12,Intangible assets,31572000000.0,30843000000.0,26829000000.0,24527000000.0,24187000000.0
19,12,Other long-term assets,6847000000.0,5798000000.0,5436000000.0,5092000000.0,5133000000.0
20,12,Total non-current assets,115273000000.0,112649000000.0,99849000000.0,93354000000.0,93912000000.0
21,0,Total assets,139263000000.0,144266000000.0,129495000000.0,127136000000.0,120406000000.0
22,22,Liabilities and stockholders' equity,139263000000.0,144266000000.0,129495000000.0,127136000000.0,120406000000.0
23,22,Liabilities,71199000000.0,75052000000.0,67076000000.0,69795000000.0,65222000000.0
24,23,Current liabilities,30037000000.0,33726000000.0,29790000000.0,30770000000.0,30210000000.0
25,24,Short-term debt,12432000000.0,15606000000.0,12021000000.0,11653000000.0,13554000000.0
26,24,Accounts payable,8777000000.0,8461000000.0,8257000000.0,9325000000.0,9632000000.0
27,24,Taxes payable,817000000.0,711000000.0,845000000.0,397000000.0,449000000.0
28,24,Accrued liabilities,5161000000.0,5717000000.0,4953000000.0,4750000000.0,6575000000.0
29,24,Other current liabilities,2850000000.0,3231000000.0,3714000000.0,4645000000.0,0.0
30,24,Total current liabilities,30037000000.0,33726000000.0,29790000000.0,30770000000.0,30210000000.0
31,23,Non-current liabilities,41162000000.0,41326000000.0,37286000000.0,39025000000.0,35012000000.0
32,31,Long-term debt,19111000000.0,19811000000.0,18329000000.0,18945000000.0,18038000000.0
33,31,Deferred taxes liabilities,10827000000.0,10218000000.0,9531000000.0,9113000000.0,8126000000.0
34,31,Accrued liabilities,,,,,870000000.0
35,31,Pensions and other benefits,,7890000000.0,6997000000.0,8569000000.0,
36,31,Minority interest,645000000.0,762000000.0,631000000.0,642000000.0,594000000.0
37,31,Other long-term liabilities,10579000000.0,2645000000.0,1798000000.0,1756000000.0,7384000000.0
38,31,Total non-current liabilities,41162000000.0,41326000000.0,37286000000.0,39025000000.0,35012000000.0
39,23,Total liabilities,71199000000.0,75052000000.0,67076000000.0,69795000000.0,65222000000.0
40,22,Stockholders' equity,68064000000.0,69214000000.0,62419000000.0,57341000000.0,55184000000.0
41,40,Preferred stock,1137000000.0,1111000000.0,1077000000.0,1038000000.0,1006000000.0
42,40,Common stock,4009000000.0,4009000000.0,,,
43,40,Other Equity,-1352000000.0,-1340000000.0,-1320000000.0,-1290000000.0,-1249000000.0
44,40,Additional paid-in capital,63538000000.0,63911000000.0,67861000000.0,67723000000.0,67650000000.0
45,40,Retained earnings,80197000000.0,84990000000.0,84807000000.0,87953000000.0,96124000000.0
46,40,Treasury stock,-71966000000.0,-75805000000.0,-77226000000.0,-82176000000.0,-93715000000.0
47,40,Accumulated other comprehensive income,-7499000000.0,-7662000000.0,-12780000000.0,-15907000000.0,-14632000000.0
48,40,Total stockholders' equity,68064000000.0,69214000000.0,62419000000.0,57341000000.0,55184000000.0
49,22,Total liabilities and stockholders' equity,139263000000.0,144266000000.0,129495000000.0,127136000000.0,120406000000.0
