,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,4819998000.0,5679595000.0,5822363000.0,5981964000.0,7668476000.0,8272773000.0
1,1,Cost of revenue,4063842000.0,4507333000.0,4438236000.0,4558798000.0,5728662000.0,6399618000.0
2,2,Gross profit,756156000.0,1172262000.0,1384127000.0,1423166000.0,1939814000.0,1873155000.0
3,3,Operating expenses,514457000.0,584722000.0,680848000.0,602680000.0,970950000.0,911422000.0
4,3,"Sales, General and administrative",514457000.0,568500000.0,667815000.0,589780000.0,957150000.0,897622000.0
5,3,Other operating expenses,0.0,16222000.0,13033000.0,12900000.0,13800000.0,13800000.0
6,3,Total operating expenses,514457000.0,584722000.0,680848000.0,602680000.0,970950000.0,911422000.0
7,7,Operating income,241699000.0,587540000.0,703279000.0,820486000.0,968864000.0,961733000.0
8,8,Interest Expense,819000.0,712000.0,849000.0,788000.0,686000.0,531000.0
9,9,Other income (expense),-57326000.0,-59006000.0,-12672000.0,-3675000.0,-34328000.0,-17418000.0
10,10,Income before taxes,183554000.0,527822000.0,689758000.0,816023000.0,933850000.0,943784000.0
11,11,Provision for income taxes,-22591000.0,-2092294000.0,215420000.0,321933000.0,331147000.0,300804000.0
12,12,Net income from continuing operations,206145000.0,2620116000.0,474338000.0,494090000.0,602703000.0,642980000.0
13,13,Net income,206145000.0,2620116000.0,474338000.0,494090000.0,602703000.0,642980000.0
14,14,Preferred dividend,0.0,0.0,3251000.0,3203000.0,4722000.0,5858000.0
15,15,Net income available to common shareholders,206145000.0,2620116000.0,471087000.0,490887000.0,597981000.0,637122000.0
16,16,Earnings per share,,,,,,
17,17,Basic,0.54,6.79,1.27,1.38,1.76,1.99
18,18,Diluted,0.54,6.72,1.26,1.36,1.75,1.99
19,19,Weighted average shares outstanding,,,,,,
20,20,Basic,381562000.0,383077000.0,370377000.0,356576000.0,339747000.0,313549500.0
21,21,Diluted,384564000.0,386866000.0,374102000.0,359793000.0,342123000.0,315403500.0
22,22,EBITDA,214400000.0,560121000.0,730471000.0,863033000.0,988543000.0,996793000.0
