,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,15200000000.0,15108000000.0,15360000000.0,15330000000.0,14751000000.0,14966000000.0
1,1,Cost of revenue,9069000000.0,8636000000.0,8791000000.0,8591000000.0,8063000000.0,8367000000.0
2,2,Gross profit,6131000000.0,6472000000.0,6569000000.0,6739000000.0,6688000000.0,6599000000.0
3,3,Operating expenses,4558000000.0,4771000000.0,4726000000.0,4660000000.0,4590000000.0,3584000000.0
4,3,Research and development,455000000.0,488000000.0,492000000.0,486000000.0,466000000.0,459000000.0
5,3,"Sales, General and administrative",3335000000.0,3699000000.0,3758000000.0,3679000000.0,3662000000.0,2654000000.0
6,3,"Restructuring, merger and acquisition",208000000.0,98000000.0,,,,
7,3,Other operating expenses,560000000.0,486000000.0,476000000.0,495000000.0,462000000.0,471000000.0
8,3,Total operating expenses,4558000000.0,4771000000.0,4726000000.0,4660000000.0,4590000000.0,3584000000.0
9,9,Operating income,1573000000.0,1701000000.0,1843000000.0,2079000000.0,2098000000.0,3015000000.0
10,10,Interest Expense,210000000.0,196000000.0,187000000.0,126000000.0,125000000.0,107000000.0
11,11,Other income (expense),39000000.0,-16000000.0,-240000000.0,-71000000.0,-1146000000.0,-1097000000.0
12,12,Income before taxes,1402000000.0,1489000000.0,1416000000.0,1882000000.0,827000000.0,1811000000.0
13,13,Provision for income taxes,338000000.0,333000000.0,259000000.0,456000000.0,241000000.0,459000000.0
14,14,Net income from continuing operations,1064000000.0,1156000000.0,1157000000.0,1426000000.0,586000000.0,1352000000.0
15,15,Net income from discontinuing ops,,2197000000.0,1002000000.0,1000000.0,313000000.0,456000000.0
16,16,Other,-123000000.0,-122000000.0,-57000000.0,-21000000.0,-22000000.0,-20000000.0
17,17,Net income,941000000.0,3231000000.0,2102000000.0,1406000000.0,877000000.0,1788000000.0
18,18,Net income available to common shareholders,941000000.0,3231000000.0,2102000000.0,1406000000.0,877000000.0,1788000000.0
19,19,Earnings per share,,,,,,
20,20,Basic,3.065,11.265,7.6,5.18,3.3,6.92
21,21,Diluted,3.03,11.135,7.515,5.14,3.28,6.88
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,306800000.0,286800000.0,276600000.0,271400000.0,265600000.0,258100000.0
24,24,Diluted,310200000.0,290200000.0,279600000.0,273540856.0,267400000.0,259900000.0
25,25,EBITDA,2077000000.0,2160000000.0,2079000000.0,2503000000.0,1414000000.0,2389000000.0
