Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.13,12.39,12.46,3.17,9.72,14.97,14.58,5.8,4.05,4.49,6.55
Accounts Receivable,14.65,13.6,13.2,12.04,14.99,14.26,12.3,6.74,6.5,8.48,9.09
Inventory,15.33,15.53,15.17,14.51,15.85,13.6,13.16,4.55,4.25,5.73,6.94
Other Current Assets,3.25,3.4,4.62,14.94,2.61,1.8,1.78,1.29,1.34,1.53,2.51
Total Current Assets,37.35,44.93,45.46,44.66,43.19,44.63,41.8,18.38,16.14,20.23,25.09
Net PP&E,17.2,13.86,13.97,14.52,15.91,14.37,12.73,5.62,4.73,6.27,6.94
Intangibles,18.33,19.87,19.04,39.12,38.02,38.5,43.58,74.43,77.79,54.51,64.2
Other Long-Term Assets,27.13,21.34,21.53,1.7,2.89,2.5,1.88,1.57,1.34,18.99,3.76
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,8.54,9.84,10.71,8.36,10.76,7.89,7.14,2.62,3.79,3.4,4.03
Short-Term Debt,1.41,0.78,0.68,13.22,0.56,1.0,0.86,1.04,0.33,4.13,3.52
Taxes Payable,,,0.13,0.1,0.33,0.32,0.22,0.13,0.27,0.23,0.52
Accrued Liabilities,6.49,4.3,6.72,7.46,7.22,7.02,5.78,3.95,3.8,5.48,6.56
Other Short-Term Liabilities,3.29,3.95,1.5,0.18,0.13,,,0.01,0.41,,
Total Current Liabilities,19.73,18.86,19.74,29.32,19.0,16.22,14.01,7.74,8.59,13.24,14.63
Long-Term Debt,33.8,34.76,34.5,30.23,27.44,33.03,36.03,22.27,26.61,37.67,27.66
Other Long-Term Liabilities,7.28,10.12,9.42,5.31,5.62,4.75,6.4,7.36,10.74,6.14,6.69
Total Liabilities,60.81,63.74,63.65,64.86,52.06,54.0,56.43,37.37,45.93,57.04,48.98
Total Stockholders' Equity,39.19,36.26,36.35,35.14,47.94,46.0,43.57,62.63,54.07,42.96,51.02
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
