,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,709298000000.0,731781000000.0,766655000000.0,757388000000.0,783962000000.0
1,0,Fixed maturity securities,305604000000.0,290178000000.0,301665000000.0,292631000000.0,323563000000.0
2,0,Equity securities,8277000000.0,9910000000.0,9861000000.0,9274000000.0,9748000000.0
3,0,Trading securities,26918000000.0,27280000000.0,31137000000.0,34980000000.0,27604000000.0
4,0,"Loans, total",48308000000.0,52774000000.0,58144000000.0,62216000000.0,64534000000.0
5,0,Short-term investments,6447000000.0,7703000000.0,8258000000.0,8105000000.0,7508000000.0
6,0,Cash and cash equivalents,18100000000.0,11439000000.0,14918000000.0,17612000000.0,14127000000.0
7,0,Accrued investment income,3127000000.0,3089000000.0,3130000000.0,3110000000.0,3204000000.0
8,0,Deferred policy acquisition costs,14100000000.0,16512000000.0,15971000000.0,16718000000.0,17661000000.0
9,0,Separate account assets,253254000000.0,285060000000.0,296435000000.0,285570000000.0,287636000000.0
10,0,Other assets,25163000000.0,27836000000.0,27136000000.0,27172000000.0,28377000000.0
11,0,Total assets,709298000000.0,731781000000.0,766655000000.0,757388000000.0,783962000000.0
12,12,Liabilities and stockholders' equity,709298000000.0,731781000000.0,766655000000.0,757388000000.0,783962000000.0
13,12,Liabilities,670723000000.0,696503000000.0,724885000000.0,715498000000.0,738099000000.0
14,13,Future policy benefits,216050000000.0,206859000000.0,217766000000.0,224384000000.0,240908000000.0
15,13,Policyholder funds,134413000000.0,136657000000.0,136150000000.0,136784000000.0,145205000000.0
16,13,Short-term debt,2484000000.0,2669000000.0,3839000000.0,1216000000.0,1133000000.0
17,13,Long-term debt,26306000000.0,26855000000.0,19831000000.0,28324000000.0,20191000000.0
18,13,Taxes payable,8551000000.0,5422000000.0,9881000000.0,8714000000.0,10412000000.0
19,13,Separate account liabilities,253254000000.0,285060000000.0,296435000000.0,285570000000.0,287636000000.0
20,13,Other liabilities,29665000000.0,32981000000.0,40983000000.0,30506000000.0,32614000000.0
21,13,Total liabilities,670723000000.0,696503000000.0,724885000000.0,715498000000.0,738099000000.0
22,12,Stockholders' equity,38575000000.0,35278000000.0,41770000000.0,41890000000.0,45863000000.0
23,22,Common stock,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
24,22,Additional paid-in capital,24380000000.0,24475000000.0,24565000000.0,24482000000.0,24606000000.0
25,22,Retained earnings,16138000000.0,14531000000.0,14888000000.0,18931000000.0,21946000000.0
26,22,Treasury stock,-12163000000.0,-12415000000.0,-13739000000.0,-13814000000.0,-15316000000.0
27,22,Accumulated other comprehensive income,10214000000.0,8681000000.0,16050000000.0,12285000000.0,14621000000.0
28,22,Total stockholders' equity,38575000000.0,35278000000.0,41770000000.0,41890000000.0,45863000000.0
29,12,Total liabilities and stockholders' equity,709298000000.0,731781000000.0,766655000000.0,757388000000.0,783962000000.0
