,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,8793403000.0,9876266000.0,9818676000.0,9778232000.0,10130338000.0
1,0,Real estate properties,11070062000.0,12338592000.0,12967808000.0,13424451000.0,14193539000.0
2,0,Accumulated depreciation,-3738130000.0,-4098814000.0,-4482520000.0,-4866738000.0,-5270963000.0
3,0,"Real estate properties, net",7331932000.0,8239778000.0,8485288000.0,8557713000.0,8922576000.0
4,0,Cash and cash equivalents,17239000.0,19169000.0,187712000.0,104285000.0,183688000.0
5,0,Intangible assets,209374000.0,246854000.0,228632000.0,211458000.0,212719000.0
6,0,Other assets,1234858000.0,1370465000.0,917044000.0,904776000.0,811355000.0
7,0,Total assets,8793403000.0,9876266000.0,9818676000.0,9778232000.0,10130338000.0
8,8,Liabilities and stockholders' equity,8793403000.0,9876266000.0,9818676000.0,9778232000.0,10130338000.0
9,8,Liabilities,699647000.0,1084536000.0,337880000.0,607591000.0,718428000.0
10,9,Long-term debt,468828000.0,839053000.0,64364000.0,319016000.0,390749000.0
11,9,Payables and accrued expenses,201711000.0,218358000.0,247141000.0,261578000.0,297935000.0
12,9,Other liabilities,29108000.0,27125000.0,26375000.0,26997000.0,29744000.0
13,9,Total liabilities,699647000.0,1084536000.0,337880000.0,607591000.0,718428000.0
14,8,Stockholders' equity,8093756000.0,8791730000.0,9480796000.0,9170641000.0,9411910000.0
15,14,Preferred stock,2837500000.0,3562500000.0,4325000000.0,4055000000.0,4367500000.0
16,14,Common stock,17139000.0,17178000.0,17245000.0,17293000.0,17329000.0
17,14,Additional paid-in capital,5519596000.0,5531034000.0,5561530000.0,5601506000.0,5609768000.0
18,14,Retained earnings,-279474000.0,-318482000.0,-374823000.0,-434610000.0,-487581000.0
19,14,Accumulated other comprehensive income,-1005000.0,-500000.0,-48156000.0,-68548000.0,-95106000.0
20,14,Total stockholders' equity,8093756000.0,8791730000.0,9480796000.0,9170641000.0,9411910000.0
21,8,Total liabilities and stockholders' equity,8793403000.0,9876266000.0,9818676000.0,9778232000.0,10130338000.0
