,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-01-03,14.375,14.375,14.0,14.125,5.806012,52500
1,1995-01-04,14.125,14.25,14.0,14.25,5.857392,31900
2,1995-01-05,14.25,14.25,13.625,13.75,5.651872,19500
3,1995-01-06,13.625,13.625,13.5,13.625,5.600489,24300
4,1995-01-09,13.6875,13.875,13.5,13.875,5.703252,59100
5,1995-01-10,13.75,13.875,13.625,13.75,5.651872,34500
6,1995-01-11,14.0,14.125,14.0,14.125,5.806012,54200
7,1995-01-12,14.125,14.5,14.125,14.125,5.806012,46900
8,1995-01-13,14.25,14.5,14.25,14.375,5.908777,26500
9,1995-01-16,14.375,14.625,14.25,14.375,5.908777,25800
10,1995-01-17,14.375,14.5,14.0,14.125,5.806012,32300
11,1995-01-18,14.125,14.125,13.75,13.875,5.703252,50900
12,1995-01-19,13.875,14.0,13.75,13.875,5.703252,64100
13,1995-01-20,13.75,13.875,13.625,13.75,5.651872,16200
14,1995-01-23,13.75,13.875,13.75,13.75,5.651872,51700
15,1995-01-24,13.75,13.875,13.75,13.75,5.651872,24700
16,1995-01-25,13.75,14.125,13.75,14.0,5.754632,25900
17,1995-01-26,14.125,14.125,14.0,14.125,5.806012,23900
18,1995-01-27,14.0,14.125,13.75,13.875,5.703252,21200
19,1995-01-30,14.125,14.125,14.0,14.125,5.806012,26100
20,1995-01-31,14.125,14.25,14.0,14.0,5.754632,21600
21,1995-02-01,14.0,14.125,14.0,14.0,5.754632,16400
22,1995-02-02,14.0,14.125,14.0,14.125,5.806012,32000
23,1995-02-03,14.125,14.125,14.0,14.0,5.754632,27300
24,1995-02-06,14.0,14.375,14.0,14.25,5.857392,66100
25,1995-02-07,14.25,14.375,14.25,14.375,5.908777,39900
26,1995-02-08,14.375,14.375,14.25,14.375,5.908777,62300
27,1995-02-09,14.375,14.5,14.25,14.25,5.857392,17700
28,1995-02-10,14.375,14.5,14.375,14.5,5.960155,24300
29,1995-02-13,14.375,14.625,14.375,14.625,6.011537000000001,33700
30,1995-02-14,14.75,14.75,14.375,14.625,6.011537000000001,19500
31,1995-02-15,14.625,14.875,14.5,14.875,6.1142970000000005,56300
32,1995-02-16,14.875,14.875,14.375,14.5,5.960155,47900
33,1995-02-17,14.25,14.375,14.0,14.25,5.947637,86800
34,1995-02-21,14.375,14.5,14.25,14.5,6.05198,18200
35,1995-02-22,14.5,14.75,14.375,14.75,6.156327,25100
36,1995-02-23,14.875,14.875,14.5,14.625,6.104151,97200
37,1995-02-24,14.75,14.75,14.5,14.625,6.104151,34900
38,1995-02-27,14.625,14.875,14.625,14.75,6.156327,28700
39,1995-02-28,14.75,14.75,14.5,14.75,6.156327,99000
40,1995-03-01,14.625,14.875,14.625,14.75,6.156327,34100
41,1995-03-02,14.625,14.875,14.5,14.875,6.208495,35100
42,1995-03-03,15.0,15.125,14.75,14.875,6.208495,91200
43,1995-03-06,15.125,15.25,14.875,15.0,6.260669999999999,42700
44,1995-03-07,14.875,15.0,14.75,15.0,6.260669999999999,34800
45,1995-03-08,15.0,15.0,14.75,15.0,6.260669999999999,25000
46,1995-03-09,14.875,15.0,14.875,15.0,6.260669999999999,30300
47,1995-03-10,15.0,15.5,14.875,15.375,6.417185,90500
48,1995-03-13,15.625,15.625,15.375,15.5,6.469357,82000
49,1995-03-14,15.625,16.25,15.5,16.25,6.782389,190400
50,1995-03-15,16.125,17.0,16.125,16.875,7.043247999999999,430500
51,1995-03-16,16.875,17.125,16.875,16.875,7.043247999999999,438300
52,1995-03-17,16.875,17.0,16.875,17.0,7.095426,112100
53,1995-03-20,16.875,17.125,16.25,16.5,6.886733,278500
54,1995-03-21,16.25,16.25,16.0,16.25,6.782389,98100
55,1995-03-22,16.125,16.625,16.125,16.375,6.834564,55500
