Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2656.0,3780.0,3318.0,3629.0,4194.0,5920.0,6412.0,7747.0,7572.0,7651.0,9091.0
Gross Margin %,16.1,16.8,17.9,16.2,13.4,15.8,15.4,15.1,12.2,13.3,13.5
Operating Income USD Mil,169.0,289.0,242.0,244.0,195.0,465.0,476.0,429.0,238.0,321.0,443.0
Operating Margin %,6.4,7.6,7.3,6.7,4.6,7.9,7.4,5.5,3.1,4.2,4.9
Net Income USD Mil,136.0,158.0,162.0,153.0,133.0,307.0,402.0,297.0,311.0,198.0,289.0
Earnings Per Share USD,0.89,0.87,0.81,0.72,0.62,1.44,1.87,1.35,1.59,1.26,1.84
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,167.0,197.0,201.0,212.0,213.0,213.0,215.0,220.0,195.0,157.0,156.0
Book Value Per Share * USD,12.83,13.52,14.8,15.91,15.98,17.67,18.86,21.21,20.86,22.62,24.09
Operating Cash Flow USD Mil,219.0,243.0,377.0,240.0,218.0,106.0,447.0,311.0,618.0,381.0,351.0
Cap Spending USD Mil,-128.0,-200.0,-165.0,-150.0,-172.0,-211.0,-264.0,-302.0,-210.0,-213.0,-236.0
Free Cash Flow USD Mil,91.0,42.0,212.0,91.0,46.0,-105.0,183.0,9.0,408.0,169.0,115.0
Free Cash Flow Per Share * USD,0.55,0.2,1.05,0.43,0.86,-0.49,0.5,-0.17,1.94,1.48,
Working Capital USD Mil,547.0,930.0,1087.0,1096.0,984.0,1321.0,1270.0,1417.0,1074.0,1084.0,
