Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1831.0,2285.0,1348.0,1718.0,2095.0,2634.0,3658.0,5072.0,4825.0,3824.0,5724.0
Gross Margin %,61.8,64.4,66.6,61.2,69.9,65.1,69.5,68.1,61.3,39.5,47.1
Operating Income USD Mil,355.0,436.0,58.0,301.0,359.0,695.0,1260.0,1899.0,1149.0,-414.0,871.0
Operating Margin %,19.4,19.1,4.3,17.5,17.1,26.4,34.4,37.4,23.8,-10.8,15.2
Net Income USD Mil,373.0,210.0,-52.0,605.0,834.0,192.0,-838.0,930.0,-273.0,-556.0,125.0
Earnings Per Share USD,3.06,1.76,-0.46,5.08,6.88,1.5,-6.16,6.38,-1.83,-3.34,0.74
Dividends USD,0.27,0.3,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Payout Ratio % *,13.6,16.1,,2.0,1.8,7.5,2.0,,1.5,,10.8
Shares Mil,122.0,118.0,114.0,116.0,119.0,126.0,136.0,144.0,149.0,166.0,170.0
Book Value Per Share * USD,25.49,30.44,30.92,35.74,41.62,46.12,53.15,47.95,60.08,61.42,62.24
Operating Cash Flow USD Mil,775.0,1025.0,543.0,1285.0,1530.0,1838.0,2145.0,2366.0,1248.0,1498.0,1837.0
Cap Spending USD Mil,-2204.0,-1444.0,-463.0,-1196.0,-2290.0,-3055.0,-2876.0,-3576.0,-2393.0,-2060.0,-2472.0
Free Cash Flow USD Mil,-1429.0,-419.0,80.0,89.0,-760.0,-1217.0,-731.0,-1210.0,-1145.0,-562.0,-635.0
Free Cash Flow Per Share * USD,-11.74,-3.53,0.7,0.77,-4.41,-9.64,-6.0,-6.15,-10.32,-4.89,
Working Capital USD Mil,-229.0,-208.0,45.0,428.0,467.0,16.0,478.0,779.0,1732.0,1732.0,
