Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,26.1,40.33,33.62,31.99,28.77,32.88,36.16,34.1,35.62,56.97,56.97
Accounts Receivable,16.44,2.55,2.39,2.73,3.39,4.71,4.97,3.87,4.24,5.55,5.55
Inventory,2.12,1.65,1.73,2.1,2.39,2.86,3.0,2.94,2.97,3.11,3.11
Other Current Assets,3.07,1.27,1.95,2.42,1.82,2.52,2.01,2.6,1.07,0.94,0.94
Total Current Assets,47.73,45.8,39.69,39.24,36.37,42.96,46.14,43.51,43.89,66.57,66.57
Net PP&E,8.8,8.7,7.76,6.63,6.63,6.58,5.12,4.99,4.4,4.91,4.91
Intangibles,18.81,16.6,14.75,17.93,15.94,14.34,14.55,18.15,17.53,15.82,15.82
Other Long-Term Assets,24.66,28.9,37.8,36.2,41.06,36.11,34.19,33.35,34.17,12.7,12.7
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.32,2.32,2.5,3.95,3.02,3.41,4.49,2.56,3.55,3.01,3.01
Short-Term Debt,0.7,,3.55,2.73,,,,1.97,3.34,3.81,3.81
Taxes Payable,,,4.72,0.05,,,,,,,
Accrued Liabilities,,1.75,1.53,1.77,1.54,1.84,1.65,1.7,1.78,2.99,2.99
Other Short-Term Liabilities,6.3,6.18,5.59,6.03,7.77,6.2,6.23,5.79,5.29,6.84,6.84
Total Current Liabilities,9.33,10.25,17.89,14.52,12.33,11.45,12.38,12.01,13.96,16.66,16.66
Long-Term Debt,,,,,,,,19.63,19.11,29.62,29.62
Other Long-Term Liabilities,17.62,15.73,13.89,11.48,9.73,9.26,6.98,6.51,6.23,6.77,6.77
Total Liabilities,26.95,25.98,31.77,26.0,22.06,20.71,19.36,38.14,39.31,53.05,53.05
Total Stockholders' Equity,73.05,74.02,68.23,74.0,77.94,79.29,80.64,61.86,60.69,46.95,46.95
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
