Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,11142.0,10416.0,10982.0,14957.0,19121.0,24866.0,26487.0,25281.0,23554.0,22291.0,22291.0
Gross Margin %,69.4,69.5,69.9,67.4,62.9,60.5,59.7,58.9,58.6,56.1,56.1
Operating Income USD Mil,3730.0,2226.0,3727.0,5026.0,5682.0,7230.0,7550.0,5776.0,6495.0,2614.0,2614.0
Operating Margin %,33.5,21.4,33.9,33.6,29.7,29.1,28.5,22.8,27.6,11.7,11.7
Net Income USD Mil,3160.0,1592.0,3247.0,4260.0,6109.0,6853.0,7967.0,5271.0,5705.0,2466.0,2466.0
Earnings Per Share USD,1.9,0.95,1.96,2.52,3.51,3.91,4.65,3.22,3.81,1.65,1.65
Dividends USD,0.6,0.66,0.72,0.81,0.93,1.2,1.54,1.8,2.02,2.2,2.2
Payout Ratio % *,31.6,69.4,36.7,30.0,30.2,29.3,35.4,47.7,57.4,82.8,133.3
Shares Mil,1660.0,1673.0,1658.0,1691.0,1741.0,1754.0,1714.0,1639.0,1498.0,1490.0,1490.0
Book Value Per Share * USD,118.95,164.35,162.21,220.08,245.15,294.14,313.73,370.95,406.01,385.63,400.25
Operating Cash Flow USD Mil,3558.0,7172.0,4076.0,4900.0,5998.0,8778.0,8887.0,5506.0,7400.0,4693.0,4693.0
Cap Spending USD Mil,-1397.0,-761.0,-426.0,-593.0,-1284.0,-1048.0,-1185.0,-994.0,-539.0,-690.0,-690.0
Free Cash Flow USD Mil,2161.0,6411.0,3650.0,4307.0,4714.0,7730.0,7702.0,4512.0,6861.0,4003.0,4003.0
Free Cash Flow Per Share * USD,14.29,51.74,27.6,34.96,38.35,49.71,67.26,44.79,82.84,46.07,
Working Capital USD Mil,9432.0,9757.0,6665.0,9004.0,10343.0,14342.0,16400.0,15999.0,15670.0,32686.0,
