,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,19777907000.0,19808036000.0,20817824000.0,21426175000.0,21321504000.0
1,0,Fixed maturity securities,13183127000.0,12656295000.0,13102576000.0,13359396000.0,14107408000.0
2,0,Equity securities,1399050000.0,1606160000.0,1588030000.0,1446673000.0,1129152000.0
3,0,Short-term investments,860379000.0,1214199000.0,1705932000.0,1795455000.0,431478000.0
4,0,Cash and cash equivalents,537050000.0,611382000.0,437474000.0,283658000.0,481922000.0
5,0,Accrued investment income,130209000.0,119058000.0,111075000.0,100942000.0,96473000.0
6,0,Premiums and other receivables,1237859000.0,1453114000.0,1397983000.0,1479293000.0,1485990000.0
7,0,Deferred policy acquisition costs,303268000.0,363721000.0,398408000.0,373072000.0,344052000.0
8,0,Deferred income tax assets,262024000.0,146281000.0,,,
9,0,Other assets,1864941000.0,1637826000.0,2076346000.0,2587686000.0,3245029000.0
10,0,Total assets,19777907000.0,19808036000.0,20817824000.0,21426175000.0,21321504000.0
11,11,Liabilities and stockholders' equity,19777907000.0,19808036000.0,20817824000.0,21426175000.0,21321504000.0
12,11,Liabilities,13044440000.0,12839760000.0,13366704000.0,13817590000.0,13246108000.0
13,12,Future policy benefits,66107000.0,59512000.0,59820000.0,58910000.0,55074000.0
14,12,Policyholder funds,2755000.0,2692000.0,3932000.0,88544000.0,21278000.0
15,12,Unearned premiums,1322525000.0,1579945000.0,1728745000.0,1613390000.0,1577546000.0
16,12,Short-term debt,,249958000.0,,,
17,12,Long-term debt,818161000.0,238361000.0,638364000.0,638368000.0,633176000.0
18,12,Other liabilities,10834892000.0,10709292000.0,10935843000.0,11418378000.0,10959034000.0
19,12,Total liabilities,13044440000.0,12839760000.0,13366704000.0,13817590000.0,13246108000.0
20,11,Stockholders' equity,6733467000.0,6968276000.0,7451120000.0,7608585000.0,8075396000.0
21,20,Common stock,671000.0,680000.0,683000.0,686000.0,689000.0
22,20,Additional paid-in capital,1946439000.0,2029774000.0,2068807000.0,2103638000.0,2140783000.0
23,20,Retained earnings,5613266000.0,6765967000.0,7819210000.0,8621972000.0,9422932000.0
24,20,Treasury stock,-1363958000.0,-1985873000.0,-2485897000.0,-2885956000.0,-3272244000.0
25,20,Accumulated other comprehensive income,537049000.0,157728000.0,48317000.0,-231755000.0,-216764000.0
26,20,Total stockholders' equity,6733467000.0,6968276000.0,7451120000.0,7608585000.0,8075396000.0
27,11,Total liabilities and stockholders' equity,19777907000.0,19808036000.0,20817824000.0,21426175000.0,21321504000.0
