,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,3853458000.0,3913516000.0,4197170000.0,4191074000.0,4488906000.0
1,0,Real estate properties,3909912000.0,4026531000.0,4409886000.0,4545900000.0,4933499000.0
2,0,Accumulated depreciation,-782749000.0,-844873000.0,-933708000.0,-1043787000.0,-1124391000.0
3,0,"Real estate properties, net",3127163000.0,3181658000.0,3476178000.0,3502113000.0,3809108000.0
4,0,Cash and cash equivalents,22349000.0,80684000.0,113776000.0,36856000.0,13256000.0
5,0,Restricted cash,6472000.0,9520000.0,8013000.0,3767000.0,4623000.0
6,0,Receivables,100342000.0,88891000.0,98899000.0,106164000.0,111722000.0
7,0,Intangible assets,42459000.0,44805000.0,52365000.0,105380000.0,118831000.0
8,0,Other assets,554673000.0,507958000.0,447939000.0,436794000.0,431366000.0
9,0,Total assets,3853458000.0,3913516000.0,4197170000.0,4191074000.0,4488906000.0
10,10,Liabilities and stockholders' equity,3853458000.0,3913516000.0,4197170000.0,4191074000.0,4488906000.0
11,10,Liabilities,2122693000.0,2070162000.0,2290578000.0,2136965000.0,1897605000.0
12,11,Long-term debt,1941891000.0,1854697000.0,2021357000.0,1872478000.0,1642420000.0
13,11,Payables and accrued expenses,127185000.0,147045000.0,181197000.0,164515000.0,138936000.0
14,11,Other liabilities,53617000.0,68420000.0,88024000.0,99972000.0,116249000.0
15,11,Total liabilities,2122693000.0,2070162000.0,2290578000.0,2136965000.0,1897605000.0
16,10,Stockholders' equity,1730765000.0,1843354000.0,1906592000.0,2054109000.0,2591301000.0
17,16,Preferred stock,325000000.0,325000000.0,325000000.0,325000000.0,325000000.0
18,16,Common stock,904000.0,923000.0,941000.0,972000.0,1045000.0
19,16,Additional paid-in capital,2312310000.0,2426477000.0,2540153000.0,2742508000.0,3294923000.0
20,16,Retained earnings,-834810000.0,-874916000.0,-882372000.0,-936020000.0,-994259000.0
21,16,Treasury stock,-14924000.0,-16726000.0,-19382000.0,-19658000.0,-17062000.0
22,16,Accumulated other comprehensive income,-57715000.0,-17404000.0,-57748000.0,-58693000.0,-18346000.0
23,16,Total stockholders' equity,1730765000.0,1843354000.0,1906592000.0,2054109000.0,2591301000.0
24,10,Total liabilities and stockholders' equity,3853458000.0,3913516000.0,4197170000.0,4191074000.0,4488906000.0
