,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,121347000000.0,117396000000.0,119679000000.0,126050000000.0,125968000000.0
1,0,Cash and due from banks,1979000000.0,1661000000.0,1601000000.0,1382000000.0,1853000000.0
2,0,Deposits with banks,3510000000.0,3612000000.0,2303000000.0,3932000000.0,3583000000.0
3,0,Federal funds sold,0.0,,100000000.0,,15000000.0
4,0,Trading assets,116000000.0,111000000.0,106000000.0,143000000.0,124000000.0
5,0,Debt securities,27254000000.0,23838000000.0,24755000000.0,24656000000.0,25143000000.0
6,0,Loans,75378000000.0,75664000000.0,77848000000.0,81610000000.0,80813000000.0
7,0,Allowance for loan losses,-1919000000.0,-1341000000.0,-1103000000.0,-1106000000.0,-1091000000.0
8,0,Net loans,73459000000.0,74323000000.0,76745000000.0,80504000000.0,79722000000.0
9,0,Receivables,344000000.0,313000000.0,310000000.0,319000000.0,319000000.0
10,0,Premises and equipment,2279000000.0,2216000000.0,2193000000.0,2152000000.0,2096000000.0
11,0,Goodwill,4816000000.0,4816000000.0,4816000000.0,4878000000.0,4904000000.0
12,0,Other intangible assets,536000000.0,592000000.0,532000000.0,511000000.0,545000000.0
13,0,Other assets,7054000000.0,5914000000.0,6218000000.0,7573000000.0,7664000000.0
14,0,Total assets,121347000000.0,117396000000.0,119679000000.0,126050000000.0,125968000000.0
15,15,Liabilities and stockholders' equity,121347000000.0,117396000000.0,119679000000.0,126050000000.0,125968000000.0
16,15,Liabilities,105848000000.0,101628000000.0,102690000000.0,109206000000.0,109304000000.0
17,16,Deposits,95474000000.0,92453000000.0,94200000000.0,98430000000.0,99035000000.0
18,16,Federal funds purchased,1449000000.0,2182000000.0,1753000000.0,,
19,16,Short-term borrowing,125000000.0,0.0,500000000.0,10000000.0,0.0
20,16,Long-term debt,5861000000.0,4830000000.0,3462000000.0,8349000000.0,7763000000.0
21,16,Other liabilities,2939000000.0,2163000000.0,2775000000.0,2417000000.0,2506000000.0
22,16,Total liabilities,105848000000.0,101628000000.0,102690000000.0,109206000000.0,109304000000.0
23,15,Stockholders' equity,15499000000.0,15768000000.0,16989000000.0,16844000000.0,16664000000.0
24,23,Preferred stock,482000000.0,450000000.0,884000000.0,820000000.0,820000000.0
25,23,Common stock,15000000.0,14000000.0,14000000.0,13000000.0,13000000.0
26,23,Additional paid-in capital,19652000000.0,19216000000.0,18767000000.0,17883000000.0,17092000000.0
27,23,Retained earnings,-3338000000.0,-2216000000.0,-1061000000.0,-115000000.0,666000000.0
28,23,Treasury stock,-1377000000.0,-1377000000.0,-1377000000.0,-1377000000.0,-1377000000.0
29,23,Accumulated other comprehensive income,65000000.0,-319000000.0,-238000000.0,-380000000.0,-550000000.0
30,23,Total stockholders' equity,15499000000.0,15768000000.0,16989000000.0,16844000000.0,16664000000.0
31,15,Total liabilities and stockholders' equity,121347000000.0,117396000000.0,119679000000.0,126050000000.0,125968000000.0
