,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,1381271000.0,1490271000.0,1647267000.0,1702960000.0,1777971000.0
1,0,Current assets,1064685000.0,1172528000.0,1323283000.0,1343681000.0,1284234000.0
2,1,Cash,287635000.0,275764000.0,287119000.0,224577000.0,260201000.0
3,2,Cash and cash equivalents,287635000.0,275764000.0,287119000.0,224577000.0,260201000.0
4,2,Total cash,287635000.0,275764000.0,287119000.0,224577000.0,260201000.0
5,1,Receivables,512852000.0,551905000.0,657676000.0,704640000.0,703228000.0
6,1,Deferred income taxes,102993000.0,112881000.0,133151000.0,145684000.0,
7,1,Other current assets,161205000.0,231978000.0,245337000.0,268780000.0,320805000.0
8,1,Total current assets,1064685000.0,1172528000.0,1323283000.0,1343681000.0,1284234000.0
9,0,Non-current assets,316586000.0,317743000.0,323984000.0,359279000.0,493737000.0
10,9,"Property, plant and equipment",107680000.0,112644000.0,121754000.0,142906000.0,161509000.0
11,10,"Gross property, plant and equipment",651815000.0,678855000.0,700366000.0,726567000.0,789242000.0
12,10,Accumulated Depreciation,-544135000.0,-566211000.0,-578612000.0,-583661000.0,-627733000.0
13,10,"Net property, plant and equipment",107680000.0,112644000.0,121754000.0,142906000.0,161509000.0
14,9,Goodwill,201339000.0,200833000.0,199488000.0,208579000.0,209793000.0
15,9,Intangible assets,2256000.0,556000.0,0.0,4508000.0,3671000.0
16,9,Deferred income taxes,,,,,118764000.0
17,9,Other long-term assets,5311000.0,3710000.0,2742000.0,3286000.0,0.0
18,9,Total non-current assets,316586000.0,317743000.0,323984000.0,359279000.0,493737000.0
19,0,Total assets,1381271000.0,1490271000.0,1647267000.0,1702960000.0,1777971000.0
20,20,Liabilities and stockholders' equity,1381271000.0,1490271000.0,1647267000.0,1702960000.0,1777971000.0
21,20,Liabilities,539260000.0,570628000.0,667409000.0,699179000.0,691372000.0
22,21,Current liabilities,501637000.0,535853000.0,623362000.0,655549000.0,679896000.0
23,22,Short-term debt,117000.0,128000.0,140000.0,153000.0,167000.0
24,22,Taxes payable,,34658000.0,,2506000.0,5141000.0
25,22,Accrued liabilities,361641000.0,361384000.0,448115000.0,504782000.0,539048000.0
26,22,Other current liabilities,139879000.0,139683000.0,175107000.0,148108000.0,135540000.0
27,22,Total current liabilities,501637000.0,535853000.0,623362000.0,655549000.0,679896000.0
28,21,Non-current liabilities,37623000.0,34775000.0,44047000.0,43630000.0,11476000.0
29,28,Long-term debt,1428000.0,1300000.0,1159000.0,1007000.0,840000.0
30,28,Other long-term liabilities,36195000.0,33475000.0,42888000.0,42623000.0,10636000.0
31,28,Total non-current liabilities,37623000.0,34775000.0,44047000.0,43630000.0,11476000.0
32,21,Total liabilities,539260000.0,570628000.0,667409000.0,699179000.0,691372000.0
33,20,Stockholders' equity,842011000.0,919643000.0,979858000.0,1003781000.0,1086599000.0
34,33,Common stock,139000.0,137000.0,135000.0,131000.0,128000.0
35,33,Additional paid-in capital,798093000.0,868120000.0,928157000.0,979477000.0,1022411000.0
36,33,Retained earnings,0.0,13315000.0,36836000.0,34467000.0,84562000.0
37,33,Accumulated other comprehensive income,43779000.0,38071000.0,14730000.0,-10294000.0,-20502000.0
38,33,Total stockholders' equity,842011000.0,919643000.0,979858000.0,1003781000.0,1086599000.0
39,20,Total liabilities and stockholders' equity,1381271000.0,1490271000.0,1647267000.0,1702960000.0,1777971000.0
