Key Financials MUR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue MUR Mil,,,,,,,,242.0,241.0,255.0,262.0
Gross Margin %,,,,,,,,15.3,17.5,9.6,10.2
Operating Income MUR Mil,,,,,,,,45.0,15.0,38.0,49.0
Operating Margin %,,,,,,,,18.7,6.3,14.8,18.7
Net Income MUR Mil,,,,,,,,38.0,14.0,37.0,48.0
Earnings Per Share MUR,,,,,,,,3.13,1.17,3.06,3.99
Dividends MUR,,,,,,,,,0.5,1.1,1.15
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,12.0,12.0,12.0,12.0
Book Value Per Share * MUR,,,,,,,,,,,
Operating Cash Flow MUR Mil,,,,,,,,79.0,15.0,39.0,11.0
Cap Spending MUR Mil,,,,,,,,,,,
Free Cash Flow MUR Mil,,,,,,,,79.0,15.0,39.0,11.0
Free Cash Flow Per Share * MUR,,,,,,,,,,,
Working Capital MUR Mil,,,,,,,,,105.0,7.0,
