,parent_index,title,2013,2014,2015,2016,2017
0,0,Assets,23186122000.0,23325652000.0,26479684000.0,31593733000.0,34883456000.0
1,0,Cash and cash equivalents,2723021000.0,2349520000.0,2601006000.0,1650452000.0,3669672000.0
2,0,Federal funds sold,709120000.0,446016000.0,474144000.0,470222000.0,404462000.0
3,0,Securities and investments,1743452000.0,1669099000.0,1662120000.0,2117681000.0,3172304000.0
4,0,Securities borrowed,,,,,138319000.0
5,0,Receivables,2780519000.0,2937088000.0,2958559000.0,3666403000.0,3687561000.0
6,0,Loans,9230281000.0,22455112000.0,13476781000.0,27651076000.0,17880067000.0
7,0,Premises and equipment,244416000.0,245401000.0,255875000.0,321457000.0,437374000.0
8,0,Goodwill,295486000.0,295486000.0,307635000.0,408072000.0,410723000.0
9,0,Intangible assets,65978000.0,58775000.0,69327000.0,96370000.0,82460000.0
10,0,Other assets,5393849000.0,-7130845000.0,4674237000.0,-4788000000.0,5000514000.0
11,0,Total assets,23186122000.0,23325652000.0,26479684000.0,31593733000.0,34883456000.0
12,12,Liabilities and stockholders' equity,23186122000.0,23325652000.0,26479684000.0,31593733000.0,34883456000.0
13,12,Liabilities,19523198000.0,19184416000.0,21957653000.0,26679637000.0,29301743000.0
14,13,Deposits,9295371000.0,10028924000.0,11919881000.0,14262547000.0,17732362000.0
15,13,Federal funds purchased,300933000.0,244495000.0,332536000.0,193229000.0,220942000.0
16,13,Payables,7037175000.0,5353252000.0,6042945000.0,8019111000.0,6151588000.0
17,13,Trading liabilities,220656000.0,238400000.0,287993000.0,328938000.0,221449000.0
18,13,Long-term debt,1341522000.0,1889629000.0,1878247000.0,2301842000.0,3062851000.0
19,13,Other liabilities,1327541000.0,1429716000.0,1496051000.0,1573970000.0,1912551000.0
20,13,Total liabilities,19523198000.0,19184416000.0,21957653000.0,26679637000.0,29301743000.0
21,12,Stockholders' equity,3662924000.0,4141236000.0,4522031000.0,4914096000.0,5581713000.0
22,21,Common stock,1429000.0,1444000.0,1491000.0,1513000.0,1542000.0
23,21,Additional paid-in capital,1136298000.0,1239046000.0,1344779000.0,1498921000.0,1645397000.0
24,21,Retained earnings,2635026000.0,3023845000.0,3419719000.0,3832332000.0,4340054000.0
25,21,Treasury stock,-120555000.0,-121211000.0,-203455000.0,-362937000.0,-390081000.0
26,21,Accumulated other comprehensive income,10726000.0,-1888000.0,-40503000.0,-55733000.0,-15199000.0
27,21,Total Stockholders' equity,3662924000.0,4141236000.0,4522031000.0,4914096000.0,5581713000.0
28,12,Total liabilities and stockholders' equity,23186122000.0,23325652000.0,26479684000.0,31593733000.0,34883456000.0
