,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,19616900000.0,19949200000.0,20094000000.0,20577200000.0,20629600000.0
1,0,Current assets,1231300000.0,1421900000.0,1391000000.0,1230300000.0,1284500000.0
2,1,Cash,67600000.0,213300000.0,75200000.0,32400000.0,67800000.0
3,2,Cash and cash equivalents,67600000.0,213300000.0,75200000.0,32400000.0,67800000.0
4,2,Total cash,67600000.0,213300000.0,75200000.0,32400000.0,67800000.0
5,1,Receivables,836600000.0,890700000.0,930400000.0,962900000.0,994800000.0
6,1,Inventories,34500000.0,37800000.0,35900000.0,38800000.0,44000000.0
7,1,Deferred income taxes,117800000.0,117600000.0,122000000.0,0.0,
8,1,Prepaid expenses,54400000.0,59000000.0,55000000.0,66100000.0,74500000.0
9,1,Other current assets,120400000.0,103500000.0,172500000.0,130100000.0,103400000.0
10,1,Total current assets,1231300000.0,1421900000.0,1391000000.0,1230300000.0,1284500000.0
11,0,Non-current assets,18385600000.0,18527300000.0,18703000000.0,19346900000.0,19345100000.0
12,11,"Property, plant and equipment",6910300000.0,7036800000.0,7165300000.0,7552800000.0,7588600000.0
13,12,"Gross property, plant and equipment",11559300000.0,12359600000.0,13196100000.0,14196600000.0,14952500000.0
14,12,Accumulated Depreciation,-4649000000.0,-5322800000.0,-6030800000.0,-6643800000.0,-7363900000.0
15,12,"Net property, plant and equipment",6910300000.0,7036800000.0,7165300000.0,7552800000.0,7588600000.0
16,11,Equity and other investments,,,,,24800000.0
17,11,Goodwill,10690000000.0,10724100000.0,10830900000.0,11145500000.0,11163200000.0
18,11,Intangible assets,358700000.0,315800000.0,298900000.0,246400000.0,182300000.0
19,11,Other long-term assets,426600000.0,450600000.0,407900000.0,402200000.0,386200000.0
20,11,Total non-current assets,18385600000.0,18527300000.0,18703000000.0,19346900000.0,19345100000.0
21,0,Total assets,19616900000.0,19949200000.0,20094000000.0,20577200000.0,20629600000.0
22,22,Liabilities and stockholders' equity,19616900000.0,19949200000.0,20094000000.0,20577200000.0,20629600000.0
23,22,Liabilities,11913600000.0,12045700000.0,12348700000.0,12803100000.0,12938300000.0
24,23,Current liabilities,1695000000.0,1717100000.0,1826000000.0,1834800000.0,1812000000.0
25,24,Short-term debt,19400000.0,15700000.0,10400000.0,5500000.0,5800000.0
26,24,Accounts payable,474500000.0,511400000.0,527300000.0,577400000.0,553800000.0
27,24,Taxes payable,2100000.0,,16300000.0,127000000.0,132600000.0
28,24,Accrued liabilities,800900000.0,707600000.0,867000000.0,707300000.0,698300000.0
29,24,Deferred revenues,313200000.0,301800000.0,306300000.0,313900000.0,312900000.0
30,24,Other current liabilities,84900000.0,180600000.0,98700000.0,103700000.0,108600000.0
31,24,Total current liabilities,1695000000.0,1717100000.0,1826000000.0,1834800000.0,1812000000.0
32,23,Non-current liabilities,10218600000.0,10328600000.0,10522700000.0,10968300000.0,11126300000.0
33,32,Long-term debt,7051100000.0,7002400000.0,7050800000.0,7568700000.0,7653100000.0
34,32,Deferred taxes liabilities,1232700000.0,1185400000.0,1149000000.0,1131800000.0,1210200000.0
35,32,Accrued liabilities,1420600000.0,1464300000.0,1677500000.0,1677900000.0,1684800000.0
36,32,Pensions and other benefits,,6500000.0,11000000.0,12100000.0,6700000.0
37,32,Minority interest,2400000.0,2600000.0,2500000.0,2500000.0,2400000.0
38,32,Other long-term liabilities,511800000.0,667400000.0,631900000.0,575300000.0,569100000.0
39,32,Total non-current liabilities,10218600000.0,10328600000.0,10522700000.0,10968300000.0,11126300000.0
40,23,Total liabilities,11913600000.0,12045700000.0,12348700000.0,12803100000.0,12938300000.0
41,22,Stockholders' equity,7703300000.0,7903500000.0,7745300000.0,7774100000.0,7691300000.0
42,41,Common stock,4100000.0,4100000.0,4100000.0,3500000.0,3500000.0
43,41,Additional paid-in capital,6588900000.0,6764900000.0,6876900000.0,4677700000.0,4764500000.0
44,41,Retained earnings,2403200000.0,2632700000.0,2795000000.0,3138300000.0,3324000000.0
45,41,Treasury stock,-1287100000.0,-1501200000.0,-1901800000.0,-14900000.0,-414900000.0
46,41,Accumulated other comprehensive income,-5800000.0,3000000.0,-28900000.0,-30500000.0,14200000.0
47,41,Total stockholders' equity,7703300000.0,7903500000.0,7745300000.0,7774100000.0,7691300000.0
48,22,Total liabilities and stockholders' equity,19616900000.0,19949200000.0,20094000000.0,20577200000.0,20629600000.0
