,parent_index,title,2013,2014,2015,2016,2017,2018
0,0,Revenue,14892200000.0,16447800000.0,19162700000.0,21315900000.0,22386800000.0,22386800000.0
1,1,Cost of revenue,6382300000.0,6858800000.0,7787500000.0,8511100000.0,9038200000.0,9038200000.0
2,2,Gross profit,8509900000.0,9589000000.0,11375200000.0,12804800000.0,13348600000.0,13348600000.0
3,3,Operating expenses,8835300000.0,6507900000.0,7774200000.0,8632900000.0,9213900000.0,9213900000.0
4,3,"Sales, General and administrative",5224000000.0,5629500000.0,6607800000.0,7424900000.0,7886600000.0,7886600000.0
5,3,"Restructuring, merger and acquisition",,,,,153500000.0,153500000.0
6,3,Other operating expenses,3611300000.0,878400000.0,1166400000.0,1208000000.0,1173800000.0,1173800000.0
7,3,Total operating expenses,8835300000.0,6507900000.0,7774200000.0,8632900000.0,9213900000.0,9213900000.0
8,8,Operating income,-325400000.0,3081100000.0,3601000000.0,4171900000.0,4134700000.0,4134700000.0
9,9,Interest Expense,28100000.0,64100000.0,70500000.0,81300000.0,92500000.0,92500000.0
10,10,Other income (expense),123600000.0,142700000.0,372500000.0,108000000.0,275300000.0,275300000.0
11,11,Income before taxes,-229900000.0,3159700000.0,3903000000.0,4198600000.0,4317500000.0,4317500000.0
12,12,Provision for income taxes,-238700000.0,1092000000.0,1143700000.0,1379700000.0,1432600000.0,1432600000.0
13,13,Net income from continuing operations,8800000.0,2067700000.0,2759300000.0,2818900000.0,2884900000.0,2884900000.0
14,14,Other,-500000.0,400000.0,-1900000.0,-1200000.0,-200000.0,-200000.0
15,15,Net income,8300000.0,2068100000.0,2757400000.0,2817700000.0,2884700000.0,2884700000.0
16,16,Net income available to common shareholders,8300000.0,2068100000.0,2757400000.0,2817700000.0,2884700000.0,2884700000.0
17,17,Earnings per share,,,,,,
18,18,Basic,0.005,1.375,1.84,1.91,1.99,1.99
19,19,Diluted,0.005,1.355,1.82,1.9,1.97,1.97
20,20,Weighted average shares outstanding,,,,,,
21,21,Basic,1498600000.0,1506200000.0,1495900000.0,1471600000.0,1449500000.0,1449500000.0
22,22,Diluted,1524600000.0,1526200000.0,1513400000.0,1486700000.0,1461500000.0,1461500000.0
23,23,EBITDA,453800000.0,3972200000.0,4907300000.0,5310000000.0,5477100000.0,5477100000.0
