,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,133637000000.0,143642000000.0,154642000000.0,183718000000.0,223383000000.0
1,0,Cash and cash equivalents,12663000000.0,7728000000.0,11363000000.0,11978000000.0,10828000000.0
2,0,Securities and investments,65012000000.0,82512000000.0,89760000000.0,116366000000.0,153017000000.0
3,0,Receivables,14358000000.0,14959000000.0,16677000000.0,18524000000.0,17883000000.0
4,0,Loans,10726000000.0,12419000000.0,13399000000.0,14334000000.0,15403000000.0
5,0,Premises and equipment,675000000.0,790000000.0,1039000000.0,1145000000.0,1299000000.0
6,0,Goodwill,1228000000.0,1227000000.0,1227000000.0,1227000000.0,1227000000.0
7,0,Intangible assets,319000000.0,266000000.0,227000000.0,181000000.0,144000000.0
8,0,Other assets,28656000000.0,23741000000.0,20950000000.0,19963000000.0,23582000000.0
9,0,Total assets,133637000000.0,143642000000.0,154642000000.0,183718000000.0,223383000000.0
10,10,Liabilities and stockholders' equity,133637000000.0,143642000000.0,154642000000.0,183718000000.0,223383000000.0
11,10,Liabilities,124048000000.0,133261000000.0,142839000000.0,170316000000.0,206962000000.0
12,11,Deposits,79377000000.0,92972000000.0,102815000000.0,129502000000.0,163454000000.0
13,11,Payables,41398000000.0,36800000000.0,36309000000.0,35773000000.0,38301000000.0
14,11,Long-term debt,1632000000.0,1903000000.0,1899000000.0,2890000000.0,2876000000.0
15,11,Accrued expenses and liabilities,1641000000.0,1586000000.0,1816000000.0,2151000000.0,2331000000.0
16,11,Total liabilities,124048000000.0,133261000000.0,142839000000.0,170316000000.0,206962000000.0
17,10,Stockholders' equity,9589000000.0,10381000000.0,11803000000.0,13402000000.0,16421000000.0
18,17,Preferred stock,865000000.0,869000000.0,872000000.0,1459000000.0,2783000000.0
19,17,Common stock,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0
20,17,Additional paid-in capital,3881000000.0,3951000000.0,4050000000.0,4152000000.0,4267000000.0
21,17,Retained earnings,8554000000.0,9253000000.0,10198000000.0,11253000000.0,12649000000.0
22,17,Treasury stock,-4024000000.0,-3716000000.0,-3497000000.0,-3343000000.0,-3130000000.0
23,17,Accumulated other comprehensive income,298000000.0,9000000.0,165000000.0,-134000000.0,-163000000.0
24,17,Total Stockholders' equity,9589000000.0,10381000000.0,11803000000.0,13402000000.0,16421000000.0
25,10,Total liabilities and stockholders' equity,133637000000.0,143642000000.0,154642000000.0,183718000000.0,223383000000.0
