,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Cash Flows From Operating Activities,1266000000.0,1656000000.0,2348000000.0,1246000000.0,155000000.0,1009000000.0
1,0,Net income,928000000.0,1071000000.0,1321000000.0,1447000000.0,1889000000.0,2279000000.0
2,0,Provision for credit losses,16000000.0,-1000000.0,-4000000.0,-11000000.0,-5000000.0,-0.0
3,0,Depreciation & amortization,196000000.0,202000000.0,199000000.0,224000000.0,,
4,0,Amortization of debt discount/premium and issuance costs,222000000.0,162000000.0,125000000.0,162000000.0,0.0,0.0
5,0,Investment/asset impairment charges,32000000.0,10000000.0,1000000.0,,,
6,0,Deferred tax (benefit) expense,,-21000000.0,-25000000.0,-7000000.0,,
7,0,Stock based compensation,105000000.0,116000000.0,115000000.0,135000000.0,,
8,0,Receivable,-2495000000.0,-671000000.0,-1681000000.0,-1760000000.0,,
9,0,Payables,4978000000.0,-4679000000.0,-635000000.0,-312000000.0,,
10,0,Accrued liabilities,-237000000.0,400000000.0,196000000.0,304000000.0,30000000.0,174000000.0
11,0,Other assets and liabilities,-2582000000.0,5052000000.0,2743000000.0,1068000000.0,-37000000.0,172000000.0
12,0,Other operating activities,103000000.0,15000000.0,-7000000.0,-4000000.0,-1722000000.0,-1616000000.0
13,0,Net cash provided by operating activities,1266000000.0,1656000000.0,2348000000.0,1246000000.0,155000000.0,1009000000.0
14,14,Cash Flows From Investing Activities,-16260000000.0,-20050000000.0,-8395000000.0,-28623000000.0,-991000000.0,17822000000.0
15,14,Sales/maturity of investments,22656000000.0,6167000000.0,15086000000.0,13304000000.0,2000000.0,3096000000.0
16,14,Purchases of investments,-37713000000.0,-24336000000.0,-22054000000.0,-40654000000.0,-1549000000.0,14411000000.0
17,14,"Changes in loans, net",-978000000.0,-1634000000.0,-1016000000.0,-980000000.0,,
18,14,Acquisitions and dispositions,-80000000.0,0.0,0.0,,,
19,14,"Property, and equipments, net",-148000000.0,-249000000.0,-400000000.0,-266000000.0,,
20,14,Other investing activities,3000000.0,2000000.0,-11000000.0,-27000000.0,556000000.0,315000000.0
21,14,Net cash used for investing activities,-16260000000.0,-20050000000.0,-8395000000.0,-28623000000.0,-991000000.0,17822000000.0
22,22,Cash Flows From Financing Activities,18978000000.0,13459000000.0,9682000000.0,27992000000.0,1018000000.0,-15677000000.0
23,22,Change in deposits,18523000000.0,13595000000.0,9843000000.0,26687000000.0,,
24,22,Change in short-term borrowing,300000000.0,-300000000.0,0.0,,,
25,22,Long-term debt issued,350000000.0,275000000.0,0.0,1346000000.0,0.0,643000000.0
26,22,Long-term debt repayment,-732000000.0,-6000000.0,-6000000.0,-357000000.0,0.0,-251000000.0
27,22,Preferred stock issued,863000000.0,0.0,0.0,581000000.0,,
28,22,Cash dividends paid,-337000000.0,-368000000.0,-373000000.0,-387000000.0,-486000000.0,-577000000.0
29,22,Other financing activities,11000000.0,263000000.0,218000000.0,122000000.0,1504000000.0,-15492000000.0
30,22,Net cash provided by (used for) financing activities,18978000000.0,13459000000.0,9682000000.0,27992000000.0,1018000000.0,-15677000000.0
31,31,Net change in cash,3984000000.0,-4935000000.0,3635000000.0,615000000.0,182000000.0,3154000000.0
32,32,Cash at beginning of period,8679000000.0,12663000000.0,7728000000.0,11363000000.0,1007000000.0,10431000000.0
33,33,Cash at end of period,12663000000.0,7728000000.0,11363000000.0,11978000000.0,1189000000.0,13585000000.0
34,34,Supplemental schedule of cash flow data,,,,,,
35,35,Cash paid for income taxes,508000000.0,624000000.0,,810000000.0,,
36,36,Cash paid for interest,143000000.0,99000000.0,,121000000.0,,
