,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenues,5049000000.0,5539000000.0,6156000000.0,6501000000.0,7644000000.0,8616000000.0
1,0,Asset mgmt and securities services,,,,,3055000000.0,3330000000.0
2,0,Interest income,1914000000.0,2085000000.0,2374000000.0,2657000000.0,3493000000.0,4310000000.0
3,0,Other income,3135000000.0,3454000000.0,3782000000.0,3844000000.0,1096000000.0,976000000.0
4,0,Total interest and dividend income,5049000000.0,5539000000.0,6156000000.0,6501000000.0,7644000000.0,8616000000.0
5,5,Interest expense,150000000.0,105000000.0,102000000.0,132000000.0,171000000.0,268000000.0
6,6,"Revenues, net of interest expense",4899000000.0,5434000000.0,6054000000.0,6369000000.0,7473000000.0,8348000000.0
7,7,Operating expenses,3433000000.0,3730000000.0,3943000000.0,4101000000.0,4485000000.0,4827000000.0
8,7,Compensation and benefits,1803000000.0,2027000000.0,2184000000.0,2241000000.0,2466000000.0,2655000000.0
9,7,"Tech, communication and equipment",0.0,220000000.0,223000000.0,233000000.0,237000000.0,229000000.0
10,7,Professional and outside services,388000000.0,415000000.0,457000000.0,459000000.0,506000000.0,563000000.0
11,7,Advertising and marketing,,257000000.0,,,265000000.0,266000000.0
12,7,Other special charges,306000000.0,310000000.0,312000000.0,342000000.0,379000000.0,431000000.0
13,7,Other expenses,936000000.0,501000000.0,767000000.0,826000000.0,632000000.0,683000000.0
14,7,Total noninterest expense,3433000000.0,3730000000.0,3943000000.0,4101000000.0,4485000000.0,4827000000.0
15,15,Income before income taxes,1466000000.0,1704000000.0,2111000000.0,2268000000.0,2988000000.0,3521000000.0
16,16,Income taxes,522000000.0,634000000.0,794000000.0,832000000.0,1104000000.0,1242000000.0
17,17,Other income (expense),-16000000.0,1000000.0,4000000.0,11000000.0,5000000.0,0.0
18,18,Net income,928000000.0,1071000000.0,1321000000.0,1447000000.0,1889000000.0,2279000000.0
19,19,Preferred dividends,45000000.0,61000000.0,60000000.0,83000000.0,143000000.0,171000000.0
20,20,Net income available to common shareholders,883000000.0,1010000000.0,1261000000.0,1364000000.0,1746000000.0,2108000000.0
21,21,Earnings per share,,,,,,
22,22,Basic,0.69,0.78,0.96,1.04,1.32,1.58
23,23,Diluted,0.69,0.78,0.95,1.03,1.31,1.57
24,24,Weighted average shares outstanding,,,,,,
25,25,Basic,1275000000.0,1293000000.0,1303000000.0,1315000000.0,1324000000.0,1336000000.0
26,26,Diluted,1275000000.0,1293000000.0,1315000000.0,1327000000.0,1334000000.0,1349000000.0
