Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,3.0,4.0,5.0,4.0,7.0,7.0,12.0,17.0,13.0,34.0,8.0
Gross Margin %,78.8,63.6,65.6,74.6,69.4,61.4,64.1,59.8,44.5,81.3,22.2
Operating Income AUD Mil,-0.0,0.0,-6.0,-2.0,-2.0,-2.0,1.0,-3.0,-12.0,-3.0,-28.0
Operating Margin %,-17.6,7.9,-113.9,-41.7,-31.0,-24.7,5.1,-16.8,-95.5,-8.8,-360.9
Net Income AUD Mil,-0.0,0.0,-6.0,-2.0,-2.0,-2.0,1.0,-3.0,-11.0,-2.0,-27.0
Earnings Per Share AUD,,,-0.01,-0.01,-0.53,,,,-0.01,,-0.03
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,256.0,294.0,294.0,333.0,0.0,414.0,458.0,658.0,870.0,982.0,1058.0
Book Value Per Share * AUD,,0.01,,0.01,,,,0.02,0.02,0.02,0.01
Operating Cash Flow AUD Mil,2.0,1.0,0.0,-2.0,-2.0,-1.0,-1.0,-5.0,-19.0,-5.0,-9.0
Cap Spending AUD Mil,-3.0,-3.0,-2.0,-0.0,-0.0,-0.0,-1.0,-1.0,-3.0,-3.0,-2.0
Free Cash Flow AUD Mil,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-6.0,-21.0,-8.0,-11.0
Free Cash Flow Per Share * AUD,,,,,,,,,-0.01,-0.01,
Working Capital AUD Mil,-1.0,3.0,1.0,4.0,2.0,1.0,2.0,28.0,26.0,29.0,
