,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,9437200000.0,9134200000.0,8041700000.0,7426000000.0,7389100000.0
1,0,Current assets,3222400000.0,3417700000.0,2691600000.0,2215600000.0,2215300000.0
2,1,Cash,679600000.0,992400000.0,322600000.0,358400000.0,363700000.0
3,2,Cash and cash equivalents,679600000.0,992400000.0,322600000.0,358400000.0,363700000.0
4,2,Total cash,679600000.0,992400000.0,322600000.0,358400000.0,363700000.0
5,1,Receivables,1326000000.0,1126400000.0,1002200000.0,758400000.0,898700000.0
6,1,Inventories,736400000.0,688400000.0,707600000.0,660800000.0,659900000.0
7,1,Deferred income taxes,393000000.0,377700000.0,105600000.0,,
8,1,Prepaid expenses,87400000.0,84900000.0,122200000.0,280200000.0,135200000.0
9,1,Other current assets,0.0,147900000.0,431400000.0,157800000.0,157800000.0
10,1,Total current assets,3222400000.0,3417700000.0,2691600000.0,2215600000.0,2215300000.0
11,0,Non-current assets,6214800000.0,5716500000.0,5350100000.0,5210400000.0,5173800000.0
12,11,"Property, plant and equipment",1212800000.0,1134500000.0,993200000.0,930700000.0,1060300000.0
13,12,"Gross property, plant and equipment",3646700000.0,3625700000.0,3384500000.0,3149800000.0,3315900000.0
14,12,Accumulated Depreciation,-2433900000.0,-2491200000.0,-2391300000.0,-2219100000.0,-2255600000.0
15,12,"Net property, plant and equipment",1212800000.0,1134500000.0,993200000.0,930700000.0,1060300000.0
16,11,Goodwill,3191400000.0,3114600000.0,3005500000.0,2909500000.0,2855600000.0
17,11,Intangible assets,1139700000.0,1016900000.0,872200000.0,784300000.0,710100000.0
18,11,Deferred income taxes,255800000.0,63100000.0,105900000.0,204700000.0,210500000.0
19,11,Other long-term assets,415100000.0,387400000.0,373300000.0,381200000.0,337300000.0
20,11,Total non-current assets,6214800000.0,5716500000.0,5350100000.0,5210400000.0,5173800000.0
21,0,Total assets,9437200000.0,9134200000.0,8041700000.0,7426000000.0,7389100000.0
22,22,Liabilities and stockholders' equity,9437200000.0,9134200000.0,8041700000.0,7426000000.0,7389100000.0
23,22,Liabilities,7993400000.0,7745100000.0,6878900000.0,6898900000.0,6779400000.0
24,23,Current liabilities,2333600000.0,2700800000.0,1730900000.0,1807100000.0,2118900000.0
25,24,Short-term debt,41000000.0,283100000.0,131500000.0,288500000.0,420700000.0
26,24,Accounts payable,483800000.0,524500000.0,638700000.0,675300000.0,885700000.0
27,24,Deferred income taxes,10300000.0,8100000.0,4800000.0,,
28,24,Taxes payable,23800000.0,35600000.0,38100000.0,49700000.0,57600000.0
29,24,Accrued liabilities,1774700000.0,1849500000.0,917800000.0,793600000.0,754900000.0
30,24,Total current liabilities,2333600000.0,2700800000.0,1730900000.0,1807100000.0,2118900000.0
31,23,Non-current liabilities,5659800000.0,5044300000.0,5148000000.0,5091800000.0,4660500000.0
32,31,Long-term debt,4540800000.0,4116400000.0,4282500000.0,4302700000.0,3938300000.0
33,31,Deferred taxes liabilities,472500000.0,278600000.0,161500000.0,75000000.0,51000000.0
34,31,Accrued liabilities,,262000000.0,,,
35,31,Pensions and other benefits,,,,62200000.0,
36,31,Minority interest,500000.0,1400000.0,0.0,,
37,31,Other long-term liabilities,646000000.0,385900000.0,704000000.0,651900000.0,671200000.0
38,31,Total non-current liabilities,5659800000.0,5044300000.0,5148000000.0,5091800000.0,4660500000.0
39,23,Total liabilities,7993400000.0,7745100000.0,6878900000.0,6898900000.0,6779400000.0
40,22,Stockholders' equity,1443800000.0,1389100000.0,1162800000.0,527100000.0,609700000.0
41,40,Common stock,22400000.0,22400000.0,22500000.0,22600000.0,22800000.0
42,40,Additional paid-in capital,1684900000.0,1695300000.0,1787000000.0,1915000000.0,1974100000.0
43,40,Retained earnings,254800000.0,276400000.0,448500000.0,675200000.0,1040000000.0
44,40,Treasury stock,-353400000.0,-327600000.0,-481400000.0,-1265700000.0,-1478100000.0
45,40,Accumulated other comprehensive income,-164900000.0,-277400000.0,-613800000.0,-820000000.0,-949100000.0
46,40,Total stockholders' equity,1443800000.0,1389100000.0,1162800000.0,527100000.0,609700000.0
47,22,Total liabilities and stockholders' equity,9437200000.0,9134200000.0,8041700000.0,7426000000.0,7389100000.0
