,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,61547000000.0,67100000000.0,66904000000.0,68005000000.0,77956000000.0
1,0,Current assets,24156000000.0,26225000000.0,24694000000.0,26912000000.0,23927000000.0
2,1,Cash,6274000000.0,8370000000.0,7501000000.0,13034000000.0,9257000000.0
3,2,Cash and cash equivalents,1905000000.0,3472000000.0,3130000000.0,2793000000.0,2929000000.0
4,2,Short-term investments,4369000000.0,4898000000.0,4371000000.0,10241000000.0,6328000000.0
5,2,Total cash,6274000000.0,8370000000.0,7501000000.0,13034000000.0,9257000000.0
6,1,Receivables,11351000000.0,11497000000.0,11171000000.0,8780000000.0,9387000000.0
7,1,Inventories,4785000000.0,4603000000.0,4628000000.0,3756000000.0,4225000000.0
8,1,Deferred income taxes,343000000.0,288000000.0,144000000.0,208000000.0,0.0
9,1,Other current assets,1403000000.0,1467000000.0,1250000000.0,1134000000.0,1058000000.0
10,1,Total current assets,24156000000.0,26225000000.0,24694000000.0,26912000000.0,23927000000.0
11,0,Non-current assets,37391000000.0,40875000000.0,42210000000.0,41093000000.0,54029000000.0
12,11,"Property, plant and equipment",14780000000.0,15096000000.0,15396000000.0,13415000000.0,12821000000.0
13,12,"Gross property, plant and equipment",33168000000.0,35164000000.0,36964000000.0,37120000000.0,40008000000.0
14,12,Accumulated Depreciation,-18388000000.0,-20068000000.0,-21568000000.0,-23705000000.0,-27187000000.0
15,12,"Net property, plant and equipment",14780000000.0,15096000000.0,15396000000.0,13415000000.0,12821000000.0
16,11,Equity and other investments,1747000000.0,3680000000.0,3677000000.0,3729000000.0,1481000000.0
17,11,Goodwill,14585000000.0,14706000000.0,15487000000.0,15605000000.0,24990000000.0
18,11,Intangible assets,4802000000.0,4709000000.0,4654000000.0,4569000000.0,9855000000.0
19,11,Other long-term assets,1477000000.0,2684000000.0,2996000000.0,3775000000.0,4882000000.0
20,11,Total non-current assets,37391000000.0,40875000000.0,42210000000.0,41093000000.0,54029000000.0
21,0,Total assets,61547000000.0,67100000000.0,66904000000.0,68005000000.0,77956000000.0
22,22,Liabilities and stockholders' equity,61547000000.0,67100000000.0,66904000000.0,68005000000.0,77956000000.0
23,22,Liabilities,26796000000.0,27631000000.0,29054000000.0,32372000000.0,36878000000.0
24,23,Current liabilities,12368000000.0,13525000000.0,14176000000.0,14121000000.0,15059000000.0
25,24,Short-term debt,2121000000.0,2783000000.0,2765000000.0,4557000000.0,3153000000.0
26,24,Accounts payable,,4155000000.0,4344000000.0,3243000000.0,4004000000.0
27,24,Taxes payable,1426000000.0,1490000000.0,1647000000.0,1203000000.0,1188000000.0
28,24,Accrued liabilities,,1910000000.0,1899000000.0,1424000000.0,1349000000.0
29,24,Deferred revenues,,,,,1088000000.0
30,24,Other current liabilities,8821000000.0,3187000000.0,3521000000.0,3694000000.0,4277000000.0
31,24,Total current liabilities,12368000000.0,13525000000.0,14176000000.0,14121000000.0,15059000000.0
32,23,Non-current liabilities,14428000000.0,14106000000.0,14878000000.0,18251000000.0,21819000000.0
33,32,Long-term debt,9509000000.0,10393000000.0,10565000000.0,14442000000.0,16463000000.0
34,32,Deferred taxes liabilities,1493000000.0,1708000000.0,1296000000.0,1075000000.0,1880000000.0
35,32,Pensions and other benefits,2169000000.0,670000000.0,1501000000.0,1434000000.0,1495000000.0
36,32,Minority interest,107000000.0,166000000.0,199000000.0,272000000.0,451000000.0
37,32,Other long-term liabilities,1150000000.0,1169000000.0,1317000000.0,1028000000.0,1530000000.0
38,32,Total non-current liabilities,14428000000.0,14106000000.0,14878000000.0,18251000000.0,21819000000.0
39,23,Total liabilities,26796000000.0,27631000000.0,29054000000.0,32372000000.0,36878000000.0
40,22,Stockholders' equity,34751000000.0,39469000000.0,37850000000.0,35633000000.0,41078000000.0
41,40,Common stock,11912000000.0,12192000000.0,12495000000.0,12693000000.0,12801000000.0
42,40,Retained earnings,32887000000.0,37966000000.0,41333000000.0,40870000000.0,36470000000.0
43,40,Treasury stock,-6160000000.0,-8135000000.0,-11772000000.0,-13372000000.0,-3550000000.0
44,40,Accumulated other comprehensive income,-3888000000.0,-2554000000.0,-4206000000.0,-4558000000.0,-4643000000.0
45,40,Total stockholders' equity,34751000000.0,39469000000.0,37850000000.0,35633000000.0,41078000000.0
46,22,Total liabilities and stockholders' equity,61547000000.0,67100000000.0,66904000000.0,68005000000.0,77956000000.0
