,parent_index,title,2012,2013,2014,2015,2016,2017
0,0,Revenue,42321000000.0,46459000000.0,48871000000.0,35711000000.0,28010000000.0,29587000000.0
1,1,Cost of revenue,33056000000.0,35331000000.0,37398000000.0,28321000000.0,24110000000.0,25237000000.0
2,2,Gross profit,9265000000.0,11128000000.0,11473000000.0,7390000000.0,3900000000.0,4350000000.0
3,3,Operating expenses,1734000000.0,2046000000.0,1692000000.0,1588000000.0,1415000000.0,1278000000.0
4,3,Research and development,1168000000.0,1174000000.0,1217000000.0,1094000000.0,1012000000.0,857000000.0
5,3,"Sales, General and administrative",405000000.0,416000000.0,475000000.0,494000000.0,403000000.0,421000000.0
6,3,"Restructuring, merger and acquisition",33000000.0,,,,,
7,3,Other operating expenses,128000000.0,456000000.0,0.0,0.0,0.0,0.0
8,3,Total operating expenses,1734000000.0,2046000000.0,1692000000.0,1588000000.0,1415000000.0,1278000000.0
9,9,Operating income,7531000000.0,9082000000.0,9781000000.0,5802000000.0,2485000000.0,3072000000.0
10,10,Interest Expense,340000000.0,391000000.0,369000000.0,346000000.0,570000000.0,561000000.0
11,11,Other income (expense),0.0,0.0,-1773000000.0,-2575000000.0,-3820000000.0,-1698000000.0
12,12,Income before taxes,7191000000.0,8691000000.0,7639000000.0,2881000000.0,-1905000000.0,813000000.0
13,13,Provision for income taxes,1723000000.0,1848000000.0,1928000000.0,746000000.0,-278000000.0,250000000.0
14,14,Net income from continuing operations,5468000000.0,6843000000.0,5711000000.0,2135000000.0,-1627000000.0,563000000.0
15,15,Net income from discontinuing ops,51000000.0,-69000000.0,-205000000.0,0.0,0.0,
16,16,Other,-29000000.0,-42000000.0,-68000000.0,-63000000.0,-60000000.0,-19000000.0
17,17,Net income,5490000000.0,6732000000.0,5438000000.0,2072000000.0,-1687000000.0,544000000.0
18,18,Net income available to common shareholders,5490000000.0,6732000000.0,5438000000.0,2072000000.0,-1687000000.0,544000000.0
19,19,Earnings per share,,,,,,
20,20,Basic,4.13,5.09,4.2,1.63,-1.24,0.4
21,21,Diluted,4.1,5.05,4.16,1.63,-1.24,0.4
22,22,Weighted average shares outstanding,,,,,,
23,23,Basic,1330000000.0,1323000000.0,1295000000.0,1267000000.0,1357000000.0,1389250000.0
24,24,Diluted,1339000000.0,1333000000.0,1308000000.0,1275000000.0,1357000000.0,1394500000.0
25,25,EBITDA,11031000000.0,12748000000.0,12102000000.0,7305000000.0,2759000000.0,5321000000.0
