,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,4147656000.0,4358935000.0,4775499000.0,5045739000.0,5240365000.0
1,0,Current assets,1140656000.0,1447977000.0,1504735000.0,1563801000.0,1716938000.0
2,1,Cash,700382000.0,1022441000.0,985762000.0,964935000.0,1117315000.0
3,2,Cash and cash equivalents,700382000.0,1022441000.0,985762000.0,836188000.0,976620000.0
4,2,Short-term investments,0.0,,,128747000.0,140695000.0
5,2,Total cash,700382000.0,1022441000.0,985762000.0,964935000.0,1117315000.0
6,1,Receivables,292668000.0,256026000.0,326727000.0,385694000.0,391113000.0
7,1,Deferred income taxes,74712000.0,92058000.0,111449000.0,94994000.0,
8,1,Prepaid expenses,55627000.0,59175000.0,54301000.0,71446000.0,104659000.0
9,1,Other current assets,17267000.0,18277000.0,26496000.0,46732000.0,103851000.0
10,1,Total current assets,1140656000.0,1447977000.0,1504735000.0,1563801000.0,1716938000.0
11,0,Non-current assets,3007000000.0,2910958000.0,3270764000.0,3481938000.0,3523427000.0
12,11,"Property, plant and equipment",191243000.0,197600000.0,249098000.0,263077000.0,257035000.0
13,12,"Gross property, plant and equipment",541350000.0,589712000.0,686838000.0,717132000.0,763079000.0
14,12,Accumulated Depreciation,-350107000.0,-392112000.0,-437740000.0,-454055000.0,-506044000.0
15,12,"Net property, plant and equipment",191243000.0,197600000.0,249098000.0,263077000.0,257035000.0
16,11,Goodwill,1976987000.0,1975971000.0,2255708000.0,2471241000.0,2518245000.0
17,11,Intangible assets,466322000.0,335425000.0,365030000.0,363659000.0,266661000.0
18,11,Deferred income taxes,239412000.0,243066000.0,208156000.0,178915000.0,281926000.0
19,11,Other long-term assets,133036000.0,158896000.0,192772000.0,205046000.0,199560000.0
20,11,Total non-current assets,3007000000.0,2910958000.0,3270764000.0,3481938000.0,3523427000.0
21,0,Total assets,4147656000.0,4358935000.0,4775499000.0,5045739000.0,5240365000.0
22,22,Liabilities and stockholders' equity,4147656000.0,4358935000.0,4775499000.0,5045739000.0,5240365000.0
23,22,Liabilities,1645970000.0,1570658000.0,1719329000.0,1911750000.0,2045219000.0
24,23,Current liabilities,1252639000.0,1222919000.0,1386759000.0,1578353000.0,1714946000.0
25,24,Short-term debt,30000000.0,30000000.0,30000000.0,205000000.0,205000000.0
26,24,Accounts payable,29855000.0,8575000.0,28152000.0,9919000.0,13745000.0
27,24,Taxes payable,4682000.0,7168000.0,31404000.0,19565000.0,22693000.0
28,24,Accrued liabilities,353238000.0,349622000.0,368961000.0,375623000.0,387706000.0
29,24,Deferred revenues,834864000.0,827554000.0,928242000.0,968246000.0,1085802000.0
30,24,Total current liabilities,1252639000.0,1222919000.0,1386759000.0,1578353000.0,1714946000.0
31,23,Non-current liabilities,393331000.0,347739000.0,332570000.0,333397000.0,330273000.0
32,31,Long-term debt,105000000.0,75000000.0,45000000.0,0.0,
33,31,Deferred taxes liabilities,,53064000.0,,,
34,31,Accrued liabilities,52645000.0,,,,
35,31,Deferred revenues,67184000.0,54736000.0,77646000.0,93613000.0,79856000.0
36,31,Minority interest,42285000.0,0.0,,,
37,31,Other long-term liabilities,126217000.0,164939000.0,209924000.0,239784000.0,250417000.0
38,31,Total non-current liabilities,393331000.0,347739000.0,332570000.0,333397000.0,330273000.0
39,23,Total liabilities,1645970000.0,1570658000.0,1719329000.0,1911750000.0,2045219000.0
40,22,Stockholders' equity,2501686000.0,2788277000.0,3056170000.0,3133989000.0,3195146000.0
41,40,Common stock,1509000.0,1542000.0,1560000.0,1552000.0,1515000.0
42,40,Additional paid-in capital,1585034000.0,1597244000.0,1614603000.0,1610460000.0,1644675000.0
43,40,Retained earnings,1098694000.0,1324854000.0,1551592000.0,1725727000.0,1947585000.0
44,40,Treasury stock,-168090000.0,-106668000.0,-49496000.0,-98375000.0,-294052000.0
45,40,Accumulated other comprehensive income,-15461000.0,-28695000.0,-62089000.0,-105375000.0,-104577000.0
46,40,Total stockholders' equity,2501686000.0,2788277000.0,3056170000.0,3133989000.0,3195146000.0
47,22,Total liabilities and stockholders' equity,4147656000.0,4358935000.0,4775499000.0,5045739000.0,5240365000.0
