,parent_index,title,2012,2013,2014,2015,2016
0,0,Assets,63149000000.0,64546000000.0,70923000000.0,78318000000.0,109697000000.0
1,0,Current assets,6162000000.0,5599000000.0,6370000000.0,6526000000.0,9722000000.0
2,1,Cash,628000000.0,659000000.0,710000000.0,1404000000.0,1975000000.0
3,2,Cash and cash equivalents,628000000.0,659000000.0,710000000.0,1404000000.0,1975000000.0
4,2,Total cash,628000000.0,659000000.0,710000000.0,1404000000.0,1975000000.0
5,1,Receivables,1385000000.0,1819000000.0,1947000000.0,2047000000.0,3790000000.0
6,1,Inventories,2819000000.0,2298000000.0,1969000000.0,1929000000.0,2782000000.0
7,1,Prepaid expenses,657000000.0,489000000.0,665000000.0,495000000.0,364000000.0
8,1,Other current assets,673000000.0,334000000.0,1079000000.0,651000000.0,811000000.0
9,1,Total current assets,6162000000.0,5599000000.0,6370000000.0,6526000000.0,9722000000.0
10,0,Non-current assets,56987000000.0,58947000000.0,64553000000.0,71792000000.0,99975000000.0
11,10,"Property, plant and equipment",48127000000.0,51208000000.0,54868000000.0,61114000000.0,78446000000.0
12,11,"Gross property, plant and equipment",70091000000.0,74267000000.0,78927000000.0,85367000000.0,108298000000.0
13,11,Accumulated Depreciation,-21964000000.0,-23059000000.0,-24059000000.0,-24253000000.0,-29852000000.0
14,11,"Net property, plant and equipment",48127000000.0,51208000000.0,54868000000.0,61114000000.0,78446000000.0
15,10,Equity and other investments,2189000000.0,2348000000.0,2492000000.0,2752000000.0,4199000000.0
16,10,Goodwill,,,,,6251000000.0
17,10,Intangible assets,0.0,0.0,0.0,0.0,970000000.0
18,10,Deferred income taxes,1385000000.0,1432000000.0,1510000000.0,1560000000.0,1629000000.0
19,10,Regulatory assets,4032000000.0,2557000000.0,4334000000.0,4989000000.0,6851000000.0
20,10,Other long-term assets,1254000000.0,1402000000.0,1349000000.0,1377000000.0,1629000000.0
21,10,Total non-current assets,56987000000.0,58947000000.0,64553000000.0,71792000000.0,99975000000.0
22,0,Total assets,63149000000.0,64546000000.0,70923000000.0,78318000000.0,109697000000.0
23,23,Liabilities and stockholders' equity,63149000000.0,64546000000.0,70923000000.0,78318000000.0,109697000000.0
24,23,Liabilities,44145000000.0,44782000000.0,50974000000.0,57726000000.0,84939000000.0
25,24,Current liabilities,7014000000.0,5536000000.0,8967000000.0,9129000000.0,12917000000.0
26,25,Short-term debt,3160000000.0,1951000000.0,4136000000.0,4050000000.0,4828000000.0
27,25,Accounts payable,1387000000.0,1376000000.0,1593000000.0,1905000000.0,2825000000.0
28,25,Taxes payable,393000000.0,469000000.0,638000000.0,854000000.0,1245000000.0
29,25,Accrued liabilities,889000000.0,771000000.0,1094000000.0,1026000000.0,1433000000.0
30,25,Deferred revenues,370000000.0,380000000.0,390000000.0,404000000.0,558000000.0
31,25,Other current liabilities,815000000.0,589000000.0,1116000000.0,890000000.0,2028000000.0
32,25,Total current liabilities,7014000000.0,5536000000.0,8967000000.0,9129000000.0,12917000000.0
33,24,Non-current liabilities,37131000000.0,39246000000.0,42007000000.0,48597000000.0,72022000000.0
34,33,Long-term debt,19274000000.0,21344000000.0,20841000000.0,24688000000.0,42629000000.0
35,33,Deferred taxes liabilities,11043000000.0,11731000000.0,12968000000.0,13728000000.0,16539000000.0
36,33,Accrued liabilities,,,,,397000000.0
37,33,Regulatory liabilities,1483000000.0,475000000.0,1613000000.0,1416000000.0,258000000.0
38,33,Minority interest,,,977000000.0,1390000000.0,1854000000.0
39,33,Other long-term liabilities,5331000000.0,5696000000.0,5608000000.0,7375000000.0,10345000000.0
40,33,Total non-current liabilities,37131000000.0,39246000000.0,42007000000.0,48597000000.0,72022000000.0
41,24,Total liabilities,44145000000.0,44782000000.0,50974000000.0,57726000000.0,84939000000.0
42,23,stockholders' equity,19004000000.0,19764000000.0,19949000000.0,20592000000.0,24758000000.0
43,42,Preferred stock,707000000.0,756000000.0,,,
44,42,Common stock,4389000000.0,4461000000.0,4539000000.0,4572000000.0,4952000000.0
45,42,Additional paid-in capital,4855000000.0,5362000000.0,5955000000.0,6282000000.0,9661000000.0
46,42,Retained earnings,9626000000.0,9510000000.0,9609000000.0,10010000000.0,10356000000.0
47,42,Treasury stock,-450000000.0,-250000000.0,-26000000.0,-142000000.0,-31000000.0
48,42,Accumulated other comprehensive income,-123000000.0,-75000000.0,-128000000.0,-130000000.0,-180000000.0
49,42,Total stockholders' equity,19004000000.0,19764000000.0,19949000000.0,20592000000.0,24758000000.0
50,23,Total liabilities and stockholders' equity,63149000000.0,64546000000.0,70923000000.0,78318000000.0,109697000000.0
